AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
14,1,1,2,1,1,N,2,7,5
6,1,N,2,1,1,N,2,N,9
57,1,6,1,1,1,N,2,2,9
67,1,1,1,1,1,N,2,2,1
33,1,1,2,1,1,N,2,2,5
85,1,N,1,1,1,N,2,N,2
59,1,1,2,1,1,N,2,9,10
31,1,6,2,1,1,N,2,1,4
49,1,1,1,1,1,N,2,4,7
44,1,N,2,1,1,N,2,N,3
57,1,1,2,1,1,N,2,9,10
66,1,4,2,1,1,N,2,6,8
12,1,1,2,1,1,N,2,1,7
60,1,6,2,1,2,N,2,1,7
52,9,6,1,3,1,N,2,2,5
41,8,1,1,1,1,N,2,8,10
19,1,6,1,1,2,N,2,6,10
30,1,1,2,1,2,N,2,9,9
69,1,6,1,1,1,N,2,5,7
34,1,2,2,1,1,N,2,6,11
82,1,4,1,1,1,N,2,0,8
35,1,1,1,3,1,N,2,8,11
28,6,6,1,1,2,N,2,2,7
20,7,6,2,3,0,N,2,1,5
8,1,4,1,1,1,N,2,9,11
45,1,1,2,1,1,N,2,7,9
87,1,1,2,1,1,N,2,8,12
71,1,N,1,1,1,N,2,N,3
28,1,6,1,1,2,N,2,2,9
4,1,1,2,1,1,N,2,2,6
22,1,4,2,1,1,N,2,2,9
24,1,6,1,1,0,N,2,2,9
46,1,4,1,1,1,N,2,9,9
69,1,6,1,1,1,N,2,7,5
9,1,1,1,1,1,N,2,8,9
90,8,N,1,1,1,N,2,N,2
12,1,1,2,1,1,N,2,8,12
32,1,1,2,1,1,N,2,4,6
7,1,N,1,1,1,N,2,N,N
8,6,6,1,1,1,N,2,1,10
71,1,1,1,1,1,N,2,6,5
36,1,1,2,1,1,N,2,6,7
40,1,1,1,1,1,N,2,9,10
10,1,6,1,1,1,N,2,2,7
53,2,1,2,1,1,N,2,5,3
66,1,N,2,1,0,N,2,N,3
35,1,N,2,1,1,N,2,N,2
15,6,6,2,1,1,N,2,6,7
29,1,6,1,1,1,N,2,5,9
17,1,N,2,1,1,N,2,9,9
