SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
1,4,6,1,7,0,25-02800,66,0,N,501
1,1,1,1,7,0,25-02800,49,2,4,501
1,3,6,1,8,0,25-01000,94,0,N,501
2,N,1,2,N,0,25-00703,11,4,6,420
2,1,1,1,6,0,25-01000,41,0,2,501
1,1,1,2,2,0,25-00503,64,0,3,373
2,N,1,1,N,0,25-00503,1,1,4,501
2,1,1,1,7,0,25-00703,46,0,2,501
2,1,1,1,9,0,25-00503,41,2,5,501
2,6,1,1,1,0,25-01300,21,0,N,365
1,6,1,1,6,0,25-02800,22,0,4,501
2,3,6,1,3,0,25-00503,63,0,N,N
2,6,1,1,2,0,25-01000,72,0,N,501
1,1,1,1,8,0,25-01000,71,0,5,443
2,N,1,1,N,0,25-01300,11,3,5,501
2,4,1,1,N,0,25-01000,91,0,N,501
1,1,6,1,4,0,25-00503,76,0,N,501
1,6,1,1,6,0,25-02800,54,0,N,47
1,4,1,1,9,0,25-01300,61,0,2,501
2,N,1,1,N,0,25-00503,6,2,4,501
2,1,1,1,9,0,25-00703,61,0,4,501
1,1,1,1,4,0,25-00503,64,0,3,501
2,N,1,1,N,0,25-00503,0,1,4,501
2,1,6,2,5,0,25-00503,44,3,7,465
1,6,1,2,0,0,25-01000,94,0,5,481
1,1,1,1,9,0,25-02800,60,0,2,501
1,1,1,2,4,0,25-01300,41,1,2,202
1,4,1,1,N,0,25-01300,11,3,5,501
2,3,6,1,9,0,25-00503,87,0,2,501
2,3,1,1,2,0,25-01300,88,0,2,501
2,1,1,2,2,0,25-00703,69,0,2,232
2,6,1,2,3,0,25-00703,22,0,N,86
1,1,6,2,6,0,25-01000,52,0,2,501
2,1,1,1,5,0,25-00703,74,0,N,501
2,4,2,1,7,0,25-01000,88,0,3,337
2,1,1,1,5,0,25-00703,48,1,3,201
1,1,1,2,2,0,25-00703,65,0,2,501
2,1,1,1,9,0,25-00703,48,2,5,501
1,6,1,1,1,0,25-00503,19,2,4,501
2,3,1,1,N,0,25-01300,12,0,2,501
2,1,2,2,4,0,25-00503,62,0,3,501
2,6,1,2,2,0,25-01300,21,N,N,82
1,6,1,1,7,4,25-02800,24,0,4,501
1,N,1,1,N,0,25-00503,6,3,5,501
2,1,1,1,5,0,25-01000,39,2,3,102
2,1,1,0,2,0,25-00703,58,0,N,N
2,1,1,2,6,0,25-00503,43,1,2,53
1,6,1,2,0,0,25-01000,15,2,4,0
2,1,1,2,6,0,25-00503,48,1,3,65
2,2,1,1,2,0,25-01000,29,0,2,366
