,Target samples,Deid. samples
0,32,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,30,2
7,0,0
8,0,0
9,0,0
10,19,2
11,0,0
12,0,0
13,33,5
14,0,0
15,41,7
16,0,0
17,19,4
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,33,11
26,0,0
27,0,0
28,56,23
29,0,0
30,0,0
31,20,9
32,0,0
33,0,0
34,0,0
35,0,0
36,56,32
37,0,0
38,0,0
39,116,74
40,398,260
41,51,36
42,0,0
43,222,167
44,0,0
45,0,0
46,985,831
47,0,0
48,1305,1208
49,0,0
50,955,957
51,153,160
52,2215,2399
53,2279,2528
54,0,0
55,167,201
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,43,70
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,19,56
76,0,0
77,0,0
78,2,7
79,0,0
80,0,0
81,0,0
82,24,109
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,1,9
91,0,0
92,1,12
93,0,0
94,0,0
95,0,0
96,1,22
97,0,0
98,0,0
99,0,75
