,INDP,count_target,count_deidentified
14,4670,53,46.0
25,4680,14,16.0
3,4690,25,30.0
17,4770,28,19.0
20,4780,3,6.0
12,4795,21,26.0
2,4870,38,36.0
27,4880,11,14.0
7,4890,13,16.0
0,4971,76,104.0
16,4972,9,12.0
22,4980,5,4.0
21,4990,2,4.0
8,5070,33,38.0
10,5080,18,15.0
15,5090,22,13.0
5,5170,26,29.0
33,5180,2,2.0
19,5190,6,11.0
9,5275,19,21.0
1,5280,2,1.0
29,5370,3,3.0
18,5381,19,13.0
11,5391,101,85.0
24,5470,4,2.0
28,5480,3,0.0
4,5490,13,11.0
30,5570,7,10.0
6,5580,39,26.0
26,5593,20,28.0
32,5670,1,0.0
31,5680,4,10.0
23,5690,11,7.0
13,5790,12,7.0
