,Target samples,Deid. samples
0,16,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,7,1
13,0,0
14,0,0
15,0,0
16,0,0
17,25,5
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,17,7
29,0,0
30,0,0
31,52,23
32,23,11
33,4,2
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,135,98
43,0,0
44,0,0
45,0,0
46,0,0
47,889,797
48,0,0
49,1867,1804
50,22807,22840
51,0,0
52,1235,1312
53,0,0
54,0,0
55,0,0
56,91,115
57,0,0
58,0,0
59,0,0
60,0,0
61,70,111
62,0,0
63,0,0
64,4,7
65,0,0
66,0,0
67,4,8
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,1,3
76,0,0
77,0,0
78,2,7
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,3,20
88,0,0
89,1,8
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,74
