,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,59,4,1,1,3,2,9,501,25-01000,1,2,32,5,7,2,155,0.0
1,49,0,1,1,3,2,9,501,25-00703,2,1,38,2,4,6,374,0.0
2,60,0,4,0,N,1,6,77,25-00703,9,2,35,1,2,0,0,0.0
3,69,4,N,2,4,2,N,N,25-00703,1,1,0,3,4,N,15,40.0
4,5,0,N,2,4,2,N,501,25-00703,2,1,10,2,3,N,163,40.0
5,47,4,4,0,N,1,2,189,25-02800,1,2,55,0,N,8,501,40.0
6,17,4,6,0,N,1,2,139,25-01000,1,1,17,2,4,1,326,20.0
7,66,4,1,0,2,1,5,501,25-00703,9,1,47,2,7,7,366,0.0
8,14,0,4,0,N,2,8,191,25-01300,6,1,52,1,2,9,501,0.0
9,55,4,6,2,4,2,6,501,25-00703,1,2,27,0,2,4,323,0.0
10,58,4,1,0,2,2,5,501,25-00703,1,2,31,0,2,4,412,40.0
11,27,0,3,0,N,2,4,501,25-02800,1,1,81,0,N,2,88,40.0
12,31,0,3,0,3,2,3,91,25-01300,6,2,80,0,N,2,88,20.0
13,63,4,6,N,N,0,2,501,25-02800,1,1,50,N,N,0,N,40.0
14,24,4,1,1,3,2,7,247,25-01300,1,1,39,2,5,8,369,0.0
15,5,2,6,0,N,2,4,412,25-01000,1,2,26,0,N,4,206,60.0
16,75,4,6,0,2,2,4,501,25-01300,1,2,32,1,2,5,219,20.0
17,40,0,4,2,5,1,8,501,25-00703,2,1,31,0,3,7,501,20.0
18,55,4,N,2,4,1,N,471,25-02800,1,2,2,1,3,N,501,20.0
19,73,0,6,0,3,1,1,501,25-01000,9,2,38,0,4,5,501,40.0
20,18,2,6,2,4,1,1,501,25-01300,1,2,22,0,2,0,429,0.0
21,37,0,1,0,2,2,8,406,25-00703,2,2,68,0,2,7,501,40.0
22,32,4,6,N,N,0,0,392,25-00703,8,1,21,N,N,1,N,40.0
23,1,0,1,0,2,2,7,501,25-01000,6,1,29,0,2,8,501,60.0
24,51,0,3,0,N,1,6,383,25-00503,6,1,83,0,2,6,501,40.0
25,20,4,3,0,N,1,2,501,25-00703,1,2,35,3,4,5,204,0.0
26,6,4,6,N,N,0,1,501,25-00703,1,2,19,N,N,1,N,60.0
27,41,0,1,0,2,2,7,484,25-00503,9,1,43,0,2,9,501,40.0
28,79,2,1,0,3,1,9,501,25-00503,1,1,35,0,2,8,501,40.0
29,55,0,N,2,3,2,N,11,25-01300,2,2,1,1,4,N,501,20.0
30,60,4,6,0,N,2,7,501,25-01300,1,1,24,0,N,8,501,60.0
31,62,0,6,0,3,1,5,497,25-01000,9,1,36,0,4,5,501,40.0
32,65,0,5,0,2,2,3,133,25-01000,1,1,65,0,N,5,313,40.0
33,61,0,2,0,N,2,4,42,25-01300,1,2,25,0,N,1,37,40.0
34,48,0,3,0,N,2,7,501,25-00503,6,1,81,0,N,0,0,40.0
35,72,0,1,0,3,2,1,N,25-00703,6,2,52,0,2,4,340,20.0
36,18,2,4,0,2,2,3,383,25-00703,1,2,63,0,N,4,227,20.0
37,64,0,5,2,3,2,N,501,25-01000,1,2,59,0,N,7,501,20.0
38,66,4,6,N,N,0,1,501,25-01300,1,1,20,N,N,0,N,40.0
