AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE
20,8,6,1,3,0,N,2
21,8,6,2,1,2,N,2
63,8,1,2,1,2,N,2
58,8,1,1,1,1,N,2
63,8,1,2,1,1,N,2
58,8,1,1,1,1,N,2
38,8,1,1,1,1,N,2
31,8,1,1,1,1,N,2
58,8,1,1,1,1,N,2
59,8,1,2,1,1,N,2
40,8,6,1,2,0,N,2
27,8,6,1,1,2,N,2
76,8,1,2,1,1,N,2
40,8,1,2,1,1,N,2
6,8,N,1,1,1,N,2
38,8,1,1,1,1,N,2
18,8,6,2,1,1,N,2
21,8,6,2,2,0,N,2
37,8,1,2,1,1,N,2
1,8,N,1,1,2,N,2
30,8,6,1,2,0,N,2
16,8,6,2,1,1,N,2
49,8,1,2,1,1,N,2
46,8,6,1,2,0,N,2
18,8,6,1,1,1,N,2
48,8,4,1,1,2,N,1
38,8,6,1,3,0,N,2
58,8,1,2,1,1,N,2
38,8,1,2,1,1,N,2
51,8,1,2,1,2,N,2
18,8,6,1,1,1,N,2
51,8,1,2,1,1,N,2
58,8,6,1,1,1,N,2
29,8,6,2,3,0,N,2
58,8,6,1,1,1,N,2
35,8,1,2,1,1,N,2
27,8,6,1,1,1,N,2
14,8,N,1,1,1,N,2
18,8,6,1,1,1,N,2
29,8,6,1,1,2,N,2
16,8,6,2,1,1,N,2
47,8,1,1,1,2,N,2
35,8,1,2,1,2,N,2
46,8,1,2,1,2,N,2
47,8,1,1,1,1,N,2
47,8,6,1,2,0,N,2
66,8,1,2,1,2,N,1
46,8,6,1,2,0,N,2
53,8,1,2,1,2,N,2
38,8,1,1,1,1,N,2
22,8,6,2,1,2,N,2
47,8,1,1,1,2,N,1
16,8,6,1,1,1,N,2
27,8,6,1,1,1,N,2
48,8,1,2,1,1,N,2
58,8,1,1,1,1,N,2
29,8,6,1,1,2,N,2
45,8,1,1,1,1,N,2
58,8,1,1,1,1,N,2
46,8,6,1,2,0,N,2
14,8,N,1,1,1,N,2
29,8,6,1,1,1,N,2
22,8,6,2,1,2,N,2
18,8,6,2,2,0,N,2
8,8,N,1,1,2,N,2
51,8,1,1,1,1,N,2
16,8,6,1,1,1,N,2
59,8,6,2,1,1,N,2
