AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE
31,1,6,2,1,1,N,2
27,1,1,2,1,1,N,2
50,1,6,1,1,1,N,2
59,1,5,2,1,1,N,2
76,1,1,1,1,1,N,2
12,1,N,1,1,1,N,2
38,1,1,1,1,1,N,2
65,1,4,1,1,2,N,2
34,1,6,2,3,0,N,2
39,1,1,2,1,1,N,2
73,1,1,2,1,1,N,2
12,1,N,2,1,1,N,2
22,1,6,1,1,1,N,2
59,1,1,1,1,1,N,2
39,1,6,2,1,2,N,2
64,1,1,1,1,1,N,2
19,1,6,2,3,0,N,2
94,1,3,1,1,2,N,2
23,1,6,1,1,2,N,2
65,1,1,2,1,1,N,2
94,1,3,2,1,1,N,2
52,1,6,2,3,0,N,2
82,1,6,2,3,0,N,2
14,1,N,2,1,1,N,2
0,1,N,2,1,1,N,2
24,1,6,2,1,1,N,2
26,1,6,2,1,2,N,2
49,1,1,1,1,1,N,2
40,1,6,1,1,1,N,2
21,1,6,1,1,1,N,2
10,1,N,1,1,1,N,2
45,1,1,1,1,1,N,2
67,1,1,1,1,1,N,2
32,1,1,2,1,1,N,2
12,1,N,2,1,1,N,2
47,1,6,1,1,1,N,2
20,1,6,2,3,0,N,2
43,1,1,1,1,2,N,2
58,1,6,2,1,1,N,2
57,1,1,1,1,2,N,2
28,1,6,2,1,1,N,2
64,1,1,2,1,1,N,2
45,1,6,1,1,1,N,2
37,1,1,1,1,2,N,2
0,1,N,2,1,1,N,2
8,1,N,1,1,1,N,2
55,1,6,1,3,0,N,2
49,1,1,2,1,1,N,2
39,1,1,1,1,2,N,2
52,1,6,2,1,2,N,2
23,1,6,2,1,1,N,2
58,1,6,1,1,1,N,2
6,1,N,1,1,1,N,2
78,1,1,2,1,1,N,2
59,1,1,2,1,1,N,2
34,1,1,2,1,1,N,2
16,1,2,2,1,1,N,2
70,1,4,2,1,1,N,2
33,1,1,2,1,2,N,2
38,1,1,2,1,1,N,2
39,1,1,2,1,1,N,2
18,1,6,2,3,0,N,2
69,1,1,1,1,1,N,2
18,1,6,2,1,1,N,2
12,1,N,2,1,1,N,2
16,1,6,1,1,2,N,2
54,1,1,2,1,1,N,2
54,1,2,2,1,1,N,2
39,1,1,1,1,1,N,2
33,1,1,2,1,1,N,2
63,1,4,2,3,0,N,2
65,1,1,1,1,1,N,2
30,1,1,1,1,1,N,2
19,1,6,2,1,1,N,2
48,1,1,1,1,1,N,2
62,1,2,1,1,1,N,2
22,1,6,1,1,2,N,2
13,1,N,1,1,2,N,2
47,1,4,2,1,1,N,2
73,1,1,1,1,1,N,2
26,1,6,1,1,2,N,2
43,1,1,2,1,1,N,2
27,1,6,2,1,1,N,2
21,1,6,1,1,1,N,2
52,1,4,1,1,1,N,2
75,1,1,2,1,1,N,2
4,1,N,1,1,2,N,2
84,1,1,1,1,1,4,2
7,1,N,2,1,1,N,2
