AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE
38,6,1,1,1,1,N,2
51,6,1,1,1,1,N,2
40,6,1,2,1,1,N,2
63,6,3,2,2,0,N,2
32,6,2,2,3,0,N,2
55,6,2,1,1,1,N,2
35,6,1,1,1,2,N,2
49,6,1,1,1,1,N,2
43,6,1,1,1,1,N,2
8,6,N,2,1,1,N,2
28,6,6,2,3,0,N,2
9,6,N,1,1,1,N,2
11,6,N,1,1,1,N,2
27,6,2,1,1,1,N,2
54,6,1,1,1,2,N,2
1,6,N,1,1,2,N,2
40,6,1,2,1,1,N,2
9,6,N,1,1,1,N,2
34,6,1,2,1,2,N,2
17,6,6,2,1,2,N,2
23,6,6,2,1,2,N,2
49,6,6,2,3,0,N,2
48,6,1,1,1,1,N,2
6,6,N,1,1,1,N,2
48,6,1,1,1,1,N,2
31,6,1,1,1,1,N,2
15,6,6,2,1,1,N,2
55,6,1,1,1,1,N,2
48,6,1,1,1,1,N,2
48,6,1,2,1,1,N,2
50,6,1,2,1,1,N,2
9,6,N,2,1,1,N,2
24,6,6,1,1,1,N,2
55,6,2,1,1,1,N,2
43,6,1,2,1,1,N,2
83,6,1,1,1,2,N,2
7,6,N,1,1,1,N,2
27,6,2,1,1,1,N,2
27,6,6,2,1,2,N,2
48,6,1,2,1,1,N,2
52,6,1,1,1,1,N,2
56,6,1,2,1,1,N,2
18,6,6,2,3,0,N,2
26,6,1,2,1,2,N,2
64,6,2,2,1,1,N,2
34,6,1,2,1,2,N,2
12,6,N,1,1,1,N,2
59,6,1,2,1,1,N,2
2,6,N,1,1,1,N,2
66,6,1,2,1,2,N,2
56,6,1,1,1,1,N,2
57,6,1,1,1,1,N,2
43,6,1,2,1,1,N,2
17,6,6,2,1,1,N,2
8,6,N,2,1,2,N,2
49,6,1,1,1,1,N,2
52,6,4,1,1,1,N,2
52,6,1,2,1,1,N,2
44,6,1,2,1,1,N,2
27,6,6,2,3,0,N,2
16,6,6,2,1,1,N,2
6,6,N,1,1,2,N,1
38,6,1,1,1,2,N,2
18,6,6,2,3,0,N,2
43,6,4,2,1,1,N,2
65,6,1,2,1,2,N,2
16,6,6,2,1,1,N,2
