,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
27253,32-00405,59,2,6,0,1,0,N,1,2,7990.5,8590,14,4,40000.0,6,302,N,2,2,2,2,136,135
27254,28-01100,58,2,1,0,1,0,2,1,1,2674.3,7280,10,9,392000.0,9,501,N,2,2,2,2,48,47
27255,51-01301,71,1,4,0,1,0,N,1,1,11162.8,7370,10,9,96600.0,8,501,N,2,2,2,2,41,40
27256,51-51255,71,1,1,0,1,0,2,1,1,11224.3,9590,16,12,178800.0,9,501,N,2,2,2,2,108,108
27257,40-00200,51,2,6,0,1,1,2,1,1,90.7,6370,7,9,56000.0,8,319,N,2,2,2,2,199,197
27258,32-00405,29,1,6,3,1,0,N,1,1,7990.5,7290,10,10,51000.0,7,387,N,2,2,2,2,64,58
27259,24-01004,73,1,1,0,1,0,2,1,1,4187.9,7390,10,11,235000.0,9,501,N,2,2,2,2,59,59
27260,38-00100,78,1,1,0,1,0,2,1,1,73.0,N,N,9,0.0,0,0,2,2,2,2,2,33,30
27261,24-01004,16,1,6,4,1,2,8,1,1,4187.9,5275,6,5,3000.0,1,332,N,2,2,2,2,133,150
27262,51-51255,39,2,1,0,1,3,5,1,1,11224.3,9780,17,10,237000.0,9,501,N,2,2,2,2,58,59
27263,38-00100,51,2,1,0,1,0,3,1,1,73.0,7860,11,9,49000.0,6,501,N,2,2,2,2,75,75
27264,06-07502,35,2,6,0,1,0,N,1,2,33632.6,6672,8,10,248000.0,9,501,N,2,2,2,2,92,93
27265,40-00200,41,2,5,0,1,1,4,1,1,90.7,8680,14,7,21000.0,4,107,N,2,2,2,2,96,96
27266,28-01100,33,1,1,0,1,0,2,1,1,2674.3,8090,12,8,27000.0,6,454,N,2,2,2,2,108,84
27267,19-01700,54,2,1,0,1,0,2,1,1,3572.3,4280,5,5,16400.0,3,472,N,2,2,2,2,134,133
27268,06-08507,36,1,1,0,1,3,5,1,1,3305.1,5275,6,9,100000.0,8,501,N,2,2,2,2,98,99
27269,24-01004,49,2,1,0,1,0,2,1,1,4187.9,8191,12,4,24000.0,3,501,N,2,2,2,2,52,59
