"AGEP","RAC1P","MSP","SEX","HOUSING_TYPE","OWN_RENT","DVET","DEYE","PINCP_DECILE","EDU"
"65","1","1","1","1","1","N","2","9","5"
"53","2","4","1","1","2","N","2","6","5"
"16","2","6","2","1","1","N","2","0","4"
"61","1","1","2","1","1","N","2","9","12"
"68","6","1","2","1","2","N","2","3","5"
"43","1","6","2","1","1","N","2","5","6"
"24","1","6","1","1","1","N","2","0","8"
"61","1","4","2","1","1","N","2","4","5"
"50","1","1","1","1","1","N","2","9","9"
"9","1","N","2","1","1","N","2","N","3"
"56","1","1","2","1","1","N","2","4","9"
"15","1","6","1","1","2","N","2","0","4"
"59","1","1","1","1","1","N","2","9","9"
"23","1","6","1","1","1","N","2","4","5"
"55","1","1","1","1","1","N","2","3","7"
"61","1","4","2","1","1","N","2","0","5"
"33","1","2","2","2","0","N","2","0","5"
"45","8","1","1","1","1","N","2","5","4"
"57","1","1","1","1","1","4","2","9","9"
"2","1","N","1","1","1","N","2","N","N"
"54","1","1","2","1","1","N","2","5","9"
"9","2","N","1","1","2","N","2","N","3"
"64","2","4","1","1","1","N","2","9","9"
"79","1","3","2","1","1","N","2","3","7"
"48","1","4","2","1","2","N","2","4","4"
"40","1","1","1","1","1","N","2","7","8"
"62","1","1","1","1","1","N","2","2","6"
"54","1","1","2","1","1","N","2","8","6"
"36","1","6","1","1","1","N","2","0","7"
"8","9","N","1","1","2","N","2","N","3"
"64","1","4","1","1","1","N","2","2","5"
"12","1","N","1","1","1","N","2","N","3"
"61","1","1","1","1","1","N","2","9","6"
"2","1","N","1","1","1","N","2","N","N"
"23","1","6","1","1","1","N","2","4","5"
"18","1","6","1","1","1","N","2","2","4"
"6","1","N","1","1","1","N","2","N","1"
"27","1","6","2","1","1","N","2","0","7"
"78","2","1","1","1","1","N","2","3","5"
"62","1","1","1","1","1","N","2","9","9"
"63","1","1","2","1","1","N","2","7","10"
"77","1","1","1","1","1","N","2","7","9"
"53","1","4","2","1","2","N","2","3","3"
"54","1","1","1","1","1","N","2","8","7"
"48","1","1","1","1","1","N","2","6","9"
"47","1","1","2","1","1","5","2","2","9"
"36","1","1","2","1","2","N","2","6","6"
"62","1","3","2","1","1","N","2","0","7"
"56","1","1","2","1","1","N","2","0","7"
