,feature,divergence
1,AGEP,1.9883661248930706
23,WGTP,1.7382298649567671
22,PWGTP,1.3622281333124708
14,PINCP,0.47559062384643785
11,INDP,0.44635599694423234
15,PINCP_DECILE,0.3981635289774826
13,EDU,0.2962525652919513
7,NPF,0.26920848501019645
16,POVPIP,0.1736360169606944
12,INDP_CAT,0.1318767507002801
6,NOC,0.0753852179754123
3,MSP,0.060226155358898734
5,RAC1P,0.031239326622089357
19,DPHY,0.030874181581535508
18,DREM,0.02023129806571894
4,HISP,0.015176683781334946
9,OWN_RENT,0.015067004780446397
10,DENSITY,0.014948634468352484
0,PUMA,0.014948634468352484
20,DEYE,0.01367084510678842
17,DVET,0.00702107335402424
8,HOUSING_TYPE,0.0035947074507059963
21,DEAR,0.0018527760276518881
2,SEX,0.0013720544555775316
