,INDP,count_target,count_deidentified
19,1070,2,0.0
29,1090,2,0.0
3,1170,3,2.0
22,1180,3,0.0
28,1190,2,0.0
20,1280,1,2.0
30,1370,3,4.0
9,1880,2,0.0
4,1990,7,3.0
25,2070,2,3.0
23,2170,1,0.0
2,2190,3,2.0
27,2290,3,2.0
0,2370,5,1.0
10,2670,4,2.0
13,2870,2,3.0
1,2980,5,4.0
5,3080,2,1.0
26,3170,2,1.0
24,3180,4,2.0
7,3291,9,6.0
31,3365,1,3.0
34,3380,2,4.0
17,3390,1,3.0
16,3490,2,2.0
8,3570,6,8.0
12,3580,38,56.0
15,3590,1,0.0
33,3670,1,0.0
21,3875,1,2.0
11,3895,4,4.0
18,3960,2,2.0
14,3970,1,0.0
32,3980,1,4.0
6,3990,2,3.0
