,EDU,HISP,INDP_CAT,MSP,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,PINCP_DECILE_y,percent_match
0,3,1,N,1,1,3,48-02516,1,1,4,0.0
1,5,0,17,1,1,9,48-02516,9,1,7,0.0
2,5,0,N,3,0,1,48-02510,1,2,4,0.0
3,8,0,7,4,1,9,48-02516,1,1,7,0.0
4,5,1,7,1,1,7,48-02102,1,1,4,0.0
5,3,1,N,N,1,N,48-02101,8,1,N,100.0
6,5,1,N,1,1,3,48-02515,1,2,0,0.0
7,11,0,10,1,1,9,48-02102,1,1,9,100.0
8,5,0,6,4,1,5,48-02101,1,1,8,0.0
9,7,0,2,1,1,1,48-02516,1,1,8,0.0
10,5,0,15,6,1,4,48-02102,1,1,4,100.0
11,2,4,N,N,2,N,48-02507,1,2,N,100.0
12,6,1,10,1,1,8,48-02101,1,1,7,0.0
13,6,0,3,6,2,2,48-02507,1,1,2,100.0
14,7,1,11,6,1,1,48-02516,1,2,2,0.0
15,10,0,8,3,1,9,48-02507,1,2,7,0.0
16,9,0,11,2,1,9,48-02101,1,2,7,0.0
17,9,0,11,6,1,8,48-02101,1,1,2,0.0
18,6,0,14,1,1,8,48-02510,1,1,1,0.0
19,5,0,16,6,1,4,48-02507,1,1,2,0.0
20,9,0,7,4,1,9,48-02515,1,1,9,100.0
21,7,1,3,1,1,6,48-02516,1,1,7,0.0
22,7,1,11,6,2,4,48-02510,1,2,6,0.0
23,9,0,16,1,1,8,48-02515,1,2,8,100.0
24,N,2,N,N,1,N,48-02510,8,2,N,100.0
25,9,0,4,1,2,4,48-02515,1,2,6,0.0
26,9,0,7,4,2,9,48-02515,1,1,7,0.0
27,4,0,N,3,2,5,48-02102,1,2,4,0.0
28,5,0,12,1,1,4,48-02516,1,1,7,0.0
29,8,0,12,4,1,7,48-02102,1,2,9,0.0
30,7,0,11,6,1,3,48-02102,1,2,0,0.0
31,7,0,N,2,2,0,48-02101,1,2,4,0.0
32,4,0,N,1,2,4,48-02516,1,1,2,0.0
33,9,0,6,6,1,5,48-02507,1,1,1,0.0
34,7,0,5,1,1,7,48-02516,1,2,9,0.0
35,8,0,7,1,1,8,48-02516,1,2,5,0.0
36,10,0,15,1,1,8,48-02102,1,1,5,0.0
37,8,0,16,1,1,9,48-02101,1,1,9,100.0
38,N,0,N,N,2,N,48-02507,2,1,N,100.0
39,6,0,16,1,1,8,48-02101,1,1,8,100.0
40,5,1,10,6,2,1,48-02515,1,1,5,0.0
41,6,0,9,1,1,9,48-02507,1,1,6,0.0
42,6,0,N,4,1,3,48-02515,1,2,5,0.0
43,3,1,N,N,1,N,48-02510,9,2,N,100.0
44,7,0,12,6,1,8,48-02507,1,2,7,0.0
45,7,1,14,1,1,4,48-02510,1,1,7,0.0
46,4,0,7,1,1,2,48-02516,1,2,6,0.0
47,4,0,N,4,1,2,48-02101,2,2,3,0.0
48,5,0,6,4,1,5,48-02516,1,1,5,100.0
49,5,0,10,6,2,1,48-02102,1,2,5,0.0
50,9,0,12,6,2,3,48-02515,2,2,7,0.0
51,5,1,6,6,1,2,48-02102,1,1,3,0.0
52,5,0,10,4,1,8,48-02507,1,1,5,0.0
53,9,0,4,1,1,9,48-02102,6,1,8,0.0
54,5,0,N,6,1,0,48-02516,1,1,8,0.0
55,5,1,3,2,1,1,48-02102,1,1,8,0.0
56,7,0,N,1,1,7,48-02515,2,1,5,0.0
57,9,0,14,1,2,9,48-02515,1,1,7,0.0
58,8,0,10,6,1,0,48-02510,1,2,7,0.0
59,9,0,11,1,1,9,48-02507,9,2,7,0.0
60,7,0,8,1,1,8,48-02510,1,1,6,0.0
61,8,0,4,4,2,8,48-02101,1,1,8,100.0
62,3,0,N,1,1,0,48-02516,1,1,2,0.0
63,5,0,12,6,2,6,48-02515,1,2,0,0.0
64,8,0,4,6,1,6,48-02516,1,1,0,0.0
65,9,0,10,6,1,1,48-02516,1,2,3,0.0
66,8,0,4,1,1,8,48-02516,1,2,2,0.0
67,9,0,16,4,1,8,48-02101,1,1,8,100.0
68,9,1,6,6,1,5,48-02102,1,2,5,100.0
69,4,0,14,6,2,1,48-02510,1,1,1,100.0
70,7,0,N,4,2,0,48-02510,2,1,4,0.0
71,7,0,10,6,1,8,48-02516,1,1,2,0.0
72,5,0,16,1,1,8,48-02101,1,1,7,0.0
73,5,0,12,4,2,6,48-02516,1,1,3,0.0
74,5,1,14,6,1,2,48-02510,1,1,7,0.0
75,7,0,3,1,2,4,48-02101,1,1,7,0.0
76,7,0,15,1,1,1,48-02516,1,2,3,0.0
77,N,0,N,N,2,N,48-02101,1,1,N,100.0
78,7,0,9,4,1,6,48-02515,1,2,9,0.0
79,9,0,N,3,2,3,48-02507,1,2,4,0.0
80,4,4,N,6,1,0,48-02516,1,2,0,100.0
81,5,0,N,1,2,0,48-02516,1,2,0,100.0
82,4,0,10,1,1,0,48-02102,1,2,5,0.0
83,4,0,10,6,1,0,48-02515,1,1,0,100.0
84,9,0,10,1,1,9,48-02101,2,1,9,100.0
85,6,0,9,4,1,7,48-02101,1,2,8,0.0
86,4,0,4,1,1,4,48-02101,1,2,2,0.0
87,4,0,7,1,1,4,48-02102,1,2,2,0.0
88,4,0,7,6,2,1,48-02102,1,1,7,0.0
89,2,4,N,N,1,N,48-02102,1,2,N,100.0
90,9,0,N,3,1,7,48-02516,1,1,6,0.0
91,2,1,N,N,2,N,48-02102,1,2,N,100.0
92,5,0,N,4,1,2,48-02101,2,1,6,0.0
93,7,0,12,6,1,8,48-02101,1,1,4,0.0
94,10,0,7,1,1,9,48-02507,1,1,9,100.0
95,9,0,8,1,1,8,48-02102,1,1,8,100.0
96,7,0,6,1,2,5,48-02101,1,1,2,0.0
97,4,0,11,6,1,4,48-02102,1,2,1,0.0
98,5,1,14,1,2,3,48-02515,1,2,4,0.0
99,8,0,12,1,1,4,48-02101,1,1,4,100.0
100,8,0,14,1,1,3,48-02102,1,1,8,0.0
101,3,0,N,6,1,2,48-02507,1,1,0,0.0
102,3,0,N,3,2,3,48-02101,1,2,5,0.0
103,5,0,6,6,1,7,48-02507,1,2,9,0.0
104,9,0,11,6,1,1,48-02507,2,2,7,0.0
105,9,0,N,4,1,2,48-02102,1,1,1,0.0
106,7,1,15,1,1,3,48-02101,1,1,5,0.0
107,5,0,N,6,2,0,48-02516,1,2,0,100.0
108,9,0,7,1,2,2,48-02510,1,2,7,0.0
109,7,0,15,1,2,2,48-02516,1,2,8,0.0
110,1,4,N,N,2,N,48-02507,1,2,N,100.0
111,4,1,N,6,1,0,48-02507,8,1,0,100.0
112,10,0,7,1,1,7,48-02516,1,2,8,0.0
113,N,0,N,N,1,N,48-02515,2,2,N,100.0
114,7,0,7,4,1,9,48-02507,1,1,7,0.0
115,9,0,N,1,1,9,48-02101,2,1,7,0.0
116,5,0,11,1,1,6,48-02507,2,2,4,0.0
117,6,0,6,4,1,3,48-02102,1,2,6,0.0
118,1,0,N,1,1,8,48-02507,1,1,6,0.0
119,2,1,N,N,2,N,48-02515,1,1,N,100.0
120,7,1,15,6,1,4,48-02510,1,2,4,100.0
121,6,0,6,6,2,4,48-02101,1,1,2,0.0
122,4,0,N,6,2,0,48-02516,1,1,1,0.0
123,7,0,9,1,1,9,48-02507,1,1,2,0.0
124,7,1,5,1,1,9,48-02510,1,1,7,0.0
125,10,0,2,1,1,9,48-02507,1,1,9,100.0
126,5,0,10,1,1,6,48-02510,6,2,2,0.0
127,5,0,11,6,1,4,48-02515,1,2,4,100.0
128,7,0,6,4,2,4,48-02101,1,1,7,0.0
129,10,0,4,1,1,9,48-02507,2,1,8,0.0
130,7,0,14,4,1,5,48-02507,1,1,4,0.0
131,7,0,6,4,2,9,48-02102,1,1,8,0.0
132,7,0,16,6,1,8,48-02101,1,2,2,0.0
133,7,0,16,1,1,9,48-02510,1,2,8,0.0
134,5,0,14,1,1,7,48-02507,1,2,0,0.0
135,4,0,15,1,1,5,48-02101,1,2,3,0.0
136,9,0,11,3,1,7,48-02510,1,2,8,0.0
137,7,0,9,6,1,0,48-02102,1,2,9,0.0
138,9,1,11,1,1,9,48-02507,1,1,7,0.0
139,7,0,16,4,2,3,48-02102,1,2,5,0.0
140,7,0,10,6,1,1,48-02515,1,2,3,0.0
141,9,0,4,6,1,6,48-02515,1,1,6,100.0
142,10,0,N,3,2,9,48-02101,1,2,4,0.0
143,9,0,13,1,1,2,48-02102,1,2,6,0.0
144,5,0,N,4,2,5,48-02507,2,2,0,0.0
145,1,4,N,N,1,N,48-02516,1,1,N,100.0
146,2,0,N,N,1,N,48-02510,6,2,N,100.0
147,10,0,16,1,1,9,48-02515,1,1,7,0.0
148,8,0,6,6,1,3,48-02510,1,2,2,0.0
149,9,0,6,6,2,4,48-02515,1,2,6,0.0
150,5,0,16,1,1,8,48-02515,1,1,8,100.0
151,7,0,14,4,1,6,48-02101,1,2,5,0.0
152,10,0,12,1,1,7,48-02516,2,2,8,0.0
153,4,0,6,1,1,4,48-02102,1,2,2,0.0
154,5,1,7,1,2,4,48-02507,1,1,3,0.0
155,3,0,N,N,2,N,48-02102,9,1,N,100.0
156,8,0,11,1,1,7,48-02516,1,1,9,0.0
157,5,0,7,4,1,5,48-02515,1,2,8,0.0
158,6,0,7,1,1,5,48-02516,1,2,5,100.0
159,9,0,9,6,1,9,48-02515,1,2,5,0.0
160,7,0,4,4,2,9,48-02102,1,1,6,0.0
161,7,1,6,6,1,6,48-02102,1,1,5,0.0
162,8,0,7,1,1,9,48-02507,6,1,7,0.0
163,4,0,N,1,2,0,48-02101,1,1,4,0.0
164,4,0,N,6,0,0,48-02102,1,1,3,0.0
165,5,0,12,4,2,6,48-02102,1,2,5,0.0
166,3,0,N,3,1,2,48-02516,1,2,5,0.0
167,7,1,7,1,1,8,48-02510,1,1,9,0.0
168,8,0,14,1,1,5,48-02516,1,1,6,0.0
169,9,0,10,4,1,9,48-02510,1,2,7,0.0
170,5,0,4,4,1,4,48-02101,1,2,5,0.0
171,9,1,16,1,1,8,48-02516,1,2,7,0.0
172,5,0,14,4,1,7,48-02515,1,1,7,100.0
173,9,1,5,1,1,7,48-02515,1,2,8,0.0
174,9,0,6,1,2,9,48-02515,1,1,8,0.0
175,N,0,N,N,2,N,48-02507,2,2,N,100.0
176,4,0,7,1,1,9,48-02102,1,1,8,0.0
177,7,0,15,6,1,5,48-02510,1,1,2,0.0
178,4,0,N,6,1,0,48-02510,2,1,0,100.0
179,9,0,4,1,2,7,48-02510,1,1,9,0.0
180,7,0,15,1,1,9,48-02516,1,1,7,0.0
181,6,0,11,1,1,3,48-02510,1,2,3,100.0
182,9,0,10,1,1,9,48-02102,2,1,9,100.0
183,6,0,6,1,1,5,48-02515,1,1,6,0.0
184,6,0,9,1,1,4,48-02101,1,2,5,0.0
185,9,0,10,1,2,7,48-02515,1,1,9,0.0
186,7,0,14,6,2,6,48-02515,1,1,5,0.0
187,6,0,6,4,1,7,48-02510,1,2,6,0.0
188,9,0,14,1,2,5,48-02101,1,1,4,0.0
189,8,0,N,3,1,6,48-02101,1,1,6,100.0
190,7,0,N,6,1,0,48-02507,2,2,0,100.0
191,4,0,N,5,1,0,48-02102,1,1,3,0.0
192,9,0,7,1,1,9,48-02101,2,1,9,100.0
193,2,0,N,N,2,N,48-02101,2,2,N,100.0
194,7,0,10,1,2,8,48-02102,1,1,3,0.0
195,10,0,N,1,1,9,48-02515,1,1,9,100.0
196,6,1,N,1,1,3,48-02102,1,1,4,0.0
197,5,1,4,1,2,8,48-02515,1,1,4,0.0
198,9,0,4,4,1,9,48-02515,1,1,7,0.0
199,2,1,N,N,1,N,48-02102,8,1,N,100.0
200,7,0,N,6,1,0,48-02516,1,1,0,100.0
201,4,0,7,1,2,4,48-02101,1,1,8,0.0
202,7,0,7,6,1,5,48-02102,1,1,3,0.0
203,9,0,10,1,2,9,48-02507,1,1,4,0.0
204,4,0,N,1,1,0,48-02102,9,2,0,100.0
205,5,0,4,4,1,7,48-02515,1,1,2,0.0
206,10,0,9,1,1,9,48-02101,1,2,7,0.0
207,7,0,N,6,2,0,48-02510,1,1,0,100.0
208,9,0,9,1,2,8,48-02507,1,1,8,100.0
