HISP,SEX,DEAR,PINCP,NOC,EDU,RAC1P,DEYE,DPHY,DENSITY,MSP,POVPIP,HOUSING_TYPE,OWN_RENT,NPF,AGEP,PINCP_DECILE,DVET,INDP_CAT,PUMA,DREM
0,2,2,140000.0,0,9,1,2,1,448.0,3,75,1,1,7,84,7,N,N,48-02102,2
0,1,2,75360.0,2,9,1,2,2,448.0,1,501,1,1,4,66,9,N,4,48-02101,2
0,1,1,28400.0,0,5,2,2,2,1984.0,1,501,1,1,3,43,6,N,2,48-02515,2
0,2,2,690.0,0,8,2,2,2,3136.0,6,338,1,1,5,43,3,N,15,48-02510,2
0,1,2,50000.0,3,5,1,2,2,448.0,6,467,1,1,5,72,4,N,6,48-02102,1
0,1,2,246700.0,2,7,1,2,2,448.0,4,501,1,1,3,45,9,N,4,48-02102,2
0,2,2,189200.0,0,5,1,2,2,448.0,6,496,1,2,N,18,3,N,3,48-02101,2
0,2,2,9620.0,1,5,9,2,2,448.0,1,184,1,2,4,63,5,N,12,48-02101,2
0,2,2,N,0,7,1,2,2,3136.0,3,0,1,1,N,66,4,N,N,48-02510,2
0,2,2,0.0,1,4,2,2,2,3904.0,N,426,1,2,3,12,0,N,N,48-02507,2
1,2,2,N,1,3,1,2,2,448.0,N,87,1,1,4,14,N,N,N,48-02102,2
0,1,2,19700.0,1,3,1,2,2,448.0,N,423,1,1,3,84,N,N,N,48-02102,2
4,1,2,273200.0,3,3,1,2,2,3904.0,N,501,1,1,5,12,N,N,N,48-02507,2
0,1,2,295700.0,0,9,1,2,2,1984.0,1,120,1,1,2,36,8,N,11,48-02515,2
0,2,2,50180.0,2,4,1,2,2,3136.0,6,501,1,1,4,16,0,N,11,48-02510,1
0,2,1,65000.0,1,10,2,2,1,1216.0,6,501,1,2,3,14,0,N,14,48-02516,2
0,2,2,40000.0,0,9,1,2,2,448.0,4,216,1,1,3,57,0,N,14,48-02102,2
0,1,2,95700.0,0,5,1,2,2,3136.0,1,206,1,1,2,69,0,N,N,48-02510,2
1,1,2,170700.0,0,4,1,2,2,3904.0,6,129,1,1,N,16,0,N,N,48-02507,2
1,2,2,0.0,0,10,1,2,2,448.0,3,501,1,1,2,77,5,N,N,48-02101,2
0,2,2,16500.0,0,4,2,2,2,448.0,1,248,1,2,3,72,0,N,N,48-02101,2
1,1,2,0.0,2,3,1,2,2,1984.0,N,460,1,2,3,14,N,N,N,48-02515,2
0,2,2,36800.0,2,5,1,2,2,3904.0,2,472,1,1,7,28,7,N,11,48-02507,2
1,2,2,11400.0,3,6,1,2,2,1216.0,1,162,1,2,5,55,4,N,16,48-02516,2
0,1,2,690.0,0,11,1,2,2,448.0,1,0,1,2,2,70,6,N,16,48-02102,2
0,1,2,400.0,0,9,2,2,2,1216.0,1,501,1,1,2,57,9,N,5,48-02516,2
1,2,2,45000.0,1,3,1,2,2,448.0,N,22,1,2,3,11,N,N,N,48-02102,2
0,2,2,50180.0,0,4,1,2,2,448.0,1,501,1,1,2,36,2,N,6,48-02102,2
0,1,2,N,0,9,1,2,2,1216.0,6,404,1,1,7,17,8,N,15,48-02516,2
0,2,2,0.0,6,1,2,2,2,448.0,2,N,2,0,6,55,N,N,N,48-02102,2
0,1,2,30000.0,3,3,1,2,2,448.0,N,336,1,2,5,13,N,N,N,48-02102,2
1,2,2,26550.0,3,8,1,2,2,448.0,6,467,1,1,5,65,4,N,12,48-02102,2
0,1,2,50000.0,0,7,1,2,2,3136.0,1,501,1,1,2,67,8,N,N,48-02510,2
0,1,1,5900.0,0,5,2,2,2,448.0,4,90,1,1,2,52,9,N,N,48-02102,2
0,2,2,60000.0,1,4,1,2,2,448.0,1,400,1,1,3,40,1,N,15,48-02101,2
1,1,2,8300.0,3,2,8,2,N,448.0,N,224,1,2,6,1,N,N,N,48-02101,N
0,2,2,13400.0,0,3,1,2,2,448.0,N,501,1,1,4,10,N,N,N,48-02102,2
0,1,2,0.0,0,5,1,2,2,448.0,1,150,1,1,2,35,6,N,7,48-02102,2
0,2,2,29800.0,1,5,6,2,2,1984.0,1,446,1,1,3,53,0,N,11,48-02515,2
1,2,2,1700.0,N,7,1,1,2,3904.0,1,501,1,1,4,58,5,N,16,48-02507,2
0,1,2,N,0,7,1,2,2,448.0,5,313,1,2,N,36,6,N,5,48-02102,2
0,1,2,0.0,0,6,1,2,2,3136.0,6,272,1,1,3,34,2,N,6,48-02510,2
0,2,1,2000.0,0,5,1,1,1,448.0,4,289,1,1,N,69,3,N,0,48-02101,2
0,1,2,107730.0,7,1,1,1,N,1984.0,N,56,1,2,8,3,N,N,N,48-02515,N
0,1,2,0.0,0,10,1,2,2,3136.0,3,278,1,1,N,80,9,N,N,48-02510,1
0,2,2,N,3,9,1,2,2,1984.0,1,3,1,2,4,70,2,N,6,48-02515,2
0,1,2,26000.0,3,5,1,2,2,448.0,1,501,1,2,5,69,7,N,17,48-02101,2
0,2,2,45000.0,2,3,1,2,2,448.0,N,431,1,1,4,6,N,N,N,48-02101,2
0,2,2,N,3,3,1,2,2,448.0,N,501,1,1,5,13,N,N,N,48-02102,2
1,2,2,32000.0,0,7,1,2,2,448.0,1,501,1,1,4,59,7,N,N,48-02101,2
0,1,2,268000.0,1,1,2,2,2,1216.0,1,0,1,2,2,44,7,N,7,48-02516,2
0,1,2,55000.0,5,6,2,2,2,448.0,6,N,2,0,7,44,0,N,N,48-02102,1
