HISP,SEX,DEAR,PINCP,NOC,EDU,RAC1P,DEYE,DPHY,DENSITY,MSP,POVPIP,HOUSING_TYPE,OWN_RENT,NPF,AGEP,PINCP_DECILE,DVET,INDP_CAT,PUMA,DREM
0,1,2,N,N,3,1,2,2,3904.0,N,496,2,0,5,3,N,N,N,48-02507,2
0,1,2,219000.0,2,N,1,2,N,1984.0,N,309,1,1,3,62,N,N,N,48-02515,N
0,2,2,1200.0,0,3,1,2,2,448.0,N,501,1,1,5,36,N,N,N,48-02101,2
0,1,2,11300.0,1,9,1,2,2,1984.0,1,501,1,1,2,26,6,N,6,48-02515,2
0,1,2,790.0,0,7,2,2,2,448.0,1,456,1,1,2,75,8,N,6,48-02101,2
0,2,2,18000.0,2,9,2,2,2,3136.0,1,501,1,1,4,3,0,N,6,48-02510,2
0,1,2,228100.0,4,11,2,2,2,448.0,3,501,1,1,6,56,4,N,N,48-02101,2
1,1,2,19800.0,4,8,1,2,2,1984.0,N,102,1,1,6,0,4,N,N,48-02515,2
1,2,2,0.0,1,3,1,2,2,448.0,N,305,1,1,4,40,N,N,N,48-02101,2
0,1,2,219700.0,2,5,1,2,1,1216.0,1,501,1,2,5,41,9,N,0,48-02516,1
1,2,2,26600.0,0,7,1,2,2,448.0,6,501,1,1,N,58,3,N,N,48-02102,2
0,2,2,185700.0,0,9,9,2,2,1984.0,1,501,1,1,2,65,0,N,7,48-02515,2
2,1,2,83000.0,3,5,1,2,1,448.0,5,467,1,1,11,72,5,N,0,48-02101,N
0,1,2,95600.0,3,3,1,2,2,3904.0,1,N,1,1,6,61,9,6,6,48-02507,2
1,1,2,219000.0,3,5,1,2,2,1984.0,6,501,1,1,5,17,1,N,10,48-02515,2
0,1,2,28030.0,0,7,1,2,1,3136.0,1,501,1,1,2,69,6,N,10,48-02510,2
0,1,2,N,0,10,1,2,1,448.0,1,501,1,1,2,51,1,N,14,48-02102,2
0,1,2,39930.0,3,3,1,2,2,448.0,N,316,1,1,6,30,N,N,N,48-02102,2
0,1,2,284300.0,3,5,1,2,1,3136.0,2,114,1,2,6,78,2,N,14,48-02510,2
0,1,2,130500.0,0,1,1,2,N,448.0,N,499,1,1,3,46,N,N,N,48-02101,N
0,1,2,9200.0,3,10,2,2,2,3136.0,1,136,1,1,6,38,8,N,4,48-02510,2
0,1,2,53500.0,1,8,1,2,2,3136.0,4,501,1,2,3,88,5,N,9,48-02510,2
0,1,2,219000.0,0,8,1,2,2,448.0,6,501,1,1,2,6,7,N,4,48-02102,2
0,1,2,10520.0,2,9,1,2,2,1216.0,1,32,1,1,4,55,9,N,3,48-02516,2
0,1,2,N,0,7,1,2,2,3904.0,1,111,1,2,2,52,5,N,3,48-02507,2
0,2,2,N,0,9,1,2,2,448.0,1,205,1,1,2,9,0,N,N,48-02102,2
0,1,1,47600.0,0,9,1,2,2,448.0,4,501,1,1,3,28,8,N,7,48-02101,2
1,1,2,53500.0,3,2,1,2,2,1984.0,N,355,1,1,5,40,N,N,N,48-02515,2
4,1,2,N,0,9,8,2,2,3136.0,N,496,1,1,3,75,N,N,N,48-02510,N
0,1,2,80040.0,3,9,1,2,2,448.0,N,205,1,2,6,48,N,N,N,48-02102,2
0,2,2,36600.0,3,N,1,2,N,448.0,N,239,1,1,5,56,N,N,N,48-02101,N
1,1,2,17300.0,0,7,1,2,2,3136.0,6,305,1,1,3,40,3,N,3,48-02510,2
4,2,2,170700.0,0,9,1,2,2,1600.0,1,91,1,1,2,92,8,N,12,48-02102,2
0,2,2,N,0,9,1,2,2,1216.0,1,429,1,2,2,38,6,N,16,48-02516,2
1,1,2,130500.0,3,3,1,2,2,448.0,N,136,1,1,4,29,N,N,N,48-02102,2
0,1,1,0.0,0,9,1,2,2,3136.0,4,324,1,1,N,50,3,N,10,48-02510,2
0,1,2,N,0,3,8,2,2,1984.0,N,114,1,2,5,50,N,N,N,48-02515,2
0,2,2,274000.0,0,3,6,2,2,448.0,N,501,1,1,4,77,N,N,N,48-02102,2
