PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
48-02516,59,1,1,0,1,4,6,1,1,1216.0,N,4,9,N,9,32,N,2,2,2,2,83.60000000000001,76.80000000000001
48-02515,52,2,1,0,1,0,2,1,1,1984.0,2180,12,9,41980.0,7,373,N,2,2,2,2,83.60000000000001,76.80000000000001
48-02101,6,2,1,1,1,0,2,1,1,448.0,1190,N,7,17300.0,1,159,N,2,2,2,2,184.4,179.2
48-02515,54,2,4,0,1,0,N,1,2,1984.0,N,6,3,114700.0,3,367,N,1,2,2,1,184.4,179.2
48-02102,61,2,1,0,1,0,2,1,1,448.0,6370,12,9,36000.0,3,366,N,2,2,2,2,33.2,76.80000000000001
48-02102,77,1,N,0,1,1,4,1,1,448.0,8870,N,2,20730.0,N,109,N,N,N,2,2,33.2,25.6
48-02507,31,2,1,0,1,2,6,1,1,3904.0,N,N,7,106700.0,3,159,N,2,2,2,2,134.0,76.80000000000001
48-02102,9,2,1,1,2,0,2,1,1,448.0,N,11,5,64700.0,4,251,N,2,2,2,2,33.2,25.6
48-02516,3,2,5,0,1,1,3,1,2,1216.0,N,7,7,68200.0,6,457,N,2,2,2,2,33.2,25.6
48-02516,59,1,6,0,1,0,2,1,1,1216.0,1190,4,7,0.0,N,501,N,2,2,2,2,234.8,435.20000000000005
48-02510,53,1,1,0,1,1,4,1,1,3136.0,2680,7,8,8604.0,8,292,N,2,2,2,2,33.2,25.6
48-02516,72,1,1,0,2,0,2,1,1,448.0,7460,4,7,72100.0,3,496,N,2,2,2,2,83.60000000000001,76.80000000000001
48-02515,51,2,4,0,1,0,N,2,2,1984.0,N,N,9,450.0,3,501,N,2,2,2,2,184.4,179.2
48-02101,38,2,1,0,1,2,4,1,1,448.0,7870,N,9,92800.0,4,501,N,2,2,2,2,184.4,179.2
48-02507,6,1,1,0,2,1,3,1,2,3904.0,N,10,10,485000.0,1,150,N,1,1,2,2,33.2,25.6
48-02102,1,2,4,0,2,0,N,1,1,448.0,8170,16,5,10000.0,2,150,N,2,2,2,2,33.2,25.6
48-02510,25,2,1,0,1,0,2,1,1,3136.0,N,13,8,76160.0,2,322,N,2,2,2,1,83.60000000000001,76.80000000000001
48-02102,33,2,1,1,1,0,3,1,1,448.0,N,12,5,9120.0,8,290,N,2,2,2,2,83.60000000000001,76.80000000000001
48-02102,17,1,N,0,1,3,5,1,1,448.0,N,14,3,10000.0,N,501,N,2,2,2,2,33.2,25.6
48-02102,15,2,4,0,1,0,N,1,1,448.0,N,N,9,30000.0,2,129,N,2,2,2,2,83.60000000000001,128.0
48-02101,53,2,N,0,1,3,6,1,1,448.0,N,N,N,53100.0,N,501,N,N,N,2,2,83.60000000000001,76.80000000000001
48-02516,88,2,1,1,8,2,4,1,1,1216.0,1080,12,9,7800.0,6,236,N,2,2,2,2,285.2,281.6
48-02515,87,1,N,1,1,2,4,1,2,1984.0,1080,N,2,485000.0,N,501,N,2,2,1,2,33.2,25.6
48-02102,15,1,N,0,1,2,5,1,2,448.0,N,N,N,104000.0,N,298,N,N,N,2,2,134.0,486.4
48-02102,31,2,1,0,1,0,2,1,1,448.0,8870,5,10,7800.0,3,444,N,2,2,2,2,436.40000000000003,230.4
48-02516,55,1,6,0,1,0,N,1,2,1216.0,8191,14,6,0.0,5,89,N,2,2,2,2,184.4,179.2
48-02102,33,1,1,1,1,2,3,1,2,448.0,8870,4,9,0.0,9,501,N,2,2,2,2,134.0,128.0
48-02507,38,2,1,1,1,0,4,1,1,3904.0,N,11,7,247000.0,1,457,N,2,2,2,2,33.2,25.6
48-02101,75,2,1,0,1,0,2,1,1,448.0,N,6,8,247000.0,4,251,N,2,2,2,2,33.2,25.6
48-02101,8,1,6,0,1,2,3,1,1,448.0,N,15,6,0.0,1,236,N,2,2,2,2,33.2,25.6
48-02510,73,2,N,0,1,5,7,1,1,3136.0,7670,N,1,10000.0,N,457,N,2,2,2,2,83.60000000000001,76.80000000000001
48-02102,62,1,1,0,1,0,2,1,1,448.0,N,N,7,9900.0,4,103,N,2,2,2,2,134.0,76.80000000000001
48-02507,15,2,1,0,1,1,8,1,1,3904.0,N,N,9,30750.0,4,45,N,2,2,2,2,83.60000000000001,76.80000000000001
48-02507,6,2,N,0,2,2,4,1,2,3904.0,2390,N,2,52000.0,N,10,N,N,N,2,2,83.60000000000001,76.80000000000001
48-02507,4,1,6,1,1,0,3,1,1,3904.0,4560,N,9,17300.0,0,159,N,2,2,2,2,83.60000000000001,76.80000000000001
48-02507,59,1,1,0,1,0,2,1,1,3904.0,N,7,7,68100.0,5,493,N,1,1,2,2,83.60000000000001,76.80000000000001
48-02515,23,2,6,0,1,1,13,1,1,1984.0,6080,18,7,65400.0,3,501,N,2,2,2,2,33.2,25.6
48-02101,3,1,6,1,1,3,5,1,1,448.0,N,N,5,17300.0,7,222,N,2,1,2,2,33.2,25.6
48-02102,57,2,1,0,1,2,4,1,1,448.0,N,11,8,104000.0,7,433,N,2,2,2,2,33.2,25.6
48-02515,29,1,1,0,1,0,2,1,1,1984.0,N,3,7,21000.0,9,414,N,1,1,2,2,184.4,179.2
48-02510,52,2,6,0,1,2,4,1,1,3136.0,7670,N,4,52000.0,2,501,N,2,2,2,2,134.0,486.4
48-02102,9,1,2,0,1,0,N,1,1,448.0,1890,8,6,N,4,32,N,2,2,2,2,134.0,128.0
48-02102,60,2,1,0,1,0,2,1,1,448.0,N,N,5,43200.0,3,58,N,2,2,2,2,33.2,25.6
