SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
2,N,2,2,N,0,48-02507,11,4,6,200
1,6,1,1,0,0,48-02510,57,0,N,146
2,6,1,2,7,0,48-02515,38,0,N,125
2,N,8,1,N,4,48-02510,14,4,5,501
2,1,1,1,6,0,48-02102,56,0,3,196
1,1,1,1,9,0,48-02516,55,0,2,294
1,6,1,1,7,0,48-02510,63,0,3,501
1,1,1,1,7,0,48-02102,65,0,2,200
2,1,2,1,0,0,48-02516,31,0,2,501
2,3,1,1,5,0,48-02510,74,0,N,501
2,1,9,1,7,0,48-02515,45,3,4,341
1,1,1,1,9,1,48-02102,52,0,2,357
1,1,1,1,6,0,48-02102,60,0,3,49
2,2,1,1,6,0,48-02510,62,0,2,501
2,4,1,1,5,0,48-02102,49,2,6,182
1,1,1,2,1,0,48-02101,45,0,2,76
1,N,1,1,N,1,48-02516,4,2,4,501
1,1,1,1,4,0,48-02102,77,0,4,501
1,4,1,1,2,0,48-02101,55,0,2,183
2,4,1,2,N,4,48-02102,81,1,3,191
2,3,1,1,2,0,48-02101,71,0,4,501
2,1,1,1,6,0,48-02516,29,1,3,169
2,6,1,1,0,1,48-02516,16,1,3,126
2,N,1,2,N,0,48-02510,11,2,5,287
2,1,1,2,7,0,48-02507,50,0,2,162
2,1,1,1,3,0,48-02101,43,2,4,501
2,N,1,1,N,0,48-02510,11,3,6,245
1,1,1,1,5,0,48-02101,57,0,2,501
1,1,1,1,8,0,48-02101,81,0,2,81
1,6,6,1,6,0,48-02516,36,0,2,501
2,N,1,1,N,0,48-02510,10,2,4,501
2,1,1,1,7,1,48-02515,67,0,2,335
1,6,1,2,0,0,48-02101,24,0,6,206
1,1,1,1,9,0,48-02101,56,0,2,501
1,1,1,1,9,0,48-02101,52,1,2,191
1,1,1,1,4,1,48-02101,68,0,6,501
1,1,1,1,9,0,48-02101,55,3,6,501
1,N,1,2,N,0,48-02101,0,0,6,169
2,N,1,1,N,0,48-02101,14,0,2,239
1,N,1,1,N,0,48-02507,9,2,4,501
1,6,2,1,6,0,48-02516,43,0,4,87
1,4,1,0,5,0,48-02101,60,N,N,370
2,4,1,1,2,0,48-02507,53,0,N,501
2,N,1,1,N,0,48-02515,14,1,3,122
2,1,1,1,3,1,48-02516,25,1,4,282
1,1,1,1,0,0,48-02101,37,3,5,473
2,4,1,1,7,0,48-02516,61,0,N,501
2,1,1,1,7,0,48-02516,49,0,3,489
2,6,1,1,2,0,48-02101,18,0,4,501
2,3,1,0,3,0,48-02516,82,N,N,240
2,6,1,1,4,1,48-02102,18,0,2,385
1,N,1,2,N,0,48-02102,6,3,5,285
1,N,1,1,N,0,48-02102,11,2,4,501
1,6,1,1,0,0,48-02101,54,0,2,501
1,2,1,1,4,1,48-02102,73,0,N,282
2,1,1,1,0,0,48-02102,33,3,5,501
1,1,1,1,9,0,48-02101,59,0,2,394
2,6,7,1,2,1,48-02510,11,3,6,501
1,1,1,1,7,0,48-02507,49,1,2,501
1,N,1,1,N,0,48-02102,13,1,3,66
2,4,1,2,5,0,48-02510,6,1,2,193
2,N,1,1,N,0,48-02516,9,2,7,501
2,4,1,1,2,0,48-02102,63,0,2,210
2,6,1,1,3,0,48-02510,22,1,3,501
2,3,1,1,4,0,48-02515,75,0,N,501
2,1,1,1,4,0,48-02102,32,3,5,213
2,N,1,2,N,0,48-02507,10,1,3,330
1,1,1,1,6,0,48-02516,36,0,3,118
1,4,1,1,5,1,48-02516,28,0,2,444
2,4,1,1,9,0,48-02507,52,0,2,200
2,6,1,1,0,0,48-02516,16,2,4,501
2,1,1,1,5,0,48-02516,30,0,2,501
2,6,1,2,4,0,48-02515,26,0,N,53
2,1,6,1,9,0,48-02510,75,0,2,501
1,1,1,1,9,0,48-02101,24,0,2,501
2,1,1,1,4,1,48-02515,32,1,3,368
2,1,1,1,6,0,48-02510,63,0,3,501
2,1,1,1,3,0,48-02507,78,0,2,183
1,1,1,1,9,1,48-02507,56,2,4,351
2,N,2,1,N,0,48-02516,7,3,7,501
1,4,1,1,4,0,48-02102,84,0,3,501
2,N,1,1,N,0,48-02516,2,2,4,501
1,1,1,1,6,0,48-02510,58,0,2,501
2,1,1,1,2,0,48-02102,70,0,4,287
2,4,1,2,0,0,48-02515,51,0,N,399
1,1,1,1,5,0,48-02102,60,0,2,382
1,1,1,1,9,0,48-02516,36,0,2,501
2,3,1,1,4,0,48-02507,68,0,3,501
2,1,1,1,5,0,48-02516,43,0,2,216
1,1,1,1,9,0,48-02102,55,0,7,476
2,N,1,2,N,0,48-02102,4,3,5,226
1,N,1,2,N,1,48-02102,6,2,3,70
2,1,1,1,4,0,48-02510,60,0,2,63
1,1,1,1,9,0,48-02510,66,0,2,501
1,6,1,1,0,0,48-02102,58,0,3,257
2,3,1,1,3,0,48-02510,67,0,N,458
2,1,1,1,5,0,48-02510,86,2,7,501
2,1,1,1,8,0,48-02102,46,0,3,466
1,6,1,2,4,0,48-02102,30,3,5,501
1,5,2,2,4,0,48-02515,65,0,N,228
1,4,4,1,7,4,48-02516,50,1,4,501
