,feature,divergence
22,PWGTP,12.433408923604418
23,WGTP,10.756407453089142
1,AGEP,2.228710283126542
14,PINCP,1.5277792851948728
11,INDP,0.6453820912330388
13,EDU,0.4851279758753613
16,POVPIP,0.4393082292018463
15,PINCP_DECILE,0.23021972608138713
12,INDP_CAT,0.19024902013143583
7,NPF,0.1433744372675671
3,MSP,0.10139824453970187
6,NOC,0.036482334869431615
4,HISP,0.028808324120343405
9,OWN_RENT,0.01943791171562194
17,DVET,0.01804052792436884
5,RAC1P,0.015082262490337693
0,PUMA,0.011579228543986186
20,DEYE,0.01074331828632049
19,DPHY,0.008419009506960916
10,DENSITY,0.007109583875568037
18,DREM,0.006436879297631336
8,HOUSING_TYPE,0.003092772973607997
21,DEAR,0.0017523726108527177
2,SEX,0.0006352818876214084
