,EDU,HISP,INDP_CAT,MSP,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,PINCP_DECILE_y,percent_match
0,10,0,10,1,1,9,24-01004,2,1,9,100.0
1,10,0,12,1,2,5,26-02702,1,1,9,0.0
2,10,0,5,1,1,8,06-08507,6,1,9,0.0
3,9,0,N,1,1,0,01-01301,1,2,7,0.0
4,12,0,11,6,1,0,28-01100,2,2,0,100.0
5,7,0,6,6,0,2,29-01901,2,2,3,0.0
6,1,0,N,N,1,N,17-03529,1,2,N,100.0
7,10,0,N,6,1,3,17-03529,2,2,8,0.0
8,10,0,16,2,1,8,51-51255,1,2,8,100.0
9,7,0,N,6,2,5,36-03710,2,1,5,100.0
10,N,0,N,N,1,N,38-00100,5,1,N,100.0
11,9,0,11,1,1,8,28-01100,2,2,9,0.0
12,6,0,N,6,2,2,36-04010,2,1,0,0.0
13,6,0,N,6,1,1,29-01901,2,1,0,0.0
14,7,0,N,5,1,3,19-01700,1,2,3,100.0
15,10,0,12,6,1,9,24-01004,1,2,6,0.0
16,7,0,16,4,1,3,08-00803,1,2,4,0.0
17,11,0,12,6,1,8,17-03529,1,2,9,0.0
18,9,0,6,1,2,3,08-00803,1,2,6,0.0
19,8,0,N,3,2,5,38-00100,3,2,7,0.0
20,3,4,N,N,1,N,36-04010,2,2,N,100.0
21,5,0,12,6,1,7,30-00600,3,1,1,0.0
22,5,0,N,1,1,0,28-01100,1,2,4,0.0
23,9,0,11,1,1,6,38-00100,3,2,7,0.0
24,7,0,10,4,1,3,17-03531,2,2,3,100.0
25,6,0,N,4,1,2,30-00600,1,2,3,0.0
26,8,0,5,1,1,7,01-01301,1,1,2,0.0
27,4,0,0,6,1,1,13-04600,2,1,8,0.0
28,7,0,7,1,2,5,38-00100,1,1,8,0.0
29,9,0,N,1,1,0,36-04010,1,1,3,0.0
30,10,0,14,1,1,9,51-01301,1,1,9,100.0
31,10,0,11,4,1,9,29-01901,2,1,8,0.0
32,3,0,N,1,2,0,32-00405,6,1,0,100.0
33,10,1,16,1,1,8,24-01004,1,1,8,100.0
34,10,0,N,6,1,9,26-02702,1,2,9,100.0
35,5,0,14,6,2,0,51-01301,1,1,6,0.0
36,5,0,N,2,1,6,19-01700,1,1,4,0.0
37,5,0,3,6,1,4,17-03531,2,1,2,0.0
38,4,0,7,6,1,1,38-00100,1,1,1,100.0
39,9,0,11,6,2,5,13-04600,1,2,0,0.0
40,4,0,15,4,1,5,40-00200,1,1,3,0.0
41,9,0,10,4,1,7,51-01301,1,2,8,0.0
42,7,0,16,6,1,3,36-04010,2,2,8,0.0
43,9,0,9,6,1,6,13-04600,1,1,7,0.0
44,10,0,10,1,1,4,38-00100,3,1,9,0.0
45,9,0,12,6,1,7,13-04600,2,1,7,100.0
46,2,0,N,N,1,N,51-01301,6,1,N,100.0
47,7,0,10,6,1,7,19-01700,1,1,6,0.0
48,7,0,11,6,1,8,01-01301,2,2,1,0.0
49,8,0,12,4,2,3,01-01301,2,2,3,100.0
50,6,0,11,6,1,5,17-03531,2,2,2,0.0
51,3,2,N,6,2,3,36-03710,1,2,2,0.0
52,5,0,12,4,2,8,17-03529,2,2,4,0.0
53,9,0,N,6,1,8,26-02702,1,1,8,100.0
54,3,1,N,1,2,4,32-00405,1,2,0,0.0
55,7,0,13,4,1,2,17-03531,2,2,6,0.0
56,7,0,16,1,1,3,17-03531,2,2,4,0.0
57,4,1,14,6,1,3,32-00405,1,1,1,0.0
58,4,0,18,6,2,0,29-01901,2,1,0,100.0
59,9,0,14,6,1,7,26-02702,1,2,1,0.0
60,4,0,N,6,2,0,51-01301,6,2,0,100.0
61,7,1,14,4,1,3,32-00405,8,2,6,0.0
62,4,0,12,1,2,7,38-00100,1,1,6,0.0
63,5,0,N,6,2,2,30-00600,1,1,2,100.0
64,8,4,12,6,2,6,36-04010,8,2,7,0.0
65,7,0,11,4,1,3,19-01700,1,2,6,0.0
66,7,0,7,6,1,9,17-03529,6,1,5,0.0
67,6,0,9,6,1,9,30-00600,1,2,5,0.0
68,9,0,5,1,1,8,08-00803,1,1,8,100.0
69,7,0,N,3,1,7,26-02702,1,2,7,100.0
70,6,0,11,6,2,2,51-51255,6,1,7,0.0
71,8,0,7,1,1,8,30-00600,1,2,7,0.0
72,7,0,6,6,1,3,29-01901,2,2,6,0.0
73,9,0,N,1,1,9,13-04600,1,1,6,0.0
74,6,0,10,1,1,9,30-00600,1,2,0,0.0
75,10,0,11,4,1,7,26-02702,1,2,8,0.0
76,9,1,16,1,1,8,51-01301,1,1,9,0.0
77,8,0,14,1,2,2,17-03529,2,1,7,0.0
78,10,0,15,1,1,5,06-08507,1,2,6,0.0
79,7,0,6,6,2,2,40-00200,1,2,2,100.0
80,6,2,N,3,2,2,36-03710,2,2,2,100.0
81,3,0,N,N,1,N,06-08507,8,2,N,100.0
82,7,0,12,1,2,6,29-01901,2,2,4,0.0
83,5,0,9,6,1,1,36-04010,2,1,8,0.0
84,7,1,N,4,1,3,32-00405,1,2,0,0.0
85,5,0,15,4,2,4,19-01700,1,2,4,100.0
86,2,0,N,N,2,N,51-51255,2,2,N,100.0
87,9,0,7,6,1,8,17-03529,1,1,6,0.0
88,8,0,5,1,1,1,30-00600,3,1,9,0.0
89,9,4,6,6,2,7,36-03710,2,2,4,0.0
90,9,0,10,2,1,8,51-51255,1,1,2,0.0
91,7,0,14,4,1,4,38-00100,1,2,0,0.0
92,7,0,N,6,0,0,51-01301,1,2,0,100.0
93,9,0,4,6,2,7,06-07502,6,1,2,0.0
94,7,0,8,6,2,9,08-00803,1,1,1,0.0
95,8,0,12,4,1,1,38-00100,1,2,7,0.0
96,7,0,4,1,2,7,08-00803,1,2,4,0.0
97,4,0,10,6,1,9,38-00100,1,1,0,0.0
98,10,0,9,1,2,9,17-03529,1,1,1,0.0
99,8,0,12,1,2,7,06-07502,1,2,7,100.0
100,10,0,14,6,2,7,17-03529,2,1,2,0.0
101,8,0,12,1,2,6,06-08507,1,2,4,0.0
102,7,0,7,6,2,8,17-03531,2,1,5,0.0
103,7,0,6,4,2,5,08-00803,1,2,2,0.0
104,7,0,6,6,0,0,28-01100,2,2,3,0.0
105,9,0,N,4,1,7,51-01301,1,2,6,0.0
106,7,0,14,6,1,5,51-51255,1,1,6,0.0
107,9,0,12,4,1,5,51-51255,1,2,6,0.0
108,6,0,N,1,2,0,28-01100,2,2,3,0.0
109,9,0,11,6,2,7,08-00803,6,2,3,0.0
110,8,0,10,1,1,2,17-03531,2,2,4,0.0
111,12,0,11,6,1,8,08-00803,1,1,8,100.0
112,12,0,N,1,1,0,26-02702,6,1,9,0.0
113,10,0,11,1,1,4,51-51255,6,2,2,0.0
114,9,0,9,4,1,8,28-01100,1,1,7,0.0
115,7,4,10,6,2,2,36-03710,2,2,2,100.0
116,7,0,16,1,2,6,30-00600,1,1,6,100.0
117,7,0,16,1,1,3,40-00200,3,2,5,0.0
118,4,1,N,6,2,0,40-00200,1,2,0,100.0
119,11,0,10,1,1,4,06-07502,1,2,9,0.0
120,7,0,7,4,2,7,17-03531,2,1,6,0.0
121,5,0,13,1,1,6,30-00600,1,2,2,0.0
122,8,0,6,4,1,4,30-00600,1,1,7,0.0
123,9,0,10,6,2,6,51-01301,2,1,8,0.0
124,5,0,9,6,2,6,13-04600,2,1,5,0.0
125,11,0,12,4,1,5,17-03529,2,2,2,0.0
126,7,0,17,4,1,4,01-01301,2,2,7,0.0
127,11,0,N,1,1,9,24-01004,6,2,3,0.0
128,5,0,3,6,2,4,38-00100,1,1,5,0.0
129,1,0,N,6,2,0,13-04600,2,1,3,0.0
130,4,4,14,6,2,2,36-03710,8,2,3,0.0
131,10,0,11,3,1,8,06-08507,1,2,8,100.0
132,7,0,7,6,2,3,28-01100,2,1,9,0.0
133,8,0,8,1,1,4,30-00600,1,2,6,0.0
134,8,0,16,1,1,3,06-08507,1,2,7,0.0
135,7,0,8,6,1,6,24-01004,1,1,3,0.0
136,4,4,N,1,2,2,36-03710,2,2,3,0.0
137,9,0,7,6,1,8,24-01004,1,2,4,0.0
138,7,0,8,6,2,6,19-01700,1,1,4,0.0
139,9,0,13,4,1,7,38-00100,1,2,1,0.0
140,10,0,15,6,2,5,51-51255,1,1,4,0.0
141,8,0,18,1,2,0,13-04600,2,2,0,100.0
142,8,0,6,1,1,9,38-00100,5,1,1,0.0
143,8,0,6,1,1,0,28-01100,2,2,6,0.0
144,7,0,10,6,1,7,51-51255,1,1,8,0.0
145,3,0,N,3,1,3,29-01901,2,2,2,0.0
146,9,0,N,1,1,0,51-01301,6,1,0,100.0
147,9,0,8,4,1,9,08-00803,1,2,9,100.0
148,9,0,8,4,2,6,08-00803,1,1,8,0.0
149,10,0,16,6,2,7,24-01004,1,1,6,0.0
150,12,0,11,4,1,2,24-01004,1,2,8,0.0
151,5,0,10,2,1,0,28-01100,2,2,8,0.0
152,12,0,11,6,2,8,08-00803,6,1,6,0.0
153,9,0,N,3,2,3,36-04010,2,2,4,0.0
154,7,0,N,6,1,0,06-07502,6,1,0,100.0
155,10,0,N,1,1,0,51-51255,2,2,4,0.0
156,1,0,N,N,1,N,38-00100,5,1,N,100.0
157,4,4,N,6,0,0,36-03710,1,1,0,100.0
158,11,0,10,1,1,9,29-01901,1,2,9,100.0
159,9,0,5,4,1,3,24-01004,1,2,8,0.0
160,7,0,11,4,1,4,17-03529,2,2,2,0.0
161,9,0,N,6,1,0,28-01100,2,2,7,0.0
162,9,0,10,6,1,5,32-00405,2,1,7,0.0
163,7,0,11,6,1,2,40-00200,3,2,4,0.0
164,5,0,13,4,1,2,13-04600,2,2,5,0.0
165,5,0,14,1,1,6,17-03529,6,1,6,100.0
166,4,0,N,6,2,0,40-00200,3,1,1,0.0
167,9,0,12,1,1,8,24-01004,6,2,8,100.0
