,feature,divergence
22,PWGTP,1.4735514945459696
23,WGTP,1.443147373431199
1,AGEP,1.2213675213675217
14,PINCP,0.7581453634085211
11,INDP,0.584405950519267
15,PINCP_DECILE,0.5515303410040251
13,EDU,0.3782023664410913
12,INDP_CAT,0.23937741422404
7,NPF,0.20305991439434082
5,RAC1P,0.16277814747277455
16,POVPIP,0.10036884221055262
2,SEX,0.05786304767926731
0,PUMA,0.05492137173171652
4,HISP,0.05030525466410087
6,NOC,0.04589105287435141
3,MSP,0.03589385790472746
19,DPHY,0.01892195008768246
9,OWN_RENT,0.014669010832382354
8,HOUSING_TYPE,0.00611825827409572
17,DVET,0.004364048721377538
21,DEAR,0.003597993567182614
18,DREM,0.0011751352407774404
20,DEYE,0.0006220593946434129
10,DENSITY,0.0
