AGEP,PINCP,POVPIP
37,57000.0,501
16,0.0,501
49,40200.0,501
22,2000.0,N
22,6700.0,197
88,9600.0,82
89,35900.0,313
22,0.0,0
55,41700.0,501
5,N,97
56,13000.0,215
40,190000.0,501
67,71500.0,501
84,0.0,193
59,17100.0,204
15,0.0,80
82,27000.0,220
64,200000.0,501
11,N,501
48,14000.0,433
48,146000.0,501
76,25600.0,254
67,437000.0,501
41,516000.0,501
90,184200.0,501
22,6150.0,501
62,184000.0,501
64,0.0,176
61,9300.0,68
84,9500.0,127
70,23000.0,188
2,N,77
48,0.0,256
28,21700.0,167
26,57790.0,501
25,10000.0,309
21,0.0,N
79,333000.0,501
36,552000.0,501
5,N,270
54,80000.0,501
94,9600.0,93
23,31500.0,501
67,16600.0,501
31,55000.0,390
51,0.0,0
78,24300.0,197
71,28700.0,501
75,74700.0,501
30,0.0,0
45,60360.0,501
27,24000.0,332
38,120000.0,311
47,1300.0,501
58,191000.0,501
25,115000.0,501
68,0.0,6
14,N,0
30,23000.0,174
10,N,501
11,N,99
86,0.0,188
52,206000.0,501
10,N,501
36,20000.0,200
33,122000.0,501
85,53200.0,422
20,25000.0,N
67,7600.0,62
10,N,435
74,6200.0,376
4,N,166
28,34000.0,N
36,418000.0,501
83,97000.0,501
42,19200.0,N
5,N,278
56,185000.0,501
30,39300.0,191
10,N,501
35,50000.0,501
7,N,160
64,16600.0,501
72,135800.0,501
52,0.0,135
18,4000.0,N
31,-7250.0,0
58,8300.0,176
88,16800.0,501
63,32000.0,323
60,68400.0,501
19,81000.0,N
11,N,501
70,9600.0,78
47,75000.0,501
57,148200.0,501
19,0.0,501
58,61000.0,457
46,100000.0,501
18,0.0,N
5,N,87
54,16000.0,N
14,N,488
29,140500.0,501
39,53000.0,377
88,0.0,N
58,40000.0,230
81,20400.0,257
5,N,N
59,0.0,58
94,5900.0,N
65,7200.0,235
40,60500.0,501
61,69000.0,440
32,95000.0,501
41,470.0,501
68,90000.0,501
27,1200.0,247
38,110000.0,501
61,15300.0,466
19,0.0,N
17,0.0,501
45,0.0,322
22,0.0,76
37,138000.0,501
40,0.0,193
59,0.0,0
29,78000.0,501
37,130000.0,501
42,10000.0,501
5,N,300
60,0.0,13
29,58000.0,437
6,N,501
24,85000.0,501
86,68400.0,501
50,76600.0,501
17,300.0,501
64,28700.0,219
36,24000.0,177
72,28800.0,293
23,30000.0,501
61,69000.0,440
23,9600.0,79
20,0.0,0
5,N,291
41,5000.0,72
69,57000.0,443
27,22000.0,186
45,40000.0,337
50,16500.0,201
45,0.0,501
27,0.0,232
33,80000.0,501
64,900.0,501
69,24000.0,188
32,110000.0,501
66,43800.0,429
64,7300.0,N
60,28700.0,218
90,20700.0,297
29,26000.0,198
10,N,95
11,N,176
46,164800.0,501
24,31900.0,241
53,320000.0,501
45,0.0,186
47,200000.0,501
19,0.0,N
45,516000.0,501
53,198600.0,501
69,57000.0,443
45,79500.0,501
19,5200.0,N
54,0.0,231
72,33200.0,315
6,N,399
49,48000.0,294
1,N,44
71,68800.0,501
0,N,314
42,109000.0,501
36,10000.0,207
83,64100.0,501
20,32000.0,388
56,65000.0,492
76,50000.0,293
67,0.0,36
39,0.0,501
54,71000.0,404
71,29600.0,244
28,55000.0,501
21,0.0,107
77,93800.0,501
76,5700.0,47
39,92000.0,398
34,21800.0,501
45,40000.0,337
15,0.0,105
26,0.0,501
26,55000.0,368
7,N,501
18,0.0,141
45,2100.0,15
65,9600.0,335
67,68400.0,501
9,N,501
63,75000.0,501
30,36000.0,342
20,6800.0,N
63,31500.0,456
34,22000.0,166
57,23000.0,174
25,20000.0,150
65,100000.0,501
85,8000.0,66
76,30600.0,304
37,72500.0,496
60,96000.0,501
26,88000.0,501
20,31200.0,192
41,13000.0,501
61,1520.0,9
79,86520.0,501
1,N,249
18,73000.0,N
46,115000.0,501
27,25200.0,196
25,11000.0,197
36,50000.0,429
58,55000.0,417
70,9900.0,N
64,15100.0,113
37,15000.0,N
50,90000.0,322
0,N,N
53,65000.0,329
35,15000.0,231
3,N,291
36,0.0,182
28,50000.0,377
64,49200.0,501
22,5000.0,N
66,960.0,7
37,36200.0,501
58,61000.0,475
64,16600.0,244
72,35000.0,463
90,9600.0,501
57,148200.0,501
57,202000.0,501
46,80000.0,501
89,5700.0,N
49,180000.0,501
61,47900.0,501
10,N,166
11,N,501
52,700.0,5
81,33060.0,501
65,98000.0,501
23,10200.0,73
51,12000.0,90
84,12600.0,349
89,53800.0,443
33,12500.0,90
65,62400.0,501
48,0.0,501
26,40000.0,303
63,42000.0,501
19,11000.0,83
63,23000.0,501
71,30430.0,246
24,0.0,0
81,15400.0,166
71,260000.0,501
38,172000.0,501
35,10860.0,132
6,N,501
37,0.0,93
50,70000.0,501
30,26100.0,439
37,106000.0,501
16,-1900.0,478
33,84000.0,501
13,N,148
65,0.0,501
41,100700.0,501
56,11800.0,501
6,N,501
49,0.0,501
64,880.0,501
20,11500.0,84
57,101600.0,501
55,75000.0,501
7,N,501
69,24000.0,245
29,102200.0,501
