AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE
1,5,N,2,1,2,N,2
28,5,6,2,3,0,N,2
59,5,3,2,1,1,N,2
45,5,4,2,1,1,N,2
9,5,N,1,1,1,N,2
52,5,4,1,1,1,N,2
33,5,6,1,1,1,N,2
28,5,6,1,2,0,N,2
45,5,4,2,1,1,N,2
59,5,6,2,1,1,N,2
1,5,N,2,1,2,N,2
52,5,1,1,1,1,N,2
63,5,1,2,1,1,N,2
20,5,6,1,3,0,N,2
28,5,1,1,1,1,N,2
2,5,N,2,1,1,N,2
46,5,6,2,1,1,N,2
21,5,6,1,1,1,N,2
45,5,1,1,1,1,N,2
2,5,N,1,1,1,N,2
59,5,2,1,1,2,N,2
29,5,1,1,1,1,N,2
62,5,1,2,1,1,N,2
9,5,N,2,1,1,N,2
55,5,6,1,1,1,N,2
9,5,N,1,1,1,N,2
29,5,6,1,1,1,N,2
78,5,3,2,1,1,N,2
47,5,4,2,1,2,N,2
4,5,N,1,1,2,N,2
29,5,6,2,3,0,N,2
28,5,1,1,1,1,N,2
73,5,6,1,1,2,N,2
28,5,4,2,1,1,N,2
67,5,3,2,1,2,N,2
9,5,N,1,1,1,N,2
58,5,6,1,1,2,N,1
64,5,1,1,1,1,N,2
85,5,4,2,2,0,N,2
35,5,2,2,1,1,N,2
49,5,5,1,3,0,N,2
72,5,1,1,1,1,N,2
4,5,N,1,1,1,N,2
1,5,N,2,1,1,N,2
28,5,1,2,1,1,N,2
63,5,3,2,1,2,N,2
57,5,3,2,1,1,N,2
61,5,6,1,1,1,N,2
55,5,1,1,1,1,N,2
21,5,6,1,1,1,N,2
59,5,1,1,1,1,N,2
67,5,3,2,1,2,N,1
52,5,1,2,1,1,N,2
35,5,6,2,3,0,N,2
18,5,6,1,1,1,N,2
6,5,N,2,1,1,N,2
52,5,1,1,1,1,N,2
46,5,4,2,2,0,N,2
1,5,N,2,1,2,N,2
61,5,3,2,1,1,N,2
9,5,N,1,1,1,N,2
21,5,6,1,1,1,N,2
73,5,1,2,1,1,N,2
18,5,6,2,1,1,N,2
9,5,N,1,1,1,N,2
55,5,1,2,1,1,N,2
57,5,6,2,1,1,N,2
39,5,6,1,1,1,N,2
6,5,N,2,1,1,N,2
28,5,6,1,1,1,N,2
6,5,N,2,1,2,N,2
28,5,6,2,1,2,N,2
28,5,6,2,3,0,N,2
9,5,N,1,1,1,N,2
29,5,4,2,1,2,N,2
9,5,N,2,1,2,N,2
63,5,4,2,2,0,N,2
2,5,N,2,1,1,N,2
6,5,N,1,1,1,N,2
6,5,N,2,1,1,N,2
50,5,1,1,1,1,N,2
21,5,6,2,1,1,N,2
39,5,6,1,1,1,N,2
59,5,5,2,3,0,N,1
21,5,6,2,3,0,N,2
85,5,1,1,1,1,N,2
21,5,6,2,3,0,N,2
21,5,6,1,1,1,N,2
20,5,6,1,3,0,N,2
4,5,N,1,1,1,N,2
47,5,4,1,1,1,N,2
35,5,2,2,1,1,N,2
33,5,2,1,1,2,N,2
62,5,3,2,2,0,N,1
58,5,1,1,1,1,N,2
6,5,N,2,1,2,N,2
6,5,N,2,1,2,N,2
