AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE
43,3,1,1,1,1,N,2
45,3,4,1,2,0,N,2
55,3,6,1,1,1,N,2
31,3,6,1,1,1,N,2
71,3,5,2,1,1,N,2
50,3,1,2,1,1,N,2
69,3,1,2,1,1,N,2
13,3,N,2,1,1,N,2
66,3,1,2,1,1,N,2
55,3,4,2,1,1,N,2
2,3,N,2,1,1,N,2
4,3,N,1,1,1,N,2
22,3,6,2,1,2,N,2
58,3,3,1,1,1,N,2
11,3,N,2,1,1,N,2
71,3,3,1,1,1,N,2
59,3,2,2,1,1,N,2
12,3,N,1,1,2,N,2
59,3,1,1,1,1,3,2
62,3,4,2,1,1,N,1
8,3,N,2,1,1,N,2
53,3,1,1,1,1,N,2
66,3,1,2,1,1,N,2
9,3,N,2,1,1,N,2
59,3,1,1,1,1,N,2
37,3,4,2,1,2,N,2
59,3,2,1,3,0,N,2
37,3,2,2,3,0,N,2
22,3,6,2,1,1,N,2
24,3,6,2,1,1,N,2
13,3,N,1,1,1,N,2
15,3,6,2,1,1,N,2
8,3,N,2,1,1,N,2
89,3,3,2,1,1,N,2
4,3,N,2,1,2,N,2
71,3,3,2,1,1,N,1
25,3,6,1,1,1,N,2
62,3,3,1,1,1,N,2
8,3,N,2,1,2,N,2
57,3,4,2,1,1,N,2
53,3,1,2,1,1,N,2
6,3,N,2,1,1,N,2
55,3,1,1,1,1,N,2
1,3,N,1,1,1,N,2
18,3,6,1,1,1,N,2
37,3,4,1,1,1,N,2
61,3,1,1,1,1,N,1
11,3,N,1,1,2,N,2
51,3,1,2,1,1,N,2
10,3,N,2,1,2,N,2
15,3,6,2,1,1,N,2
20,3,6,1,1,1,N,2
17,3,6,1,1,1,N,2
17,3,6,1,1,1,N,2
24,3,6,2,1,1,N,2
19,3,6,1,1,1,N,2
4,3,N,2,1,2,N,2
20,3,1,2,1,1,N,2
40,3,5,1,1,1,N,2
68,3,4,1,1,2,N,1
55,3,1,1,1,1,N,2
38,3,1,2,1,1,N,2
50,3,1,2,1,2,N,2
34,3,1,2,1,1,N,2
62,3,6,2,1,1,N,1
30,3,6,2,1,1,N,2
22,3,6,1,1,1,N,2
12,3,N,2,1,1,N,2
63,3,3,2,1,1,N,2
6,3,N,2,1,1,N,2
40,3,1,1,1,1,N,2
51,3,1,2,1,2,N,2
55,3,2,1,3,0,N,2
72,3,1,2,1,1,N,2
67,3,1,2,1,1,N,2
70,3,6,2,1,2,N,2
43,3,6,2,1,2,N,1
57,3,1,1,1,1,N,2
44,3,6,1,1,2,N,2
64,3,3,1,1,1,N,2
5,3,N,1,1,2,N,2
29,3,6,2,1,2,N,2
70,3,4,2,1,1,N,2
59,3,6,2,1,1,N,2
79,3,3,1,1,1,N,2
16,3,6,2,1,1,N,2
78,3,1,1,1,1,N,1
69,3,1,1,1,1,N,2
60,3,1,2,1,1,N,2
16,3,6,1,1,1,N,2
47,3,1,2,1,2,N,2
30,3,1,2,1,2,N,2
55,3,1,2,1,1,N,2
20,3,6,1,1,1,N,2
42,3,6,2,1,1,N,2
17,3,6,1,1,1,N,2
1,3,N,1,1,1,N,2
12,3,N,1,1,1,N,2
68,3,6,2,1,2,N,2
47,3,4,1,1,1,N,2
33,3,1,1,1,1,N,2
56,3,1,1,1,1,N,2
21,3,6,2,1,2,N,2
6,3,N,2,1,2,N,2
79,3,4,1,1,2,N,1
65,3,1,2,1,1,N,2
2,3,N,1,1,2,N,2
12,3,N,2,1,2,N,2
25,3,6,1,1,1,N,2
15,3,6,2,1,1,N,2
30,3,1,2,1,1,N,2
42,3,4,1,1,1,N,2
55,3,6,1,1,2,N,2
62,3,1,2,1,1,N,2
3,3,N,2,1,1,N,2
62,3,1,2,1,1,N,2
18,3,6,1,1,2,N,2
66,3,2,1,1,1,N,2
31,3,6,1,1,1,N,2
4,3,N,2,1,1,N,2
40,3,6,1,1,2,N,2
43,3,1,2,1,1,N,2
78,3,3,1,1,1,N,2
22,3,6,1,1,1,N,2
59,3,2,2,3,0,N,2
40,3,4,2,1,1,N,2
47,3,1,1,1,1,N,2
3,3,N,1,1,2,N,2
57,3,6,1,1,1,N,2
58,3,3,2,1,1,N,2
45,3,1,2,1,2,N,2
23,3,1,2,1,2,N,2
18,3,6,1,1,1,N,2
80,3,1,2,1,2,N,2
11,3,N,2,1,1,N,2
67,3,4,1,1,1,N,2
42,3,1,1,1,2,N,2
80,3,3,1,1,1,N,2
15,3,6,1,1,2,N,2
28,3,6,2,1,1,N,2
15,3,6,2,1,1,N,2
20,3,6,1,1,1,N,2
66,3,4,2,1,1,N,2
12,3,N,1,1,1,N,2
79,3,1,1,1,2,N,2
13,3,N,1,1,1,N,2
67,3,1,2,1,1,N,2
13,3,N,2,1,1,N,2
13,3,N,1,1,1,N,2
77,3,3,2,1,1,N,2
60,3,6,2,1,1,N,2
57,3,1,2,1,1,N,2
59,3,1,1,1,1,N,2
55,3,2,1,1,1,N,2
55,3,6,2,1,1,N,2
8,3,N,2,1,1,N,2
1,3,N,2,1,1,N,2
52,3,1,1,1,1,N,2
18,3,6,1,1,2,N,2
15,3,6,2,1,1,N,2
24,3,1,2,1,2,N,2
59,3,6,2,1,1,N,2
22,3,6,1,1,1,N,2
2,3,N,2,1,1,N,2
55,3,6,2,1,2,N,2
61,3,1,1,1,2,N,2
17,3,6,1,1,1,N,2
27,3,1,2,1,2,N,2
40,3,1,1,1,2,N,2
61,3,3,1,1,1,N,2
30,3,6,1,1,1,N,2
75,3,3,1,1,1,N,2
73,3,1,2,1,1,N,2
25,3,6,1,1,1,N,2
56,3,6,1,1,1,N,2
17,3,6,2,1,1,N,2
10,3,N,1,1,2,N,2
66,3,2,2,1,1,N,2
11,3,N,1,1,2,N,2
1,3,N,1,1,1,N,2
57,3,6,1,1,1,2,2
31,3,6,2,1,2,N,2
7,3,N,1,1,1,N,2
21,3,6,1,1,1,N,2
55,3,4,1,1,1,N,2
40,3,1,2,1,1,N,2
17,3,6,1,1,2,N,2
5,3,N,1,1,1,N,2
61,3,1,2,1,1,N,2
12,3,N,1,1,1,N,2
17,3,6,1,1,1,N,2
66,3,2,1,3,0,N,1
3,3,N,1,1,1,N,2
4,3,N,2,1,2,N,2
30,3,6,2,1,2,N,2
67,3,3,2,1,2,N,1
53,3,1,1,1,1,N,2
57,3,1,2,1,1,N,2
56,3,1,1,1,1,N,2
50,3,4,2,1,2,N,2
73,3,3,1,1,1,N,2
38,3,6,1,1,1,N,2
24,3,6,2,1,2,N,2
37,3,2,1,1,1,N,2
62,3,1,2,1,1,N,2
5,3,N,1,1,2,N,2
26,3,3,2,1,1,N,2
4,3,N,2,1,2,N,2
53,3,1,1,1,1,N,2
67,3,4,1,1,1,5,2
30,3,6,1,1,1,N,2
4,3,N,2,1,1,N,2
93,3,3,2,1,1,N,2
30,3,1,2,1,2,N,2
4,3,N,1,1,1,N,2
12,3,N,1,1,2,N,2
34,3,4,1,1,1,N,2
65,3,1,1,1,1,N,2
70,3,1,1,1,1,N,2
47,3,1,2,1,2,N,2
30,3,1,2,1,1,N,2
69,3,1,2,1,1,N,2
20,3,6,2,1,1,N,2
16,3,6,1,1,2,N,2
16,3,6,2,1,1,N,2
66,3,2,1,3,0,N,2
59,3,1,1,1,1,N,2
5,3,N,1,1,1,N,2
10,3,N,1,1,1,N,2
24,3,1,1,1,1,N,2
61,3,4,2,1,1,N,2
57,3,6,1,1,1,2,1
5,3,N,1,1,2,N,2
10,3,N,1,1,1,N,2
21,3,6,1,3,0,N,2
43,3,6,2,1,2,N,2
61,3,3,2,1,1,N,2
17,3,6,1,1,2,N,2
42,3,5,1,1,2,N,2
27,3,4,1,1,1,N,2
15,3,6,2,1,1,N,2
24,3,6,2,1,1,N,2
4,3,N,2,1,2,N,2
32,3,6,1,1,2,N,2
11,3,N,2,1,2,N,2
66,3,3,2,1,1,N,2
9,3,N,2,1,1,N,2
7,3,N,2,1,1,N,2
40,3,1,2,1,1,N,2
2,3,N,1,1,2,N,2
70,3,4,2,2,0,N,1
69,3,1,2,1,1,N,2
25,3,6,1,1,1,N,2
45,3,6,1,1,2,N,2
30,3,1,2,1,1,N,1
49,3,1,2,1,1,N,2
26,3,6,2,1,1,N,2
15,3,6,2,1,1,N,2
21,3,6,2,1,1,N,2
34,3,4,2,1,2,N,2
5,3,N,1,1,2,N,2
15,3,6,2,1,1,N,2
4,3,N,2,1,2,N,2
43,3,4,2,1,2,N,2
68,3,1,2,1,1,N,2
47,3,1,1,1,1,N,2
67,3,1,2,1,1,5,2
48,3,4,1,1,2,N,2
38,3,6,1,1,2,N,2
27,3,4,2,1,1,N,2
67,3,3,1,1,1,N,2
28,3,6,2,1,2,N,2
