AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE
45,7,2,1,1,2,N,2
41,7,2,1,1,2,N,2
2,7,6,1,1,1,N,2
83,7,6,1,1,2,N,2
50,7,6,2,1,2,N,2
45,7,1,1,1,2,N,2
83,7,6,1,1,2,N,2
23,7,6,1,1,2,N,2
49,7,6,2,1,1,N,2
55,7,6,2,1,2,N,2
23,7,6,1,1,2,N,2
17,7,6,1,1,1,N,2
13,7,6,1,1,1,N,2
21,7,N,2,1,1,N,2
23,7,6,1,1,2,N,2
2,7,6,1,1,2,N,2
26,7,6,1,1,2,N,2
50,7,2,2,1,1,N,2
2,7,6,2,1,0,N,2
49,7,6,2,1,1,N,2
23,7,6,1,1,2,N,2
26,7,6,1,1,2,N,2
50,7,6,2,1,1,N,2
21,7,6,1,1,2,N,2
23,7,N,2,1,1,N,2
25,7,6,1,1,2,N,2
21,7,6,1,1,2,N,2
55,7,4,2,1,1,N,2
43,7,1,1,1,2,N,1
23,7,6,2,1,1,N,2
13,7,N,2,1,1,N,2
