PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
36-04010,15,1,6,0,2,N,N,3,0,50441.6,N,N,4,0.0,0,0,N,2,2,2,2,18,0
17-03529,34,1,6,0,1,N,N,3,0,15097.5,N,N,5,0.0,0,0,N,2,2,2,2,40,0
29-01901,55,1,6,0,1,0,2,1,2,5434.8,6870,9,5,17000.0,3,371,N,2,2,2,1,151,151
40-00200,46,1,6,0,1,0,2,1,1,90.7,N,N,5,1500.0,0,52,N,2,2,2,2,124,175
26-02702,23,1,6,0,2,0,2,1,1,4817.2,7480,10,5,1300.0,1,2,N,2,2,2,2,118,89
06-07502,52,1,6,0,2,N,N,3,0,33632.6,N,N,1,0.0,0,0,N,2,2,2,2,30,0
17-03531,77,1,1,0,2,0,2,1,2,11171.6,N,N,5,24000.0,4,232,N,2,1,2,2,66,47
19-01700,10,1,N,0,1,1,2,1,1,3572.3,N,N,3,N,N,177,N,2,2,2,2,100,131
13-04600,43,1,6,0,2,0,3,1,1,3670.4,N,N,5,9000.0,2,87,N,2,2,2,2,172,53
01-01301,81,1,4,0,2,0,2,1,2,2731.2,N,N,4,52300.0,6,394,N,2,2,1,2,182,182
13-04600,25,1,6,0,2,0,6,1,2,3670.4,N,N,5,10000.0,2,124,N,2,2,2,2,278,210
06-07502,71,1,6,0,1,0,4,1,1,33632.6,N,N,3,26000.0,4,319,N,2,1,2,2,115,114
38-00100,47,1,6,0,1,0,3,1,1,73.0,180,0,9,0.0,0,274,2,2,2,2,2,30,30
38-00100,34,1,1,0,1,0,9,1,1,73.0,8680,14,9,13200.0,2,24,N,2,1,2,1,326,326
06-07502,20,1,6,0,6,N,N,3,0,33632.6,8590,14,7,0.0,0,0,N,2,2,2,1,4,0
13-04600,7,1,N,0,2,3,4,1,2,3670.4,N,N,3,N,N,46,N,2,2,2,2,81,66
06-08507,94,1,1,0,1,0,2,1,2,3305.1,N,N,9,9400.0,2,76,N,2,1,2,2,104,103
13-04600,34,1,6,0,2,N,N,2,0,3670.4,N,N,4,0.0,0,N,N,2,1,1,2,47,0
01-01301,93,1,3,0,2,0,4,1,1,2731.2,N,N,5,27300.0,5,501,N,2,2,2,2,40,42
08-00803,8,1,N,1,1,1,4,1,2,3393.2,N,N,2,N,N,123,N,2,2,2,2,174,78
19-01700,64,1,1,0,1,0,2,1,1,3572.3,N,N,9,37000.0,6,378,N,2,2,2,2,61,61
51-01301,56,1,5,0,2,0,N,1,1,11162.8,7460,10,5,0.0,1,14,N,2,2,2,1,283,191
51-51255,86,1,1,0,1,1,3,1,1,11224.3,5391,6,9,110000.0,8,501,N,2,2,2,1,179,105
30-00600,60,1,1,0,5,2,5,1,1,16.3,7860,11,9,50200.0,7,333,5,2,1,1,1,17,38
17-03529,43,1,4,0,2,N,N,3,0,15097.5,N,N,7,0.0,0,0,N,2,2,2,2,65,0
29-01901,27,1,6,0,2,N,N,3,0,5434.8,N,N,1,9900.0,2,75,N,2,2,2,2,25,0
08-00803,8,1,N,1,1,5,7,1,2,3393.2,N,N,3,N,N,186,N,2,2,2,2,273,331
28-01100,89,1,6,0,1,N,N,3,0,2674.3,N,N,1,13800.0,3,111,N,2,1,1,2,50,0
32-00405,35,1,6,0,1,N,N,2,0,7990.5,7690,10,7,65000.0,6,N,N,2,2,2,2,128,0
38-00100,60,1,6,0,2,0,3,1,1,73.0,7072,9,6,61300.0,7,501,N,2,1,1,1,787,564
36-03710,63,1,4,4,8,0,N,1,2,52864.7,N,N,1,0.0,0,0,N,2,1,2,2,207,156
36-04010,69,1,6,0,1,N,N,3,0,50441.6,N,N,3,21600.0,4,159,N,2,1,2,2,10,0
36-03710,10,1,N,4,8,3,5,1,2,52864.7,N,N,3,N,N,45,N,2,2,2,2,250,228
08-00803,75,1,2,1,1,0,N,1,2,3393.2,N,N,7,9460.0,3,83,3,2,1,2,1,117,117
51-51255,94,1,1,0,1,1,3,1,1,11224.3,N,N,10,9000.0,2,501,4,2,1,2,2,179,105
51-51255,35,1,6,0,6,N,N,3,0,11224.3,770,3,10,86000.0,8,N,N,2,2,2,2,56,0
29-01901,53,1,4,0,1,0,N,1,1,5434.8,N,N,7,120.0,1,3,N,2,1,2,2,61,62
17-03529,64,1,4,0,2,N,N,2,0,15097.5,N,N,4,22300.0,5,N,N,2,2,2,2,54,0
30-00600,17,1,6,0,1,1,3,1,1,16.3,N,N,4,0.0,0,501,N,2,2,2,1,139,102
28-01100,25,1,6,0,1,1,5,1,1,2674.3,7860,11,6,0.0,1,76,N,2,2,2,2,97,91
01-01301,9,1,N,0,2,3,4,1,2,2731.2,N,N,3,N,N,162,N,2,2,2,2,309,125
19-01700,67,1,3,0,1,0,N,1,2,3572.3,N,N,7,10240.0,3,84,N,2,1,2,1,77,80
17-03531,58,1,4,0,1,0,N,1,2,11171.6,N,N,4,8800.0,2,68,N,2,1,2,2,181,180
30-00600,83,1,1,0,1,0,2,1,1,16.3,N,N,6,17000.0,3,262,N,2,1,2,2,32,32
17-03529,87,1,4,0,2,0,2,1,2,15097.5,N,N,3,31200.0,6,201,N,2,1,2,2,184,220
38-00100,58,1,4,0,1,0,2,1,1,73.0,7072,9,9,80000.0,8,501,N,2,2,2,2,787,807
29-01901,66,1,4,0,2,0,3,1,2,5434.8,7690,10,5,0.0,0,25,N,2,1,2,2,214,214
13-04600,25,1,2,0,2,0,3,1,1,3670.4,8680,14,8,45000.0,6,429,5,2,2,2,1,132,130
28-01100,64,1,3,0,1,N,N,2,0,2674.3,N,N,8,10600.0,2,N,5,2,1,2,2,7,0
17-03531,76,1,1,0,2,0,2,1,1,11171.6,N,N,5,1600.0,1,107,N,2,2,2,2,64,64
51-01301,90,1,1,0,1,0,2,1,1,11162.8,N,N,10,338900.0,9,501,N,2,1,2,2,77,82
29-01901,13,1,N,0,3,0,N,1,2,5434.8,N,N,4,N,N,N,N,2,2,2,2,118,98
13-04600,15,1,6,0,2,1,3,1,2,3670.4,N,N,4,0.0,0,48,N,2,2,2,2,61,52
24-01004,82,1,1,0,2,0,2,1,1,4187.9,N,N,10,65000.0,7,501,N,2,1,2,2,73,73
30-00600,85,1,1,1,1,0,2,1,2,16.3,N,N,7,10240.0,3,159,N,2,1,2,2,117,83
28-01100,67,1,1,0,1,0,4,1,1,2674.3,490,1,5,58300.0,8,485,N,2,1,2,2,48,37
36-03710,77,1,2,4,8,0,N,1,2,52864.7,N,N,1,5000.0,1,8,N,2,1,2,2,50,51
29-01901,64,1,4,0,2,N,N,2,0,5434.8,N,N,7,16000.0,4,N,N,2,1,2,2,66,0
19-01700,17,1,6,0,1,1,2,1,1,3572.3,8680,14,4,8000.0,2,265,N,2,2,1,1,50,50
26-02702,11,1,N,3,2,3,4,1,2,4817.2,N,N,3,N,N,11,N,2,2,2,2,157,111
32-00405,59,1,2,0,2,0,N,1,2,7990.5,5391,6,4,20400.0,3,204,N,2,1,1,1,125,172
29-01901,27,1,6,0,2,N,N,2,0,5434.8,N,N,6,8400.0,2,N,N,2,2,2,2,34,0
19-01700,50,1,6,0,1,0,N,1,2,3572.3,N,N,5,0.0,0,0,N,2,1,2,2,86,63
17-03529,65,1,6,0,2,N,N,2,0,15097.5,N,N,3,9000.0,2,N,N,2,1,1,1,100,0
40-00200,58,1,6,0,1,N,N,3,0,90.7,N,N,3,21600.0,4,157,N,2,2,1,2,50,0
06-07502,32,1,6,0,6,0,4,1,2,33632.6,8660,14,8,35000.0,5,355,N,2,2,2,2,247,370
17-03529,59,1,6,0,2,N,N,3,0,15097.5,N,N,9,0.0,0,0,N,2,1,2,1,8,0
