AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE
15,8,6,2,1,2,N,2
3,8,N,2,1,2,N,2
23,8,6,2,1,1,N,2
33,8,1,2,1,1,N,2
63,8,6,1,1,2,N,1
24,8,1,1,1,2,N,2
29,8,5,2,1,2,N,2
54,8,6,1,1,1,N,2
6,8,N,2,1,1,N,2
27,8,6,1,1,2,N,2
30,8,6,2,1,1,N,2
9,8,N,2,1,2,N,2
10,8,N,1,3,0,N,2
4,8,N,1,1,2,N,2
46,8,1,2,1,2,N,2
1,8,N,2,1,2,N,2
29,8,2,2,1,1,N,2
5,8,N,1,1,2,N,2
26,8,6,2,1,1,N,2
37,8,1,1,1,1,N,2
47,8,1,1,1,2,N,2
24,8,6,1,1,2,N,2
14,8,N,1,1,2,N,2
51,8,6,2,1,2,N,2
37,8,2,2,1,2,N,2
6,8,N,2,1,2,N,2
42,8,4,1,1,2,N,2
4,8,N,1,1,1,N,2
30,8,1,1,1,2,N,2
39,8,5,2,1,2,N,2
11,8,N,2,1,2,N,2
18,8,6,1,1,2,N,2
31,8,6,1,1,2,N,2
43,8,6,2,1,2,N,2
49,8,4,2,1,2,N,2
32,8,4,2,1,2,N,2
22,8,6,2,1,1,N,2
23,8,6,2,1,2,N,2
7,8,N,1,1,1,N,2
28,8,6,1,3,0,N,2
10,8,N,2,1,2,N,2
49,8,1,1,1,2,N,2
11,8,N,2,1,1,N,2
28,8,6,2,1,1,N,2
11,8,N,2,1,2,N,2
51,8,6,1,1,1,N,2
10,8,N,1,1,2,N,2
57,8,1,1,1,1,N,2
72,8,3,1,1,2,N,2
52,8,1,2,1,2,N,2
37,8,1,2,1,2,N,2
26,8,5,2,3,0,N,2
20,8,6,1,1,2,N,2
23,8,2,2,1,1,N,2
20,8,6,2,1,2,N,2
3,8,N,2,1,2,N,2
52,8,1,2,1,1,N,2
24,8,6,2,1,2,N,2
75,8,4,2,1,2,N,2
18,8,6,1,1,2,N,2
20,8,6,2,1,1,N,2
15,8,6,2,1,2,N,2
11,8,N,2,1,1,N,2
81,8,1,2,1,1,N,2
20,8,6,2,1,2,N,2
40,8,6,1,1,2,N,2
36,8,1,1,1,2,N,2
36,8,6,2,1,2,N,2
3,8,N,2,1,2,N,2
37,8,1,1,1,1,N,2
35,8,4,1,1,2,N,2
31,8,1,2,1,1,N,2
52,8,1,2,1,2,N,2
44,8,5,2,1,2,N,2
51,8,1,2,1,1,N,2
29,8,6,2,1,2,N,2
35,8,6,2,1,2,N,2
57,8,1,2,1,2,N,2
29,8,6,2,1,2,N,2
75,8,6,1,1,2,N,2
44,8,2,2,1,2,N,2
22,8,6,2,1,2,N,2
47,8,2,2,1,2,N,2
34,8,6,2,1,2,N,2
37,8,6,2,1,2,N,2
35,8,4,2,1,2,N,2
51,8,4,2,1,1,N,2
45,8,1,2,1,1,N,2
55,8,3,2,1,1,N,1
27,8,6,1,1,1,N,2
25,8,6,2,1,2,N,2
58,8,1,1,1,1,N,2
2,8,N,2,1,2,N,2
42,8,5,2,1,2,N,2
15,8,6,2,1,2,N,2
32,8,1,2,1,1,N,2
0,8,N,1,1,1,N,2
5,8,N,1,1,1,N,2
45,8,4,2,1,2,N,2
53,8,2,2,1,2,N,2
76,8,3,1,1,2,N,2
32,8,1,1,1,1,N,2
30,8,1,2,1,1,N,2
55,8,1,2,1,2,N,2
17,8,6,2,1,1,N,2
35,8,1,2,1,1,N,2
53,8,1,1,1,1,N,2
52,8,3,2,1,2,N,2
22,8,6,1,1,2,N,2
9,8,N,2,1,2,N,2
15,8,6,1,1,1,N,2
13,8,N,2,1,1,N,2
32,8,1,2,1,2,N,2
7,8,N,1,1,2,N,2
35,8,6,1,1,2,N,2
40,8,6,2,1,2,N,2
20,8,6,1,3,0,N,2
18,8,6,1,1,2,N,2
10,8,N,1,1,2,N,2
36,8,1,2,1,2,N,2
34,8,6,2,1,2,N,2
42,8,2,2,1,1,N,2
58,8,1,1,1,1,N,2
33,8,6,2,1,2,N,2
56,8,4,1,1,1,N,1
25,8,6,2,1,1,N,2
24,8,6,2,1,2,N,2
37,8,1,1,1,2,N,2
19,8,6,1,1,2,N,2
20,8,6,2,1,2,N,2
36,8,1,2,1,2,N,2
58,8,1,2,1,1,N,1
48,8,6,2,1,2,N,2
51,8,1,1,1,1,N,2
26,8,2,1,1,2,N,2
44,8,4,1,1,1,N,2
16,8,6,1,1,1,N,2
18,8,6,2,1,2,N,2
35,8,2,2,1,2,N,2
35,8,6,1,1,1,N,2
10,8,N,1,1,2,N,2
5,8,N,1,1,1,N,2
58,8,4,2,1,1,N,2
68,8,3,1,1,2,N,2
54,8,1,2,1,1,N,2
58,8,1,1,1,2,N,2
1,8,N,1,1,2,N,2
59,8,4,2,1,1,N,2
38,8,1,1,1,1,N,2
22,8,6,2,1,2,N,2
49,8,5,2,1,2,N,2
29,8,1,2,1,2,N,2
6,8,N,1,1,2,N,2
40,8,2,2,1,2,N,2
43,8,6,1,1,1,N,2
41,8,6,1,2,0,N,2
27,8,6,2,1,1,N,2
7,8,N,2,1,1,N,2
75,8,6,1,1,2,N,2
29,8,1,2,1,2,N,2
23,8,2,2,2,0,N,2
56,8,1,1,1,1,N,2
55,8,1,2,1,1,N,2
17,8,6,1,1,2,N,2
39,8,6,1,3,0,N,2
11,8,N,2,1,1,N,2
34,8,6,2,1,2,N,2
23,8,6,2,1,2,N,2
18,8,6,1,1,2,N,2
7,8,N,2,1,1,N,2
51,8,6,1,1,1,N,2
24,8,6,2,1,2,N,2
52,8,4,1,1,1,N,2
73,8,3,2,1,1,N,2
46,8,1,2,1,2,N,2
3,8,N,1,1,2,N,2
42,8,5,2,1,2,N,2
21,8,6,2,1,2,N,2
47,8,1,1,1,2,N,2
25,8,6,2,1,2,N,2
11,8,N,1,1,2,N,2
17,8,6,1,1,2,N,2
40,8,6,2,1,2,N,2
28,8,6,1,3,0,N,2
39,8,6,2,3,0,N,2
75,8,4,2,1,2,N,1
53,8,6,2,1,2,N,2
19,8,6,1,1,2,N,2
47,8,1,2,1,1,N,2
10,8,N,2,1,2,N,2
3,8,N,2,1,2,N,2
18,8,6,2,1,2,N,2
18,8,6,1,1,2,N,2
39,8,1,1,1,1,N,2
40,8,6,2,1,2,N,2
41,8,1,1,1,1,N,2
51,8,4,2,2,0,N,2
50,8,6,2,1,2,N,2
19,8,6,2,2,0,N,2
21,8,6,2,1,2,N,2
9,8,N,1,1,1,N,2
67,8,3,2,1,2,N,2
20,8,6,1,1,1,N,2
74,8,3,2,1,2,N,2
2,8,N,1,1,1,N,2
53,8,2,2,1,1,N,2
74,8,4,2,1,2,N,2
77,8,1,1,1,2,N,2
19,8,6,2,1,2,N,2
12,8,N,2,1,1,N,2
59,8,1,1,1,1,N,2
59,8,6,1,1,2,N,2
40,8,2,1,1,1,N,2
60,8,5,1,1,2,N,2
13,8,N,2,1,1,N,2
49,8,1,1,1,2,N,2
3,8,N,1,1,2,N,2
24,8,1,1,1,2,N,2
18,8,6,1,1,2,N,2
6,8,N,1,1,2,N,2
45,8,1,2,1,1,N,2
22,8,6,2,1,1,N,2
62,8,6,1,1,2,N,2
0,8,N,2,1,2,N,2
39,8,1,2,1,1,N,2
57,8,1,1,1,1,N,2
50,8,4,1,1,1,N,2
15,8,6,2,1,1,N,2
26,8,2,2,1,1,N,2
18,8,6,2,1,2,N,2
38,8,2,1,1,2,N,2
39,8,6,2,3,0,N,2
37,8,6,1,1,2,N,2
16,8,6,1,1,1,N,2
1,8,N,2,1,2,N,2
20,8,6,1,1,1,N,2
26,8,1,1,1,2,N,2
51,8,1,2,1,2,N,2
15,8,6,1,1,1,N,2
28,8,6,1,3,0,N,2
8,8,N,1,1,1,N,2
10,8,N,1,1,1,N,2
51,8,2,2,1,1,N,2
0,8,N,1,1,2,N,2
22,8,6,2,1,1,N,2
60,8,4,1,1,1,N,2
35,8,4,1,1,1,N,2
60,8,4,2,1,2,N,2
43,8,1,1,1,1,N,2
46,8,6,2,1,2,N,2
48,8,6,2,1,2,N,2
73,8,1,1,1,1,N,2
5,8,N,2,1,2,N,2
24,8,6,2,1,2,N,2
