,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,84,2,7,2,2,2,N,8,0,1,6180,7,1,0,2,1,88000.0,8,501,08-00803,61,1,1,61,84,2,7,2,2,2,N,1,6180,0,2,65000.0,7,485,87,87,68.75
1,60,2,7,2,2,2,N,7,0,1,9470,16,1,0,2,2,9000.0,2,358,13-04600,173,2,1,118,60,2,7,2,2,2,N,1,9470,0,2,43000.0,6,312,38,51,68.75
2,42,2,10,2,2,2,N,11,0,1,7280,10,1,0,2,2,30000.0,4,217,51-51255,92,1,1,92,38,2,10,2,2,2,N,1,7270,0,2,150000.0,9,501,60,60,56.25
3,25,2,7,2,2,2,N,8,0,1,4690,6,6,0,3,1,28600.0,5,338,28-01100,145,2,1,65,22,2,7,2,2,2,N,1,4670,1,7,8900.0,2,136,48,46,43.75
4,65,2,12,2,2,2,N,5,0,1,8990,15,3,0,N,2,30000.0,5,252,06-07502,128,6,1,128,65,2,12,2,2,2,N,1,8990,0,N,12000.0,3,99,85,86,68.75
5,46,1,7,2,2,2,N,4,1,1,N,N,1,0,5,2,9200.0,2,65,08-00803,90,1,1,95,47,2,7,2,2,2,N,1,N,0,4,0.0,0,137,92,39,50.0
6,49,2,7,2,2,2,N,5,0,1,7580,10,6,0,3,2,2800.0,1,98,01-01301,88,2,1,59,48,2,7,2,2,2,N,1,7580,0,3,2800.0,1,61,152,150,75.0
7,29,2,8,2,2,2,N,11,2,1,8191,12,1,0,2,2,57000.0,8,334,29-01901,210,1,1,210,32,2,8,2,2,2,N,1,8191,0,2,45000.0,7,501,210,210,75.0
8,60,2,10,2,2,2,N,5,0,1,8680,14,4,0,N,2,65000.0,7,497,51-51255,71,2,1,70,58,2,10,2,2,2,N,1,8680,0,N,135000.0,9,501,122,122,62.5
9,43,2,7,2,2,2,N,7,1,1,6690,8,1,3,5,1,35000.0,5,105,19-01700,126,1,1,125,43,2,7,2,2,2,N,1,6690,2,4,20000.0,3,176,126,126,62.5
10,83,2,0,2,2,2,N,9,0,1,7860,11,3,0,2,1,37000.0,5,219,38-00100,10,1,1,10,83,1,0,2,2,2,N,1,7860,0,2,41100.0,6,501,108,108,62.5
11,89,2,0,2,2,2,N,9,0,1,4880,6,6,0,N,1,37000.0,6,315,40-00200,64,1,1,10,53,2,0,2,2,2,N,1,5593,0,N,27000.0,5,204,195,196,56.25
12,55,2,13,2,2,2,N,4,0,1,7870,11,1,2,7,2,100000.0,8,311,36-04010,212,2,1,213,55,2,13,2,2,2,N,1,7860,0,4,22000.0,4,210,71,101,50.0
13,40,2,0,2,2,2,N,9,0,1,8590,14,6,0,N,2,49000.0,7,373,30-00600,60,1,1,50,67,2,0,2,2,2,N,1,8590,0,N,66550.0,8,501,50,50,68.75
14,33,2,10,2,2,2,N,12,0,1,7380,10,1,0,2,2,65000.0,7,501,51-01301,63,1,1,63,67,2,10,2,2,2,N,1,7270,0,2,11400.0,2,501,134,164,62.5
15,18,2,0,2,2,2,N,4,0,1,770,3,6,2,5,1,30000.0,4,334,30-00600,96,1,1,98,33,2,0,2,2,2,N,1,770,0,N,48000.0,7,364,128,127,50.0
16,68,2,0,2,2,2,N,3,0,1,770,3,1,0,2,1,55000.0,8,396,40-00200,148,1,1,190,68,2,0,2,2,2,N,1,770,0,2,15100.0,4,142,23,23,68.75
17,64,2,12,2,2,2,N,8,0,1,7690,10,5,0,N,2,32000.0,5,241,06-07502,135,6,1,134,64,2,12,2,2,2,N,1,7690,0,N,15500.0,3,118,135,135,75.0
18,70,2,8,2,2,2,N,10,0,1,N,N,6,0,N,1,79400.0,7,501,24-01004,67,1,1,67,70,2,8,2,2,2,N,1,N,0,N,79400.0,7,501,52,53,87.5
19,40,2,10,2,2,2,N,9,0,1,9370,16,1,0,2,1,82300.0,8,501,17-03531,75,2,1,83,29,2,10,2,2,2,N,1,9470,2,4,87000.0,8,338,117,117,50.0
20,24,2,7,2,2,2,N,7,0,1,3380,4,6,0,3,1,6500.0,1,501,06-08507,133,1,1,95,34,2,7,2,2,2,N,1,2880,0,3,14000.0,3,501,68,54,62.5
21,49,2,7,2,2,2,N,5,0,1,5593,6,2,2,5,2,20400.0,4,86,13-04600,54,2,1,45,36,2,7,2,2,2,N,1,5580,0,N,30000.0,5,227,103,103,43.75
