,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,1.1435297153639112e-14,0.024279629941019374,0.008275484381577198,-0.013267977375560965,-0.007888765120096293,0.0035332000240079382,0.012242831951760886,0.008231536361634574,-0.0030681686210585445,0.003379709459403
AGEP,0.024279629941019374,5.551115123125783e-16,-0.016986522296545382,-0.02420089711893951,0.08943876737242464,0.06859706569008353,0.11147070192654174,0.12641219745248455,0.04692164740636487,-0.059624529947479576
SEX,0.008275484381577198,-0.016986522296545382,-2.1760371282653068e-14,0.004804264295768931,-0.004873183740522271,-0.02964837330295561,0.01415771992412148,0.016931265599093203,0.00357261640481568,-4.26078631988458e-05
MSP,-0.013267977375560965,-0.02420089711893951,0.004804264295768931,-1.2323475573339238e-14,-0.007286284955696477,-0.002377627074374608,0.026107299600066858,0.01630933227100012,-0.002275531981716601,-0.012226735296377383
HISP,-0.007888765120096293,0.08943876737242464,-0.004873183740522271,-0.007286284955696477,2.220446049250313e-15,-0.01259803701972026,-0.003086876817966683,0.050745943838303775,-0.01723021650879475,0.018469052534552735
RAC1P,0.0035332000240079382,0.06859706569008353,-0.02964837330295561,-0.002377627074374608,-0.01259803701972026,-4.218847493575595e-15,-0.025166636214435066,-0.014345209396259051,-0.048751804841463325,0.029694705539902305
NOC,0.012242831951760886,0.11147070192654174,0.01415771992412148,0.026107299600066858,-0.003086876817966683,-0.025166636214435066,0.0,-0.14063426560209424,-0.028549074463261395,-0.0023909004145907242
NPF,0.008231536361634574,0.12641219745248455,0.016931265599093203,0.01630933227100012,0.050745943838303775,-0.014345209396259051,-0.14063426560209424,-2.220446049250313e-15,-0.014709013855311226,0.010652940156123225
OWN_RENT,-0.0030681686210585445,0.04692164740636487,0.00357261640481568,-0.002275531981716601,-0.01723021650879475,-0.048751804841463325,-0.028549074463261395,-0.014709013855311226,0.0,-0.005852030459742606
PINCP_DECILE,0.003379709459403,-0.059624529947479576,-4.26078631988458e-05,-0.012226735296377383,0.018469052534552735,0.029694705539902305,-0.0023909004145907242,0.010652940156123225,-0.005852030459742606,-3.3306690738754696e-16
