,feature,divergence
1,AGEP,0.8338724519949703
22,PWGTP,0.6005095010519382
0,PUMA,0.22705524981449438
14,PINCP,0.21144685231753835
23,WGTP,0.20020540260006053
13,EDU,0.18676585574879948
15,PINCP_DECILE,0.18455907319457132
11,INDP,0.1600837457509476
12,INDP_CAT,0.07482167810006152
7,NPF,0.06553721133485121
16,POVPIP,0.05765363105321188
4,HISP,0.04577145821709363
3,MSP,0.03968587502241345
10,DENSITY,0.039336614339328946
6,NOC,0.027535222508414465
9,OWN_RENT,0.021082487224211757
19,DPHY,0.020036343656682033
18,DREM,0.01448335037405886
2,SEX,0.009880085130687943
20,DEYE,0.0030081665043921457
21,DEAR,0.0026367355247688823
8,HOUSING_TYPE,0.0017722208920201363
17,DVET,0.0011901457704871772
5,RAC1P,0.0
