,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,39,4,6,0,4,1,2,281,25-00503,8,1,16,1,3,0,501,0.0
1,27,2,4,0,4,1,1,398,25-00503,1,2,50,0,2,5,234,20.0
2,22,3,1,1,5,1,4,318,25-01300,1,2,48,0,3,6,501,0.0
3,33,4,4,0,4,1,9,271,25-01300,1,2,62,0,2,7,501,20.0
4,71,0,4,0,2,1,5,294,25-00703,9,2,35,1,2,0,0,20.0
5,28,0,2,0,3,1,5,394,25-00503,6,1,48,0,N,8,501,20.0
6,27,1,1,2,N,2,9,360,25-00703,1,1,43,3,5,3,176,0.0
7,45,2,6,5,3,1,4,138,25-00703,2,1,26,0,2,0,378,0.0
8,14,4,4,2,3,2,7,409,25-02800,1,2,48,0,3,4,324,20.0
9,94,0,1,0,4,2,2,90,25-00703,2,2,68,0,2,7,501,20.0
10,72,0,1,0,4,1,2,356,25-01300,7,2,70,0,3,4,501,20.0
11,23,0,6,0,6,1,0,236,25-01300,8,2,59,0,N,8,501,20.0
12,67,0,4,1,3,2,2,0,25-00503,8,2,62,0,N,8,501,0.0
13,81,0,1,1,3,1,9,321,25-02800,9,1,72,0,2,2,501,0.0
14,26,1,1,0,5,1,3,501,25-02800,1,1,69,0,2,9,501,40.0
15,52,4,3,1,6,2,5,244,25-01300,1,1,67,2,5,1,369,0.0
16,57,4,6,2,N,1,3,456,25-01000,2,2,15,1,3,0,501,0.0
17,80,4,6,5,2,1,1,451,25-00703,6,1,15,3,4,2,204,0.0
18,1,4,3,0,2,2,7,244,25-01000,1,2,65,0,2,4,305,40.0
19,54,0,5,0,4,2,5,37,25-01000,1,2,59,0,N,7,501,20.0
20,94,4,6,0,4,2,1,276,25-01000,1,1,16,5,7,0,155,0.0
21,66,4,4,0,7,1,5,128,25-02800,9,2,44,0,N,9,501,20.0
22,64,0,5,1,2,2,4,236,25-01000,1,1,65,0,N,5,313,0.0
23,61,0,2,0,6,0,N,195,25-01000,1,1,52,N,N,2,N,0.0
24,49,0,1,0,3,2,4,391,25-01000,6,1,29,0,2,8,501,20.0
25,49,0,6,1,3,2,1,90,25-01300,8,1,22,0,2,3,260,0.0
26,43,2,1,2,N,1,7,198,25-02800,1,1,42,2,4,7,501,40.0
27,53,3,6,0,2,2,1,501,25-00503,1,1,16,2,4,1,501,40.0
28,48,0,4,0,2,2,5,272,25-02800,2,2,65,0,N,2,65,20.0
29,30,3,6,0,N,1,6,397,25-01300,1,1,18,0,3,1,501,20.0
30,36,0,4,0,N,2,5,463,25-00703,9,2,50,3,4,4,105,0.0
31,64,4,4,0,2,2,9,324,25-00703,2,1,57,0,N,5,267,20.0
32,26,0,6,0,4,2,7,373,25-02800,2,1,51,0,N,8,501,20.0
33,23,0,6,0,2,2,3,109,25-01000,9,1,17,1,2,1,344,20.0
34,41,4,N,1,N,1,4,157,25-02800,1,2,2,1,3,N,501,20.0
35,71,3,1,0,5,1,7,457,25-00503,1,2,62,1,3,9,501,0.0
36,66,0,4,1,4,1,2,501,25-00703,2,1,31,0,3,7,501,20.0
37,20,0,6,0,5,0,6,201,25-01000,6,1,66,N,N,0,N,0.0
38,60,0,1,3,3,2,N,226,25-02800,8,2,46,0,2,4,376,0.0
39,67,0,6,2,N,2,5,315,25-01000,6,2,34,0,N,8,501,20.0
40,70,4,1,0,7,2,4,326,25-02800,1,1,44,0,2,8,501,20.0
