,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,62,0,2,0,2,1,0,351,48-02102,2,2,42,0,7,0,351,60.0
1,84,2,6,0,2,1,7,501,48-02507,1,2,16,2,4,0,233,0.0
2,24,2,6,0,2,1,2,389,48-02101,1,2,15,1,5,0,501,0.0
3,50,0,1,0,2,2,9,501,48-02515,2,1,27,0,2,7,326,40.0
4,77,0,4,0,2,2,5,114,48-02516,2,2,65,0,N,6,295,20.0
5,17,0,6,3,5,0,2,196,48-02101,2,2,60,N,N,3,106,0.0
6,15,0,6,3,5,1,0,0,48-02102,3,2,18,1,4,0,455,20.0
7,44,0,4,2,4,1,6,450,48-02510,9,2,52,0,N,2,41,0.0
8,82,1,3,0,6,0,2,N,48-02510,1,2,92,N,N,0,N,20.0
9,13,1,N,1,3,2,N,63,48-02102,2,2,10,2,5,N,393,20.0
10,25,0,1,0,N,2,0,0,48-02510,3,2,25,1,3,0,154,40.0
11,51,0,4,0,2,1,2,501,48-02516,6,1,31,0,4,1,381,20.0
12,61,0,4,0,N,2,9,250,48-02507,9,1,30,4,5,5,87,0.0
13,55,0,2,2,4,2,6,301,48-02101,2,2,63,0,N,4,176,0.0
14,30,0,6,0,N,2,8,33,48-02101,9,2,25,2,3,0,0,0.0
15,17,0,6,3,6,2,3,501,48-02102,8,1,21,0,N,5,249,0.0
16,52,1,4,11,4,2,N,44,48-02515,1,1,66,0,N,7,501,0.0
17,56,1,2,0,2,2,1,72,48-02516,1,2,29,0,4,3,501,20.0
18,92,0,3,0,3,2,6,103,48-02516,2,2,62,0,N,3,80,20.0
19,1,4,N,1,3,2,N,501,48-02516,1,1,1,5,7,N,159,40.0
20,82,2,1,2,4,1,2,328,48-02102,2,1,48,2,7,4,476,20.0
21,14,0,N,1,2,1,N,57,48-02516,9,2,13,2,4,N,292,20.0
22,64,1,1,1,3,2,5,271,48-02507,8,1,26,1,3,2,162,40.0
23,92,0,3,0,2,1,5,306,48-02102,9,2,72,0,N,5,213,40.0
24,30,1,6,2,4,2,6,328,48-02101,9,1,15,1,2,1,56,0.0
25,0,2,N,3,5,2,N,389,48-02510,1,2,11,2,4,N,132,20.0
26,13,0,4,2,3,1,N,235,48-02507,6,2,64,0,2,1,355,0.0
27,60,0,4,0,2,2,3,374,48-02507,6,2,53,0,N,3,123,40.0
28,20,0,6,2,4,1,N,501,48-02515,3,2,24,0,4,2,330,20.0
29,37,1,1,3,5,1,4,194,48-02515,9,2,87,0,2,2,111,0.0
30,21,0,6,0,2,1,0,501,48-02516,3,2,25,0,4,8,304,20.0
31,33,0,6,2,4,0,5,482,48-02510,2,2,60,N,N,0,N,0.0
32,41,1,6,3,5,2,5,118,48-02515,9,2,23,0,N,2,40,0.0
33,22,1,6,0,2,1,2,58,48-02507,9,2,16,2,3,0,137,0.0
34,17,4,6,1,4,2,0,382,48-02507,1,2,23,1,2,2,57,20.0
35,12,1,N,3,5,1,N,362,48-02507,9,1,3,1,3,N,365,20.0
36,7,0,N,3,5,1,N,488,48-02507,7,2,11,2,5,N,144,40.0
37,78,0,3,0,3,2,2,473,48-02507,2,1,78,0,2,4,310,40.0
38,55,1,5,0,N,2,5,225,48-02507,1,2,55,0,2,6,430,40.0
39,84,4,4,4,5,1,2,379,48-02102,1,2,27,3,5,7,264,20.0
40,39,1,4,2,4,1,3,414,48-02101,8,2,30,0,4,6,450,20.0
41,37,0,1,2,4,2,5,334,48-02102,9,1,36,2,4,4,147,40.0
42,67,1,1,0,4,1,2,501,48-02101,9,1,64,0,2,9,501,40.0
43,54,0,4,1,3,2,7,267,48-02102,2,2,53,1,3,5,156,40.0
44,63,1,4,0,2,2,6,264,48-02507,1,1,33,0,N,7,382,20.0
45,25,0,5,0,2,2,5,390,48-02102,1,1,56,0,N,6,304,20.0
46,31,1,N,1,3,2,5,133,48-02101,9,2,14,2,3,N,330,20.0
47,46,0,4,1,3,1,9,501,48-02510,6,2,56,0,4,8,501,20.0
48,33,0,6,0,2,0,6,N,48-02102,6,2,21,N,N,2,N,20.0
49,39,2,1,1,4,2,3,188,48-02515,1,1,38,2,4,0,252,20.0
50,34,1,1,1,5,2,9,156,48-02516,8,1,29,0,2,6,501,0.0
51,72,2,1,0,5,2,9,409,48-02102,1,1,40,0,2,6,501,20.0
52,12,1,N,3,5,1,N,271,48-02510,8,2,10,2,4,N,501,20.0
53,78,1,3,3,5,2,5,194,48-02515,1,2,75,0,N,3,122,0.0
54,21,1,6,N,N,2,0,433,48-02516,1,1,22,1,4,0,317,20.0
55,18,4,6,1,3,1,1,234,48-02510,3,2,18,0,4,1,501,40.0
56,2,0,N,1,2,1,N,501,48-02515,6,2,1,1,3,N,501,60.0
57,37,2,4,0,2,1,6,235,48-02507,1,2,44,0,N,0,0,20.0
58,65,1,3,0,5,2,5,377,48-02102,1,2,84,0,3,2,501,20.0
59,24,1,6,0,6,1,0,226,48-02510,2,1,18,1,3,4,105,0.0
60,28,1,6,0,6,1,6,336,48-02101,9,1,18,1,6,1,501,20.0
61,29,1,1,0,2,1,4,501,48-02516,9,1,48,0,3,8,501,40.0
62,33,0,4,0,2,1,5,447,48-02515,9,1,64,0,N,7,418,20.0
63,41,0,6,2,4,1,7,232,48-02102,3,1,20,0,3,0,501,0.0
64,15,1,6,3,5,0,0,N,48-02510,1,2,87,N,N,2,N,20.0
65,11,0,N,1,3,0,N,242,48-02101,1,2,9,N,N,N,N,20.0
66,71,1,1,0,2,2,6,271,48-02507,8,2,26,1,3,4,162,0.0
67,16,0,6,2,5,0,0,0,48-02101,1,1,33,N,N,6,N,0.0
68,0,1,2,4,6,2,N,340,48-02515,1,1,40,0,N,5,235,0.0
