,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
9276,48-02507,50,1,4,0,1,0,3,1,1,3731.1,7071,9,5,38000.0,6,441,N,2,2,2,2,76,55
9277,48-02510,51,2,1,0,1,1,3,1,1,3092.4,7860,11,9,55000.0,7,501,N,2,2,2,2,204,204
9278,48-02101,3,2,N,1,1,3,6,1,1,357.4,N,N,N,N,N,260,N,N,N,2,2,18,14
9279,48-02515,71,1,4,0,1,0,N,1,1,2134.8,6470,8,4,28200.0,5,232,N,2,2,2,2,24,23
9280,48-02101,39,1,1,0,1,2,4,1,2,357.4,6290,7,7,150000.0,9,501,N,2,2,2,2,93,114
9281,48-02510,77,1,3,0,1,0,N,1,2,3092.4,N,N,9,35000.0,5,289,N,2,1,2,2,46,46
9282,48-02102,59,1,1,0,1,0,3,1,1,450.9,7860,11,10,52000.0,7,501,N,2,2,2,2,54,60
9283,48-02516,56,1,1,0,1,0,2,1,1,1338.4,8191,12,7,28000.0,5,462,N,2,2,2,2,129,129
9284,48-02516,6,1,N,0,1,3,6,1,1,1338.4,N,N,3,N,N,258,N,2,2,2,2,145,141
9285,48-02507,59,1,1,0,1,0,2,1,1,3731.1,770,3,7,87000.0,8,501,N,2,2,2,2,53,53
9286,48-02507,41,2,1,0,1,0,2,1,1,3731.1,N,N,8,0.0,0,501,N,2,2,2,2,21,24
9287,48-02102,31,2,4,1,1,0,N,1,1,450.9,9090,15,5,25000.0,4,188,N,2,2,2,2,160,159
9288,48-02101,45,2,1,0,1,0,2,1,1,357.4,8270,12,7,50000.0,7,471,N,2,2,2,1,24,22
9289,48-02102,35,1,1,0,1,3,5,1,1,450.9,770,3,5,107000.0,9,353,N,2,2,2,2,67,68
9290,48-02102,36,2,4,0,1,3,7,1,1,450.9,5391,6,7,800.0,1,197,N,2,2,2,2,39,39
9291,48-02516,49,2,1,0,1,1,3,1,1,1338.4,8680,14,7,29300.0,5,365,N,2,2,2,2,172,154
9292,48-02102,36,2,5,0,1,0,5,1,1,450.9,3080,4,5,6000.0,2,191,N,1,2,2,2,62,45
9293,48-02102,70,1,1,0,1,0,4,1,1,450.9,7680,10,9,32200.0,5,293,N,2,2,2,2,18,19
9294,48-02101,47,2,6,0,1,3,7,1,1,357.4,5580,6,5,31700.0,5,382,N,1,2,2,2,61,54
9295,48-02101,76,1,1,0,1,0,2,1,1,357.4,N,N,7,9300.0,2,325,N,2,2,2,2,275,275
9296,48-02102,82,2,3,0,1,0,3,1,1,450.9,N,N,4,12680.0,3,501,N,2,2,2,2,106,93
9297,48-02102,48,1,6,0,1,1,2,1,1,450.9,770,3,9,85000.0,8,501,N,2,2,2,2,84,61
9298,48-02507,33,1,1,0,1,2,4,1,1,3731.1,6970,9,9,100000.0,9,501,N,2,2,2,2,31,30
9299,48-02102,65,1,4,0,1,0,2,1,2,450.9,8680,14,4,21100.0,4,309,N,2,2,2,2,17,17
9300,48-02101,57,1,1,0,1,0,3,1,1,357.4,6992,9,7,100000.0,9,501,N,2,2,2,2,97,96
9301,48-02102,59,1,1,0,1,0,3,1,1,450.9,7860,11,10,52000.0,7,501,N,2,2,2,2,54,60
9302,48-02507,21,1,6,0,1,1,5,1,1,3731.1,N,N,8,0.0,0,501,N,2,2,2,2,60,57
9303,48-02507,42,1,1,0,1,0,4,1,2,3731.1,4170,5,7,18400.0,4,501,N,2,2,2,2,27,26
9304,48-02510,42,2,4,0,1,0,2,1,2,3092.4,N,N,7,12800.0,3,75,N,1,1,2,2,344,344
9305,48-02510,68,1,1,0,1,0,2,1,1,3092.4,6070,7,9,94700.0,8,501,N,2,2,2,2,76,76
9306,48-02516,48,1,6,0,1,0,N,1,1,1338.4,5070,6,5,38000.0,6,286,N,2,2,2,2,198,198
9307,48-02510,60,1,1,0,1,0,4,1,1,3092.4,2890,4,9,37000.0,6,365,N,2,2,2,2,89,88
9308,48-02101,17,2,6,0,1,1,3,1,1,357.4,290,0,4,1300.0,1,392,N,2,2,2,2,126,81
9309,48-02510,23,2,6,0,1,0,2,1,1,3092.4,6070,7,8,35000.0,5,501,N,2,2,2,2,160,140
9310,48-02102,42,2,1,0,1,3,5,1,1,450.9,9370,16,8,46000.0,6,398,N,2,2,2,2,64,60
9311,48-02102,70,1,1,0,1,0,2,1,1,450.9,6991,9,10,150000.0,9,501,N,2,2,2,2,292,269
9312,48-02515,31,1,1,0,1,1,3,1,1,2134.8,370,1,5,43200.0,6,319,N,2,2,2,2,16,16
9313,48-02102,51,1,4,0,1,2,3,1,1,450.9,7380,10,7,30000.0,5,147,N,2,2,2,2,175,175
9314,48-02102,20,1,6,1,1,3,6,1,1,450.9,N,N,5,0.0,0,171,N,2,2,2,2,343,212
9315,48-02101,34,2,1,0,1,1,3,1,1,357.4,3580,4,9,72200.0,8,481,3,2,2,2,2,82,72
9316,48-02515,87,2,3,0,1,0,N,1,2,2134.8,N,N,6,1400.0,1,11,N,2,1,2,2,102,101
9317,48-02515,34,1,6,0,1,2,8,1,1,2134.8,770,3,3,73000.0,8,501,N,2,2,2,2,64,39
9318,48-02516,53,1,1,1,1,0,3,1,1,1338.4,4971,6,7,0.0,0,501,N,2,2,2,2,72,72
9319,48-02510,59,1,1,0,1,0,2,1,1,3092.4,7380,10,9,125000.0,9,501,N,2,2,2,2,16,15
9320,48-02515,51,2,4,1,1,0,N,1,1,2134.8,7860,11,6,15600.0,3,118,N,2,2,2,2,50,50
9321,48-02507,2,1,N,1,1,3,5,1,1,3731.1,N,N,N,N,N,280,N,N,N,2,2,127,83
9322,48-02101,26,2,1,2,1,0,2,1,2,357.4,7480,10,9,22000.0,4,249,N,2,2,2,2,147,146
9323,48-02101,51,1,1,0,1,2,4,1,1,357.4,6170,7,7,127000.0,9,501,N,2,2,2,2,43,43
9324,48-02102,18,1,6,0,1,1,4,1,2,450.9,8680,14,5,12500.0,3,252,N,2,2,2,2,67,99
9325,48-02516,71,1,4,0,1,0,N,1,1,1338.4,3291,4,4,40700.0,6,332,N,2,2,2,2,74,74
9326,48-02102,77,2,1,0,1,0,2,1,2,450.9,N,N,10,33500.0,5,448,N,2,2,2,2,43,42
9327,48-02102,66,1,1,0,1,0,2,1,1,450.9,N,N,7,52100.0,7,501,N,2,2,2,2,42,42
9328,48-02510,81,1,1,0,1,0,2,1,1,3092.4,N,N,9,95000.0,8,501,N,2,2,2,2,21,21
9329,48-02510,55,2,3,0,1,0,N,1,1,3092.4,8470,13,6,5450.0,2,41,N,1,2,2,2,70,70
9330,48-02515,9,2,N,0,1,1,2,1,1,2134.8,N,N,3,N,N,406,N,2,2,2,2,16,15
9331,48-02510,67,1,1,0,1,0,4,1,2,3092.4,3580,4,9,48500.0,7,321,N,2,2,2,2,131,131
9332,48-02515,23,1,6,0,1,N,N,2,0,2134.8,8770,15,4,19200.0,4,N,N,2,2,2,2,91,0
9333,48-02101,64,1,5,1,1,1,6,1,1,357.4,N,N,7,48000.0,6,501,N,2,2,2,2,36,37
9334,48-02510,22,1,6,0,1,0,3,1,2,3092.4,N,N,7,0.0,0,501,N,2,2,2,2,99,75
9335,48-02510,35,2,1,0,1,2,4,1,1,3092.4,7860,11,9,0.0,0,116,N,2,2,2,2,111,111
9336,48-02507,55,2,6,1,1,0,5,1,2,3731.1,6380,7,5,18000.0,4,145,N,2,2,2,2,120,71
9337,48-02102,7,1,N,0,1,0,N,1,1,450.9,N,N,2,N,N,N,N,2,2,2,2,14,28
9338,48-02515,67,1,1,0,1,0,2,1,1,2134.8,7290,10,10,21700.0,4,501,N,2,2,2,2,15,15
9339,48-02515,1,2,N,0,1,2,4,1,1,2134.8,N,N,N,N,N,298,N,N,N,2,2,118,81
9340,48-02515,13,2,N,3,1,3,5,1,1,2134.8,N,N,3,N,N,293,N,2,2,2,2,145,110
9341,48-02516,53,2,1,4,1,1,3,1,2,1338.4,5391,6,8,12000.0,3,501,N,2,2,1,2,17,17
9342,48-02516,28,1,4,1,1,2,6,1,1,1338.4,8191,12,7,24000.0,4,372,N,2,2,2,2,109,106
9343,48-02101,1,1,N,1,1,6,7,1,1,357.4,N,N,N,N,N,35,N,N,N,2,2,72,167
9344,48-02515,28,1,6,0,1,1,5,1,2,2134.8,8680,14,5,23000.0,4,162,N,2,2,2,2,67,43
9345,48-02101,62,2,1,0,1,0,2,1,1,357.4,770,3,5,71000.0,8,501,N,2,2,2,2,17,13
9346,48-02515,68,2,1,0,1,0,2,1,2,2134.8,N,N,9,48500.0,7,501,N,2,2,2,2,45,46
9347,48-02510,21,2,6,0,1,0,2,1,1,3092.4,5593,6,7,10000.0,2,147,N,2,2,2,2,238,188
9348,48-02515,3,2,N,0,1,0,2,1,1,2134.8,N,N,2,N,N,60,N,N,N,2,2,71,49
9349,48-02510,72,1,3,0,1,0,2,1,1,3092.4,7870,11,7,120.0,1,228,N,2,2,2,1,94,94
9350,48-02515,36,1,1,1,1,2,4,1,2,2134.8,770,3,7,60000.0,7,304,N,2,2,2,2,107,107
9351,48-02102,57,2,1,0,1,0,2,1,1,450.9,N,N,5,1200.0,1,373,N,2,2,2,2,16,18
9352,48-02510,48,2,1,0,1,1,3,1,1,3092.4,6890,9,9,115000.0,9,501,N,2,2,2,2,74,73
9353,48-02102,10,2,N,0,1,2,3,1,2,450.9,N,N,3,N,N,147,N,2,2,2,2,147,172
9354,48-02516,34,2,1,0,1,2,4,1,1,1338.4,6870,9,9,0.0,0,345,N,2,2,2,2,86,76
9355,48-02507,20,2,6,0,1,1,5,1,1,3731.1,8680,14,4,8000.0,2,279,N,2,2,2,2,68,57
9356,48-02101,10,2,N,0,1,6,7,1,1,357.4,N,N,1,N,N,35,N,N,N,2,2,139,159
9357,48-02510,36,2,4,1,1,0,5,1,1,3092.4,7590,10,7,4000.0,2,501,N,2,2,2,2,89,55
9358,48-02101,3,1,N,1,1,1,3,1,1,357.4,N,N,2,N,N,280,N,N,N,2,2,62,84
9359,48-02510,43,1,1,0,1,4,6,1,1,3092.4,7870,11,9,1000.0,1,224,N,2,2,2,2,64,65
9360,48-02507,8,2,N,0,1,2,4,1,1,3731.1,N,N,3,N,N,280,N,2,2,2,2,48,47
9361,48-02516,11,2,N,0,1,2,4,1,1,1338.4,N,N,3,N,N,501,N,2,2,2,2,90,87
9362,48-02101,28,2,1,1,1,4,6,1,1,357.4,7071,9,10,88000.0,8,501,N,2,2,2,2,11,12
9363,48-02516,48,1,1,0,1,0,3,1,1,1338.4,7290,10,8,150600.0,9,501,5,2,2,2,2,61,30
9364,48-02102,0,2,N,0,1,0,2,1,1,450.9,N,N,N,N,N,430,N,N,N,2,2,69,65
9365,48-02516,62,2,1,0,1,0,2,1,1,1338.4,6390,7,8,30000.0,5,370,N,2,2,2,2,45,39
