,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
12215,48-02101,0,1,N,1,1,1,3,1,1,357.4,N,N,N,N,N,182,N,N,N,2,2,78,86
1662,48-02510,77,1,1,0,1,0,2,1,1,3092.4,7670,10,10,34800.0,5,445,N,2,1,2,2,96,96
1873,48-02507,55,2,1,0,8,0,2,1,1,3731.1,7860,11,9,60000.0,7,501,N,2,2,2,2,39,39
1251,48-02516,29,2,1,0,1,0,2,1,2,1338.4,7290,10,5,46000.0,6,496,N,2,2,2,2,525,497
17454,48-02507,22,2,6,0,2,0,3,1,2,3731.1,N,N,5,0.0,0,203,N,2,2,2,2,170,103
17161,48-02101,36,2,4,0,2,0,N,1,2,357.4,6170,7,5,35000.0,5,266,N,2,2,2,2,127,127
2098,48-02101,41,2,1,0,1,2,4,1,1,357.4,5580,6,5,21000.0,4,81,N,2,2,2,2,117,117
8659,48-02101,10,2,N,0,1,3,6,1,1,357.4,N,N,3,N,N,65,N,2,2,2,2,52,51
17757,48-02510,66,2,1,0,3,0,2,1,1,3092.4,4971,6,5,4900.0,2,306,2,2,2,2,2,97,55
15308,48-02102,22,1,6,0,1,1,5,1,1,450.9,N,N,4,9500.0,2,501,N,2,2,2,2,107,134
6919,48-02102,32,2,6,0,1,0,3,1,1,450.9,3580,4,10,87000.0,8,501,N,2,2,2,2,63,46
12175,48-02102,64,1,1,0,1,0,2,1,1,450.9,3070,4,10,180900.0,9,501,N,2,2,2,2,53,53
6282,48-02101,24,2,6,1,1,0,5,1,1,357.4,8980,15,5,35000.0,5,473,N,2,2,2,2,20,20
4907,48-02102,39,1,4,0,1,1,2,1,1,450.9,9470,16,7,28400.0,5,163,N,2,2,2,2,196,154
13623,48-02101,73,1,1,0,1,0,2,1,1,357.4,N,N,4,5600.0,2,200,N,2,2,2,2,81,81
5213,48-02510,43,2,4,0,1,1,2,1,1,3092.4,7970,12,9,86300.0,8,495,N,2,2,2,2,90,89
4468,48-02516,74,2,3,0,1,0,N,1,1,1338.4,N,N,8,120800.0,9,501,N,2,2,2,2,81,81
3105,48-02101,38,2,1,0,1,2,4,1,1,357.4,5070,6,7,0.0,0,73,N,2,2,2,2,78,79
8723,48-02510,7,1,N,0,1,2,4,1,1,3092.4,N,N,3,N,N,501,N,2,2,2,2,109,110
4836,48-02102,70,2,3,0,1,0,2,1,1,450.9,N,N,6,39300.0,6,476,N,2,1,2,2,103,103
14181,48-02101,32,1,6,0,1,2,3,1,1,357.4,2370,4,5,0.0,0,0,N,2,2,2,2,97,62
16315,48-02510,8,1,N,1,1,3,5,1,2,3092.4,N,N,3,N,N,458,N,2,2,2,2,263,229
12209,48-02515,18,1,6,0,1,1,3,1,2,2134.8,N,N,4,0.0,0,219,N,2,2,2,2,287,294
10776,48-02516,37,1,1,0,1,3,5,1,1,1338.4,4795,6,9,60000.0,7,501,N,2,2,2,2,19,19
993,48-02516,28,1,1,1,1,1,3,1,1,1338.4,8680,14,9,49000.0,7,290,N,2,2,2,2,71,71
12486,48-02510,9,1,N,0,1,3,5,1,1,3092.4,N,N,3,N,N,478,N,2,2,2,2,59,59
18201,48-02516,9,2,N,1,8,2,4,1,1,1338.4,N,N,2,N,N,251,N,2,2,2,2,77,68
5398,48-02510,67,2,4,0,1,0,6,1,1,3092.4,9470,16,5,7000.0,2,210,N,2,1,2,2,39,39
16696,48-02510,82,2,3,0,1,N,N,2,0,3092.4,4870,6,4,7600.0,2,N,N,1,1,1,2,83,0
14144,48-02101,61,1,1,0,1,0,3,1,1,357.4,7490,10,9,96000.0,8,501,N,2,2,2,2,59,59
17459,48-02516,9,1,N,0,2,4,6,1,1,1338.4,N,N,3,N,N,387,N,2,2,2,2,270,457
9029,48-02101,13,2,N,0,1,3,5,1,1,357.4,N,N,3,N,N,287,N,2,2,2,2,102,99
16525,48-02515,89,2,3,0,1,0,N,1,2,2134.8,N,N,5,39000.0,6,319,N,1,1,2,1,186,186
201,48-02515,33,1,1,1,1,3,5,1,1,2134.8,3580,4,10,124400.0,9,411,N,2,2,2,2,63,63
5730,48-02507,57,2,5,1,3,0,2,1,2,3731.1,8680,14,6,5400.0,2,184,N,2,2,2,2,111,67
6491,48-02516,23,1,6,0,1,0,3,1,1,1338.4,9590,16,9,50000.0,7,501,N,2,2,2,2,93,71
10053,48-02101,40,2,6,0,1,0,2,1,1,357.4,4690,6,5,16000.0,3,152,N,2,2,2,2,54,53
10108,48-02510,65,1,1,0,1,0,2,1,1,3092.4,N,N,9,189400.0,9,501,N,2,2,2,2,47,47
1533,48-02516,69,2,1,1,1,0,2,1,2,1338.4,N,N,5,6000.0,2,124,N,2,2,2,2,274,278
10948,48-02507,15,2,6,1,1,2,4,1,1,3731.1,N,N,3,0.0,0,498,N,2,2,2,2,97,91
14480,48-02101,92,1,1,0,1,0,2,1,1,357.4,N,N,5,21000.0,4,429,N,1,1,2,2,55,53
17984,48-02515,12,2,N,1,6,2,4,1,1,2134.8,N,N,3,N,N,491,N,2,2,2,2,52,56
6544,48-02516,22,1,6,0,1,1,4,1,1,1338.4,1370,4,9,3000.0,1,501,N,2,2,2,2,290,249
9890,48-02102,7,1,N,0,1,2,4,1,1,450.9,N,N,N,N,N,37,N,N,N,2,2,66,89
4640,48-02101,60,2,3,0,1,0,N,1,2,357.4,4690,6,5,68700.0,8,501,N,2,2,2,2,44,49
506,48-02101,54,2,1,0,2,1,3,1,1,357.4,6870,9,9,104900.0,9,501,N,2,2,2,2,111,111
3602,48-02101,36,1,1,0,1,2,4,1,1,357.4,6290,7,7,150000.0,9,501,N,2,2,2,2,91,104
4,48-02102,78,1,1,0,1,0,2,1,1,450.9,N,N,5,18000.0,4,501,N,1,2,2,2,323,321
14617,48-02507,75,2,6,0,1,0,N,1,1,3731.1,7870,11,4,19700.0,4,163,N,2,2,2,2,30,30
18412,48-02516,52,1,6,0,9,0,2,1,1,1338.4,8380,13,5,38000.0,6,366,N,2,2,2,2,90,90
17469,48-02101,9,2,N,0,2,1,3,1,2,357.4,N,N,3,N,N,501,N,2,2,2,2,92,70
1945,48-02516,68,2,1,0,1,0,3,1,1,1338.4,N,N,5,8400.0,2,258,N,1,1,2,2,15,13
15727,48-02101,53,2,6,0,1,0,N,1,1,357.4,5070,6,8,70100.0,8,501,N,2,2,2,2,47,47
17366,48-02515,39,1,6,0,2,0,N,1,2,2134.8,490,1,4,25000.0,4,189,N,2,2,2,2,370,299
2621,48-02515,55,1,1,0,1,0,2,1,1,2134.8,3580,4,9,160000.0,9,501,N,2,2,2,2,50,50
12646,48-02515,62,1,1,0,1,0,2,1,1,2134.8,4380,5,9,150000.0,9,501,N,2,2,2,2,157,155
3268,48-02507,22,1,1,0,8,0,2,1,1,3731.1,7870,11,8,1200.0,1,244,N,2,2,2,2,41,41
15807,48-02101,79,1,4,0,1,0,N,1,1,357.4,N,N,5,14400.0,3,117,N,2,2,2,1,45,45
10100,48-02101,51,2,1,0,1,1,3,1,1,357.4,6670,8,7,47000.0,6,280,N,2,2,2,2,85,86
15110,48-02516,41,2,3,0,1,2,3,1,1,1338.4,7860,11,8,36500.0,6,194,N,2,2,2,2,16,17
14496,48-02516,5,2,N,0,1,3,5,1,1,1338.4,N,N,1,N,N,216,N,2,2,2,2,18,16
918,48-02510,62,2,1,0,1,0,5,1,1,3092.4,6870,9,9,23300.0,4,232,N,2,2,2,2,51,54
9936,48-02101,7,1,N,0,1,2,4,1,1,357.4,N,N,3,N,N,501,N,2,2,2,2,21,18
8979,48-02101,14,1,N,0,1,1,3,1,2,357.4,N,N,4,N,N,306,N,1,2,2,2,36,38
