,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
9276,48-02510,40,1,1,0,1,2,4,1,2,3092.4,3875,4,7,483000.0,9,501,N,2,2,2,2,60,61
9277,48-02516,74,1,1,0,1,0,3,1,1,1338.4,N,N,7,28600.0,5,258,N,2,2,2,2,11,12
9278,48-02510,59,2,1,0,1,0,2,1,1,3092.4,6070,7,9,483000.0,9,501,N,2,2,2,2,97,97
9279,48-02507,49,1,1,0,1,0,2,1,1,3731.1,4890,6,7,65000.0,8,501,N,2,2,2,2,66,66
9280,48-02101,56,2,1,0,1,0,3,1,2,357.4,8191,12,9,45000.0,6,501,N,2,2,2,2,53,59
9281,48-02510,43,2,1,0,1,2,6,1,1,3092.4,7460,10,10,145000.0,9,501,N,2,2,2,2,94,88
9282,48-02102,57,2,1,0,1,0,3,1,1,450.9,N,N,6,0.0,0,406,N,2,2,2,2,6,6
9283,48-02101,55,2,1,0,1,0,2,1,1,357.4,N,N,7,0.0,0,501,N,2,2,2,2,68,69
9284,48-02101,37,1,1,0,1,5,7,1,1,357.4,5070,6,7,78000.0,8,229,N,2,2,2,2,60,59
9285,48-02101,65,2,1,0,1,0,2,1,2,357.4,1990,4,5,186700.0,9,501,N,2,2,2,2,12,16
9286,48-02510,50,2,1,0,1,2,5,1,1,3092.4,6070,7,9,483000.0,9,501,N,2,2,2,2,62,56
9287,48-02515,76,2,1,0,1,0,7,1,1,2134.8,N,N,3,9600.0,2,488,N,1,1,2,2,26,25
9288,48-02507,73,1,1,0,1,0,2,1,1,3731.1,N,N,9,82300.0,8,501,N,2,1,2,2,21,22
9289,48-02510,27,2,1,0,1,1,3,1,1,3092.4,7280,10,10,56000.0,7,443,N,2,2,2,2,55,54
9290,48-02515,46,2,1,0,1,3,5,1,1,2134.8,3291,4,7,100000.0,9,333,N,2,2,2,2,52,51
9291,48-02510,55,1,1,0,1,0,2,1,1,3092.4,8590,14,9,3200.0,1,501,N,2,2,2,2,15,16
9292,48-02507,77,2,1,0,1,0,2,1,1,3731.1,N,N,9,40000.0,6,501,N,2,2,2,2,23,23
9293,48-02510,47,1,1,0,1,2,4,1,1,3092.4,N,N,9,0.0,0,501,N,2,2,2,2,140,141
9294,48-02516,30,2,1,0,1,2,4,1,1,1338.4,770,3,7,80000.0,8,460,N,2,2,2,2,95,95
9295,48-02102,50,1,1,1,1,1,5,1,1,450.9,6890,9,9,147000.0,9,501,N,2,2,2,2,133,132
9296,48-02507,37,1,1,1,1,0,5,1,1,3731.1,7870,11,9,0.0,0,375,N,2,2,2,2,77,46
9297,48-02102,48,2,1,0,1,1,4,1,1,450.9,9920,18,7,69000.0,8,501,N,2,2,2,2,43,42
9298,48-02507,32,1,1,0,1,2,4,1,1,3731.1,770,3,5,36000.0,6,140,N,2,2,2,2,150,174
9299,48-02102,52,2,1,0,1,0,2,1,1,450.9,7780,10,6,11300.0,3,493,N,2,2,2,2,125,97
9300,48-02510,71,1,1,0,1,0,2,1,1,3092.4,N,N,7,74700.0,8,501,N,2,2,2,2,53,58
9301,48-02101,83,1,1,0,1,0,2,1,2,357.4,N,N,5,19500.0,4,179,N,2,1,1,2,31,33
9302,48-02507,64,2,1,0,1,0,2,1,1,3731.1,7380,10,7,29000.0,5,459,N,2,2,2,2,20,22
9303,48-02515,57,1,1,1,1,0,2,1,1,2134.8,6370,7,7,65000.0,8,380,1,2,2,2,2,104,93
9304,48-02102,55,1,1,0,1,0,2,1,1,450.9,2570,4,7,110350.0,9,501,N,2,2,2,2,61,103
9305,48-02102,53,2,1,0,1,0,5,1,1,450.9,8090,12,6,60000.0,7,501,N,2,2,2,2,102,62
9306,48-02101,33,1,1,1,1,2,4,1,2,357.4,8980,15,9,4000.0,2,501,2,2,2,2,2,146,167
9307,48-02102,65,1,1,0,1,0,2,1,1,450.9,3070,4,10,180900.0,9,501,N,2,2,2,2,54,54
9308,48-02102,28,2,1,0,1,0,2,1,1,450.9,8191,12,9,82000.0,8,501,N,2,2,2,2,21,23
