,EDU,HISP,INDP_CAT,MSP,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,PINCP_DECILE_y,percent_match
0,9,0,8,4,1,8,25-00703,1,2,7,0.0
1,11,0,10,1,2,9,25-00703,1,1,9,100.0
2,5,0,8,1,1,6,25-00503,1,1,9,0.0
3,8,0,14,1,1,4,25-01000,1,1,5,0.0
4,5,0,N,4,2,7,25-01000,1,1,1,0.0
5,5,0,14,4,2,3,25-02800,1,1,6,0.0
6,3,4,N,N,1,N,25-01000,1,2,N,100.0
7,10,0,9,6,1,8,25-00703,1,1,9,0.0
8,9,0,15,1,1,7,25-01300,1,2,4,0.0
9,8,0,N,3,1,6,25-01000,1,1,2,0.0
10,10,0,14,1,2,7,25-02800,1,2,4,0.0
11,9,0,N,1,2,8,25-01000,1,1,6,0.0
12,9,0,5,6,2,7,25-01300,1,1,5,0.0
13,4,0,N,6,1,0,25-00703,6,2,0,100.0
14,8,0,6,6,1,1,25-00703,1,2,7,0.0
15,9,0,9,2,1,0,25-00503,6,2,6,0.0
16,3,0,N,1,1,3,25-01300,1,1,6,0.0
17,5,0,9,6,1,5,25-01300,1,1,7,0.0
18,2,0,N,N,1,N,25-02800,6,1,N,100.0
19,7,0,10,4,1,6,25-01300,1,2,6,100.0
20,5,0,4,1,1,5,25-00503,1,2,0,0.0
21,9,0,8,1,2,8,25-02800,1,2,2,0.0
22,7,0,5,1,1,9,25-02800,1,1,7,0.0
23,7,0,14,1,1,7,25-00503,1,2,1,0.0
24,5,0,8,4,1,5,25-01000,1,1,3,0.0
25,3,0,N,N,2,N,25-00703,9,1,N,100.0
26,6,0,6,6,1,2,25-01300,1,1,4,0.0
27,7,0,6,1,1,7,25-01300,1,1,4,0.0
28,3,0,N,N,2,N,25-00703,2,1,N,100.0
29,5,0,N,6,1,0,25-00503,1,1,2,0.0
30,5,0,13,6,1,6,25-02800,1,2,4,0.0
31,5,0,6,4,2,5,25-00703,1,1,2,0.0
32,12,0,4,1,1,9,25-01000,6,1,9,100.0
33,6,0,N,1,1,1,25-01000,1,1,7,0.0
34,10,0,11,4,1,7,25-00503,1,2,8,0.0
35,9,0,11,4,1,7,25-00703,9,2,0,0.0
36,8,0,6,4,1,3,25-02800,1,1,9,0.0
37,7,0,9,6,1,5,25-01300,1,1,1,0.0
38,10,0,11,1,2,5,25-01300,1,1,2,0.0
39,10,0,10,6,1,6,25-00503,6,2,9,0.0
40,7,0,14,6,2,4,25-01000,1,2,3,0.0
41,8,0,9,1,1,6,25-02800,1,2,7,0.0
42,4,0,14,6,1,1,25-01000,1,2,1,100.0
43,3,4,N,N,2,N,25-00703,1,2,N,100.0
44,4,0,N,N,1,N,25-01000,1,2,N,100.0
45,9,0,5,1,2,7,25-00703,1,1,8,0.0
46,9,0,16,4,1,8,25-01300,1,2,7,0.0
47,7,0,11,4,1,9,25-01000,1,2,6,0.0
48,7,0,12,3,1,6,25-00703,1,1,6,100.0
49,6,0,12,1,1,5,25-01300,1,2,4,0.0
50,9,0,15,6,1,7,25-00703,1,2,1,0.0
51,10,0,N,3,2,9,25-01300,1,2,6,0.0
52,11,0,10,1,1,9,25-01300,9,2,7,0.0
53,9,0,16,6,1,8,25-02800,1,1,7,0.0
54,7,0,12,6,2,5,25-00703,1,1,4,0.0
55,4,0,N,6,0,0,25-00503,1,2,0,100.0
56,9,0,N,6,0,0,25-02800,1,1,0,100.0
57,N,0,N,N,2,N,25-01300,1,1,N,100.0
58,9,0,13,6,2,2,25-01300,1,2,5,0.0
59,9,0,10,6,0,1,25-00503,6,2,3,0.0
60,7,0,10,6,2,5,25-02800,1,1,3,0.0
61,10,0,8,6,1,9,25-00703,1,1,8,0.0
62,11,0,9,1,1,8,25-00503,6,2,7,0.0
63,6,0,3,6,1,5,25-01300,1,1,8,0.0
64,9,0,N,4,1,4,25-01300,1,2,7,0.0
65,10,0,4,4,2,9,25-00503,1,1,9,100.0
66,8,0,3,1,1,7,25-00703,1,1,6,0.0
67,7,0,3,6,1,6,25-00503,1,1,2,0.0
68,7,0,12,3,1,6,25-01000,1,2,6,100.0
69,10,0,10,6,2,8,25-00703,1,1,6,0.0
70,2,0,N,N,2,N,25-02800,6,1,N,100.0
71,10,0,N,2,1,7,25-01000,1,2,3,0.0
72,5,0,2,1,2,3,25-00703,1,1,8,0.0
73,7,0,7,6,1,7,25-01300,1,1,1,0.0
74,4,0,6,6,2,1,25-00703,1,1,1,100.0
75,9,0,16,3,1,7,25-00703,1,2,8,0.0
76,8,0,15,1,1,6,25-02800,1,1,5,0.0
77,5,0,11,1,1,3,25-02800,1,2,3,100.0
78,9,0,11,6,1,5,25-01000,1,1,5,100.0
79,7,0,N,4,0,3,25-01300,1,2,0,0.0
80,10,0,14,1,1,5,25-01300,1,2,9,0.0
81,7,0,14,6,2,2,25-02800,1,2,5,0.0
82,7,0,6,4,0,2,25-01300,1,2,2,100.0
83,4,0,14,6,1,1,25-00503,6,1,1,100.0
84,10,0,4,6,1,9,25-01300,1,1,7,0.0
85,5,0,6,1,2,8,25-00703,1,1,4,0.0
86,8,0,15,6,1,4,25-01000,1,2,5,0.0
87,9,0,N,3,1,7,25-01000,1,1,4,0.0
88,5,0,6,4,2,4,25-02800,1,1,4,100.0
89,5,0,7,4,1,7,25-01300,1,1,4,0.0
90,7,0,6,3,1,1,25-00703,1,2,9,0.0
91,10,0,11,6,1,5,25-00703,1,1,6,0.0
92,10,0,6,1,1,6,25-01300,1,2,5,0.0
93,7,0,13,6,0,3,25-00703,1,2,1,0.0
94,5,0,9,4,1,4,25-00703,1,1,6,0.0
95,9,0,12,5,1,7,25-01300,1,2,5,0.0
96,9,0,16,3,1,7,25-01000,1,2,8,0.0
97,7,0,8,4,1,4,25-00703,1,2,3,0.0
98,7,0,13,6,2,4,25-00703,1,2,6,0.0
99,8,0,6,1,1,3,25-01000,1,1,5,0.0
100,7,0,4,4,1,9,25-00703,1,1,8,0.0
101,5,0,10,1,2,5,25-00703,2,1,6,0.0
102,9,0,13,1,1,6,25-00703,1,1,0,0.0
103,10,0,16,1,1,6,25-01000,6,2,9,0.0
104,10,0,4,2,2,9,25-00503,1,1,9,100.0
105,4,0,N,3,2,3,25-00703,1,2,3,100.0
106,9,0,6,4,1,9,25-00503,1,1,6,0.0
107,5,0,14,4,1,4,25-00703,1,2,1,0.0
108,7,0,N,6,2,2,25-00703,1,2,2,100.0
109,12,0,11,1,1,6,25-01000,1,2,8,0.0
110,9,0,N,3,2,3,25-02800,1,2,2,0.0
111,12,0,12,1,1,9,25-00503,6,1,9,100.0
