,EDU,HISP,INDP_CAT,MSP,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,PINCP_DECILE_y,percent_match
0,4,0,14,6,1,7,25-01000,8,1,1,0.0
1,8,0,N,6,2,2,25-02800,1,2,2,100.0
2,8,0,10,1,1,6,25-01000,1,2,4,0.0
3,10,0,12,4,2,8,25-02800,1,2,5,0.0
4,12,0,10,6,1,9,25-00503,6,1,9,100.0
5,5,0,6,4,2,2,25-02800,1,1,4,0.0
6,9,0,10,1,1,7,25-02800,6,2,6,0.0
7,12,0,12,1,2,1,25-01300,6,2,9,0.0
8,7,0,7,4,1,6,25-00703,1,2,8,0.0
9,5,0,N,6,1,1,25-00503,6,1,0,0.0
10,7,0,15,6,1,7,25-00503,1,1,1,0.0
11,6,0,N,4,2,2,25-00703,1,2,0,0.0
12,10,0,12,1,2,6,25-00703,1,2,3,0.0
13,7,0,7,4,1,7,25-01300,1,2,6,0.0
14,1,0,9,1,1,1,25-00703,1,1,5,0.0
15,5,0,10,4,1,9,25-00703,1,1,7,0.0
16,12,0,11,1,1,4,25-00703,6,2,2,0.0
17,4,0,14,6,1,1,25-00503,6,2,1,100.0
18,9,0,4,6,1,9,25-00503,1,2,8,0.0
19,7,0,4,4,1,9,25-00703,1,1,8,0.0
20,5,0,4,6,1,6,25-01300,1,1,5,0.0
21,5,0,N,2,1,4,25-02800,1,2,0,0.0
22,7,0,15,4,1,2,25-01000,1,2,2,100.0
23,5,0,N,6,1,0,25-00503,1,1,2,0.0
24,9,0,12,6,2,4,25-02800,1,1,5,0.0
25,5,0,14,1,1,5,25-01300,1,1,6,0.0
26,10,0,5,1,1,7,25-00703,1,1,9,0.0
27,7,0,11,3,1,8,25-01000,1,2,7,0.0
28,8,0,12,3,1,3,25-00703,1,2,4,0.0
29,4,0,N,1,1,0,25-00503,6,2,1,0.0
30,12,0,4,6,2,8,25-00503,6,1,9,0.0
31,10,0,N,1,1,7,25-01300,6,2,1,0.0
32,8,0,12,4,1,5,25-01000,1,2,4,0.0
33,9,0,N,4,2,3,25-02800,1,2,3,100.0
34,5,0,N,4,1,4,25-01000,1,1,2,0.0
35,10,0,12,6,1,8,25-01000,1,2,8,100.0
36,4,0,N,6,2,1,25-00503,6,2,0,0.0
37,10,0,9,4,1,9,25-00703,1,2,4,0.0
38,5,0,15,1,1,6,25-00703,1,1,5,0.0
39,7,0,N,2,1,4,25-01000,1,2,2,0.0
40,7,0,7,6,1,1,25-01000,1,1,8,0.0
41,5,0,14,6,2,3,25-01000,1,1,4,0.0
42,10,0,10,6,1,0,25-02800,1,2,6,0.0
43,5,0,6,1,1,4,25-00503,6,2,0,0.0
44,4,0,N,6,0,2,25-01300,1,1,0,0.0
45,9,0,N,6,1,2,25-02800,6,2,0,0.0
46,9,0,13,1,1,2,25-02800,1,2,4,0.0
47,7,0,N,4,1,7,25-01300,1,2,0,0.0
48,5,0,3,1,2,7,25-02800,1,1,7,100.0
49,10,0,9,6,1,2,25-00703,1,1,9,0.0
50,4,0,N,2,1,0,25-01300,6,2,0,100.0
51,8,0,16,1,1,3,25-02800,1,2,5,0.0
52,9,0,9,6,2,6,25-00703,1,1,7,0.0
53,5,0,16,6,1,6,25-02800,1,1,6,100.0
54,9,0,6,6,1,2,25-02800,1,2,6,0.0
55,7,0,12,4,2,6,25-01000,1,2,4,0.0
56,9,0,12,6,1,8,25-02800,6,2,0,0.0
57,7,0,13,1,1,2,25-00503,1,2,7,0.0
58,4,0,15,6,1,3,25-01300,1,2,2,0.0
59,7,0,13,1,1,4,25-02800,6,2,6,0.0
60,9,0,10,1,1,7,25-01300,2,2,9,0.0
61,5,0,N,4,0,2,25-00703,1,2,2,100.0
62,10,0,3,6,1,9,25-02800,1,2,6,0.0
63,10,0,12,1,2,6,25-02800,1,2,7,0.0
64,5,2,10,6,0,2,25-00503,1,1,4,0.0
65,7,0,13,1,1,6,25-01000,1,2,2,0.0
66,4,0,3,6,2,4,25-00703,1,1,7,0.0
67,10,0,N,4,1,8,25-02800,1,1,8,100.0
68,5,0,3,1,1,6,25-00703,1,2,4,0.0
69,10,0,3,1,1,9,25-00503,1,1,9,100.0
70,5,0,10,1,2,7,25-02800,1,2,3,0.0
71,7,0,6,6,2,5,25-00703,1,1,3,0.0
72,7,0,10,3,1,5,25-00703,1,2,7,0.0
73,9,0,4,4,1,8,25-01000,1,1,9,0.0
74,12,0,4,1,1,9,25-01300,1,2,9,100.0
75,5,0,12,6,2,5,25-02800,1,1,3,0.0
76,9,0,16,1,1,6,25-00503,1,2,4,0.0
77,5,0,N,6,0,2,25-01300,2,2,0,0.0
78,9,0,6,6,1,8,25-00503,6,2,4,0.0
79,5,0,N,2,1,3,25-01300,1,2,4,0.0
80,7,0,15,1,1,5,25-01300,1,2,0,0.0
81,10,0,N,1,2,0,25-00503,6,2,0,100.0
82,7,0,2,1,1,9,25-01300,1,1,7,0.0
83,10,0,16,1,1,9,25-00503,6,2,6,0.0
84,10,0,8,1,1,7,25-02800,6,2,8,0.0
85,10,0,N,3,2,2,25-01300,1,2,6,0.0
86,5,0,13,6,0,1,25-00703,1,1,1,100.0
87,9,0,10,2,1,7,25-00703,1,2,7,100.0
88,11,0,9,1,1,9,25-01000,1,1,6,0.0
89,7,0,4,6,0,3,25-00503,1,2,1,0.0
90,9,0,3,1,1,8,25-01000,1,2,7,0.0
91,8,0,11,6,0,1,25-00703,1,2,1,100.0
92,7,0,14,1,1,1,25-00503,1,2,1,100.0
93,7,0,16,1,1,8,25-02800,1,2,3,0.0
94,9,0,N,3,1,7,25-01300,1,1,6,0.0
95,5,0,6,4,1,6,25-00503,1,2,4,0.0
96,7,0,9,6,1,7,25-01300,1,1,1,0.0
97,5,0,10,4,1,8,25-00503,1,1,7,0.0
98,N,0,N,N,2,N,25-00503,6,1,N,100.0
99,4,0,N,3,1,2,25-00703,1,2,3,0.0
100,9,0,14,6,2,5,25-02800,1,2,5,100.0
101,7,0,3,6,1,7,25-00503,1,1,2,0.0
102,8,0,15,1,1,7,25-02800,1,1,5,0.0
103,8,0,6,1,2,4,25-00703,1,2,6,0.0
104,6,0,N,1,1,0,25-00703,1,2,2,0.0
105,4,0,8,4,1,2,25-01300,1,2,7,0.0
106,8,0,14,1,2,3,25-00703,1,2,5,0.0
107,12,0,10,6,1,7,25-02800,1,2,9,0.0
108,5,0,N,4,0,2,25-02800,1,2,0,0.0
109,7,0,N,6,0,0,25-00503,2,1,0,100.0
110,8,0,12,1,1,7,25-00703,1,1,1,0.0
111,10,0,12,1,1,4,25-01300,6,2,5,0.0
112,8,0,6,6,1,1,25-00503,1,2,4,0.0
113,5,0,12,1,1,7,25-00503,1,2,4,0.0
114,9,0,4,1,2,9,25-01000,1,1,8,0.0
115,10,0,11,4,1,6,25-00503,1,2,8,0.0
116,7,0,6,6,2,1,25-00503,1,1,3,0.0
117,9,0,9,6,1,1,25-01000,1,2,7,0.0
118,8,0,N,3,1,4,25-01000,1,1,2,0.0
119,8,0,6,6,1,1,25-02800,1,2,4,0.0
120,9,0,11,4,1,5,25-01000,1,2,1,0.0
121,1,1,N,N,1,N,25-00503,1,1,N,100.0
122,7,0,4,6,1,7,25-01300,1,1,5,0.0
123,7,0,12,4,1,8,25-01000,1,2,5,0.0
124,7,0,N,3,1,9,25-00503,1,1,4,0.0
125,10,0,12,4,1,7,25-01000,1,2,7,100.0
126,5,0,4,1,1,3,25-01300,1,2,4,0.0
127,5,0,8,4,1,7,25-02800,1,1,6,0.0
128,7,0,6,1,2,6,25-00703,1,1,4,0.0
