,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
7636,25-01300,16,1,6,0,1,4,9,1,1,1457.2,N,N,4,0.0,0,501,N,2,2,2,2,60,54
7637,25-01000,30,2,1,0,1,0,2,1,2,2447.1,6970,9,9,85000.0,8,501,N,2,2,2,2,113,113
7638,25-00703,50,2,1,0,1,1,3,1,1,2195.3,7390,10,10,50000.0,6,501,N,2,2,2,2,120,121
7639,25-00703,33,1,1,0,1,0,2,1,1,2195.3,3580,4,4,85000.0,8,501,N,2,2,2,2,132,132
7640,25-00703,32,2,6,0,1,0,4,1,1,2195.3,9370,16,5,65000.0,7,501,N,2,2,2,2,169,126
7641,25-01300,23,1,6,0,1,0,N,1,2,1457.2,8680,14,7,38100.0,5,289,N,2,2,2,2,75,62
7642,25-01300,25,1,6,0,1,0,3,1,1,1457.2,570,2,5,30000.0,4,501,N,2,2,2,2,112,88
7643,25-00703,23,2,6,0,1,0,4,1,1,2195.3,8191,12,9,45000.0,5,501,N,2,2,2,2,82,64
7644,25-01300,21,1,1,0,1,0,2,1,1,1457.2,7460,10,9,60000.0,6,394,N,2,2,1,2,131,131
7645,25-02800,14,1,6,0,1,0,2,1,1,3683.9,N,N,3,5000.0,1,37,N,2,2,2,2,78,67
7646,25-01000,60,1,3,0,1,0,N,1,1,2447.1,7580,10,8,37300.0,5,306,N,2,2,2,2,152,152
7647,25-01000,51,2,1,0,1,3,5,1,1,2447.1,6290,7,9,120000.0,8,394,N,2,2,2,2,76,63
7648,25-02800,5,2,N,0,1,3,4,1,1,3683.9,N,N,3,N,N,501,N,2,2,2,2,70,55
7649,25-02800,58,2,1,0,1,0,2,1,1,3683.9,6970,9,9,225000.0,9,501,N,2,2,2,2,73,72
7650,25-01000,32,1,6,0,1,0,6,1,1,2447.1,770,3,5,40000.0,5,311,N,2,2,2,2,83,50
7651,25-00703,53,2,1,0,1,3,5,1,1,2195.3,4195,5,7,150000.0,9,501,N,2,2,2,2,76,76
7652,25-00703,16,1,6,0,1,4,6,1,1,2195.3,N,N,4,0.0,0,501,N,2,2,2,2,59,75
7653,25-01300,16,1,6,0,1,0,7,1,1,1457.2,N,N,4,0.0,0,427,N,2,2,2,2,170,146
7654,25-00503,4,1,N,0,1,2,4,1,2,2872.7,N,N,N,N,N,501,N,N,N,2,2,66,96
7655,25-01300,67,1,1,0,1,0,2,1,1,1457.2,7770,10,7,16000.0,3,430,N,2,2,1,2,85,83
7656,25-00503,35,1,1,0,1,0,2,1,2,2872.7,4971,6,7,35000.0,5,501,N,2,2,2,2,106,123
7657,25-00703,25,1,6,0,1,2,4,1,1,2195.3,770,3,5,100000.0,8,501,N,2,2,2,2,103,83
7658,25-01000,38,2,1,0,1,4,6,1,1,2447.1,7860,11,10,60000.0,6,501,N,2,2,2,2,114,114
7659,25-00703,92,1,3,0,1,0,N,1,1,2195.3,N,N,5,12800.0,2,104,N,2,2,2,1,103,103
7660,25-01300,10,1,N,0,1,3,5,1,1,1457.2,N,N,3,N,N,441,N,2,2,2,2,93,84
7661,25-00503,64,1,1,0,1,0,2,1,1,2872.7,7280,10,10,5800.0,1,291,N,2,2,2,2,102,102
7662,25-01300,55,1,1,0,1,0,2,1,1,1457.2,7280,10,10,114000.0,8,501,N,2,2,2,2,103,103
7663,25-00703,17,1,6,0,1,2,4,1,1,2195.3,8680,14,4,700.0,1,501,N,2,2,2,2,41,47
7664,25-01300,3,1,N,0,1,2,4,1,1,1457.2,N,N,2,N,N,501,N,N,N,2,2,58,57
7665,25-00703,45,1,1,0,1,2,5,1,1,2195.3,770,3,7,58000.0,6,501,N,2,2,2,2,49,45
7666,25-01000,62,2,4,0,1,0,N,1,1,2447.1,8290,12,8,30000.0,4,227,N,2,2,2,2,64,63
7667,25-01000,30,2,1,0,1,0,2,1,2,2447.1,6970,9,9,85000.0,8,501,N,2,2,2,2,113,113
7668,25-01000,89,1,3,0,1,0,N,1,1,2447.1,N,N,5,102800.0,8,501,N,2,2,2,2,92,92
7669,25-00503,62,1,1,0,1,0,2,1,1,2872.7,8191,12,6,50500.0,6,501,N,2,2,2,2,67,72
7670,25-01000,30,1,1,0,1,0,2,1,1,2447.1,9470,16,10,108000.0,8,501,N,2,2,2,2,120,120
7671,25-00703,20,1,6,0,1,N,N,3,0,2195.3,9090,15,7,6000.0,1,N,N,2,2,2,2,26,0
7672,25-00703,47,2,6,0,1,2,3,1,1,2195.3,7790,10,6,80000.0,7,501,N,2,2,2,2,75,80
7673,25-02800,11,1,N,0,1,2,4,1,1,3683.9,N,N,3,N,N,326,N,2,2,2,2,110,96
7674,25-01000,75,2,1,0,1,0,3,1,1,2447.1,N,N,5,28000.0,4,501,N,2,2,2,2,45,52
7675,25-01000,54,2,1,0,1,1,3,1,1,2447.1,8970,15,5,33000.0,4,415,N,2,2,2,2,100,123
7676,25-02800,80,2,4,0,1,0,2,1,1,3683.9,N,N,7,18800.0,3,243,N,2,2,2,2,102,102
7677,25-01300,63,2,1,0,1,0,4,1,1,1457.2,770,3,5,23000.0,3,501,N,2,2,2,2,128,128
7678,25-00703,71,2,6,0,1,0,N,1,1,2195.3,4971,6,9,53200.0,6,442,N,2,2,2,2,84,82
7679,25-01300,38,1,1,0,1,1,3,1,1,1457.2,8191,12,9,75000.0,7,501,N,2,2,2,2,110,111
7680,25-00703,36,2,1,0,1,1,3,1,2,2195.3,8770,15,9,70000.0,7,501,N,2,2,2,2,80,83
7681,25-00503,75,1,1,0,1,0,2,1,1,2872.7,9370,16,7,24260.0,4,373,N,2,2,2,2,73,74
7682,25-02800,54,2,6,0,1,0,2,1,1,3683.9,N,N,5,20000.0,3,501,N,1,1,1,2,204,180
7683,25-00503,72,2,1,0,1,0,2,1,1,2872.7,N,N,9,17000.0,3,257,N,2,2,2,2,65,75
7684,25-00703,89,2,3,0,1,2,5,1,1,2195.3,N,N,12,271000.0,9,501,N,2,1,2,1,57,51
7685,25-01300,24,1,6,0,1,0,N,1,2,1457.2,4490,5,9,35000.0,5,266,N,1,2,2,2,75,60
7686,25-00703,42,1,1,0,1,4,6,1,1,2195.3,8180,12,9,180000.0,9,501,N,2,2,2,2,116,108
7687,25-01000,3,1,N,0,1,2,4,1,1,2447.1,N,N,N,N,N,501,N,N,N,2,2,59,67
7688,25-02800,37,1,6,0,1,0,3,1,1,3683.9,8191,12,11,627000.0,9,501,N,2,2,2,2,66,66
7689,25-01300,14,2,N,0,1,2,5,1,1,1457.2,N,N,4,N,N,N,N,2,2,2,2,66,73
7690,25-01000,63,1,1,0,1,0,3,1,1,2447.1,4670,6,7,122000.0,8,501,N,2,2,2,1,116,116
7691,25-01300,38,1,1,0,1,4,6,1,1,1457.2,N,N,11,0.0,0,501,N,2,2,2,2,72,72
7692,25-02800,53,2,6,0,1,0,N,1,2,3683.9,8590,14,9,42000.0,5,317,N,2,2,2,2,172,172
7693,25-00503,71,1,4,0,1,0,N,1,1,2872.7,8390,13,8,78800.0,7,501,N,2,2,2,2,57,57
7694,25-00703,46,2,6,0,1,1,4,1,1,2195.3,5080,6,8,75000.0,7,501,N,2,2,2,2,70,70
7695,25-02800,36,2,1,0,1,2,4,1,1,3683.9,9470,16,9,55000.0,6,444,N,2,2,2,2,93,93
7696,25-01300,65,1,1,0,1,0,3,1,1,1457.2,5670,6,7,31000.0,4,331,N,2,1,2,2,46,46
7697,25-01000,84,1,1,0,1,0,2,1,2,2447.1,N,N,5,22500.0,3,203,N,2,2,2,2,168,167
7698,25-00503,11,2,N,0,1,2,4,1,1,2872.7,N,N,3,N,N,501,N,2,2,2,2,100,97
7699,25-00703,59,2,1,0,1,0,4,1,1,2195.3,N,N,5,0.0,0,501,N,2,2,2,2,134,132
7700,25-00703,78,1,1,0,1,0,2,1,1,2195.3,8080,12,12,200700.0,9,501,N,2,2,2,1,98,97
7701,25-00703,53,1,4,0,1,0,N,1,1,2195.3,6870,9,9,95010.0,8,501,N,2,2,2,2,50,50
7702,25-00703,34,1,1,0,1,1,3,1,1,2195.3,770,3,7,93000.0,8,501,N,2,2,2,2,247,248
7703,25-00503,2,2,N,0,1,4,6,1,1,2872.7,N,N,2,N,N,501,N,2,2,2,2,118,114
7704,25-01300,47,1,1,0,1,0,3,1,1,1457.2,7860,11,10,102200.0,8,501,N,2,2,2,2,78,78
7705,25-02800,17,1,6,0,1,1,2,1,1,3683.9,N,N,4,0.0,0,0,N,2,2,2,2,80,67
7706,25-01000,63,2,4,0,1,0,N,1,1,2447.1,8191,12,5,26000.0,4,199,N,2,2,2,2,180,177
