,Unnamed: 0,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
0,7634,25-00503,55,1,1,0,1,0,2,1,1,2872.7,6070,7,7,78500.0,7,501,N,2,2,2,2,57,57
1,7635,25-01300,57,2,1,0,1,1,3,1,1,1457.2,9380,16,8,48000.0,6,386,N,2,2,2,2,53,54
2,7636,25-01300,70,2,1,0,1,0,2,1,1,1457.2,N,N,5,13900.0,2,282,N,2,2,2,2,228,236
3,7637,25-00703,48,1,1,0,1,3,5,1,1,2195.3,3380,4,9,160000.0,9,501,N,2,2,2,2,56,56
4,7638,25-02800,48,2,1,0,1,2,4,1,1,3683.9,7380,10,7,140000.0,9,501,N,2,2,2,2,108,118
5,7639,25-01000,60,1,1,0,1,0,2,1,1,2447.1,9470,16,10,120.0,1,501,N,2,2,2,2,63,63
6,7640,25-01000,41,1,1,0,1,2,4,1,1,2447.1,6970,9,9,51000.0,6,407,N,2,2,2,2,115,115
7,7641,25-02800,61,1,1,0,1,1,3,1,1,3683.9,770,3,5,55000.0,6,501,N,2,2,2,2,70,70
8,7642,25-00703,49,2,1,0,1,0,2,1,1,2195.3,1280,4,9,82000.0,7,501,N,2,2,2,2,52,54
9,7643,25-01000,83,1,1,0,1,0,2,1,1,2447.1,N,N,11,82400.0,7,501,N,2,2,2,1,158,157
10,7644,25-00703,68,1,1,0,1,0,2,1,1,2195.3,6991,9,9,290000.0,9,501,N,2,2,2,2,84,84
11,7645,25-02800,55,2,1,0,1,0,2,1,1,3683.9,4880,6,7,29510.0,4,501,N,2,1,1,2,66,73
12,7646,25-01000,57,1,1,0,1,0,2,1,1,2447.1,7390,10,9,300000.0,9,501,N,2,2,2,1,96,96
13,7647,25-02800,32,2,1,0,1,2,4,1,1,3683.9,4390,5,10,107300.0,8,501,N,2,2,2,2,66,51
14,7648,25-00703,66,1,1,0,1,0,2,1,1,2195.3,9170,15,10,20000.0,3,501,N,2,2,2,2,66,74
15,7649,25-00503,69,2,1,0,1,0,3,1,1,2872.7,N,N,5,33700.0,4,501,N,2,2,2,2,56,50
16,7650,25-00503,61,1,1,0,6,0,2,1,1,2872.7,7390,10,12,3200.0,1,501,N,2,2,2,2,73,73
17,7651,25-00503,49,1,1,0,6,2,4,1,1,2872.7,7670,10,12,400000.0,9,501,N,2,2,2,2,52,50
18,7652,25-00703,50,2,1,0,1,0,2,1,1,2195.3,1090,4,7,52000.0,6,501,N,2,2,2,2,114,114
19,7653,25-01300,45,2,1,0,6,0,4,1,1,1457.2,6390,7,4,22700.0,3,476,N,2,2,2,2,42,32
20,7654,25-02800,66,1,1,0,1,0,3,1,1,3683.9,770,3,5,37500.0,5,501,N,2,2,2,2,101,101
21,7655,25-00503,37,2,1,0,3,0,2,1,2,2872.7,8290,12,10,38000.0,5,501,N,2,2,2,2,244,297
22,7656,25-01300,58,1,1,0,1,0,3,1,1,1457.2,8191,12,4,30000.0,4,331,N,2,2,2,2,47,46
23,7657,25-01300,46,2,1,0,6,1,3,1,1,1457.2,6970,9,10,300000.0,9,501,N,2,2,2,2,42,41
24,7658,25-00703,71,2,1,0,1,0,2,1,1,2195.3,N,N,10,18200.0,3,501,N,2,2,2,2,86,88
25,7659,25-00503,78,1,1,0,1,0,2,1,1,2872.7,N,N,9,18150.0,3,501,N,2,2,2,2,112,117
26,7660,25-02800,60,1,1,0,1,0,4,1,1,3683.9,N,N,5,35400.0,5,501,N,2,2,2,2,101,101
27,7661,25-00503,51,2,1,0,1,0,4,1,1,2872.7,6672,8,9,50000.0,6,501,N,2,2,2,2,101,101
28,7662,25-01000,59,2,1,0,1,0,3,1,1,2447.1,7570,10,7,63000.0,6,501,N,2,2,2,2,104,83
29,7663,25-02800,51,1,1,1,3,2,4,1,1,3683.9,7071,9,7,70000.0,7,501,N,2,2,2,2,145,73
30,7664,25-01000,89,1,1,0,1,0,2,1,1,2447.1,N,N,5,61400.0,6,459,N,2,2,2,2,81,80
31,7665,25-01300,40,1,1,0,1,1,3,1,2,1457.2,8191,12,9,75000.0,7,501,N,2,2,2,2,112,111
32,7666,25-00503,33,2,1,0,1,1,3,1,1,2872.7,8180,12,12,122000.0,8,501,N,2,2,2,2,53,56
33,7667,25-00703,28,1,1,0,1,0,2,1,1,2195.3,6890,9,9,75000.0,7,501,N,2,2,2,2,57,56
34,7668,25-00703,42,2,1,0,6,1,3,1,1,2195.3,5680,6,8,95800.0,8,501,N,2,2,2,2,86,57
36,7670,25-01000,66,2,1,0,1,0,2,1,1,2447.1,7390,10,10,74400.0,7,501,N,2,2,2,2,54,48
37,7671,25-00703,54,1,1,0,1,1,4,1,1,2195.3,6480,8,10,162600.0,9,501,N,2,2,2,2,124,118
38,7672,25-01000,66,1,1,0,1,0,2,1,1,2447.1,3990,4,9,43300.0,5,465,N,2,2,2,2,84,98
39,7673,25-01300,53,2,1,0,1,0,2,1,1,1457.2,8180,12,8,58000.0,6,501,N,2,2,2,2,96,103
40,7674,25-01300,56,1,1,0,2,0,4,1,1,1457.2,8270,12,5,48000.0,6,440,N,2,2,2,2,281,280
41,7675,25-02800,69,2,1,0,1,0,2,1,1,3683.9,N,N,7,47060.0,5,467,N,2,2,2,2,79,89
42,7676,25-01300,52,1,1,0,1,1,3,1,1,1457.2,8290,12,9,100000.0,8,501,N,2,2,2,2,60,49
43,7677,25-00503,58,1,1,0,1,0,2,1,1,2872.7,7290,10,10,260000.0,9,501,N,2,2,2,2,62,62
44,7678,25-00703,56,1,1,0,1,0,2,1,1,2195.3,6970,9,8,134000.0,9,501,N,2,2,2,2,80,80
45,7679,25-02800,76,1,1,0,1,0,2,1,1,3683.9,N,N,5,79400.0,7,501,N,2,2,2,1,71,71
46,7680,25-02800,28,2,1,0,1,0,2,1,2,3683.9,7380,10,9,95000.0,8,501,N,2,2,2,2,66,67
47,7681,25-01000,45,1,1,0,1,2,4,1,1,2447.1,7680,10,10,135000.0,9,501,N,2,2,2,2,104,122
48,7682,25-01300,51,1,1,0,1,1,5,1,1,1457.2,6690,8,8,86400.0,8,399,N,2,2,2,2,118,117
49,7683,25-00703,70,2,1,0,1,0,2,1,1,2195.3,N,N,7,17400.0,3,501,N,2,2,2,2,59,54
50,7684,25-01300,54,1,1,0,1,3,5,1,1,1457.2,7270,10,11,123000.0,8,476,N,2,2,2,2,93,74
51,7685,25-01000,35,2,1,0,5,2,4,1,1,2447.1,8090,12,9,54000.0,6,501,N,2,2,2,2,125,106
52,7686,25-00503,74,2,1,0,1,0,2,1,1,2872.7,7390,10,10,69000.0,7,501,N,2,2,2,2,99,109
53,7687,25-01300,38,2,1,0,6,2,4,1,1,1457.2,N,N,7,0.0,0,273,N,2,2,2,2,63,76
54,7688,25-02800,61,1,1,0,1,0,3,1,1,3683.9,2970,4,7,28000.0,4,417,N,2,2,2,2,78,79
55,7689,25-00703,34,1,1,0,1,1,3,1,1,2195.3,770,3,7,93000.0,8,501,N,2,2,2,2,247,248
56,7690,25-00503,39,1,1,0,1,1,3,1,1,2872.7,9480,16,10,72350.0,7,501,N,2,2,2,2,49,49
57,7691,25-00703,80,2,1,0,1,0,2,1,2,2195.3,6390,7,12,31910.0,4,271,N,2,2,2,2,64,64
58,7692,25-01300,72,1,1,0,1,0,2,1,2,1457.2,7860,11,9,140000.0,9,501,N,2,2,2,2,171,170
59,7693,25-00703,66,1,1,0,7,0,2,1,1,2195.3,N,N,9,0.0,0,501,N,2,1,2,2,31,31
60,7694,25-01300,29,1,1,2,9,0,2,1,1,1457.2,3380,4,7,35000.0,5,501,2,2,2,2,2,140,117
61,7695,25-00703,66,2,1,0,1,0,2,1,1,2195.3,8270,12,5,82000.0,7,501,N,2,2,2,2,43,39
62,7696,25-00703,70,1,1,0,1,0,3,1,1,2195.3,6880,9,9,60200.0,6,501,N,2,2,2,2,65,65
63,7697,25-02800,72,1,1,0,1,0,2,1,1,3683.9,7280,10,7,66200.0,7,501,N,2,2,2,2,121,121
64,7698,25-00503,34,1,1,0,1,0,6,1,1,2872.7,770,3,5,40000.0,5,365,N,2,2,2,2,139,114
65,7699,25-01000,62,1,1,0,1,0,2,1,1,2447.1,7570,10,10,190000.0,9,501,N,2,2,2,2,132,131
66,7700,25-01000,28,2,1,0,1,0,2,1,1,2447.1,7860,11,7,16800.0,3,501,N,2,2,2,2,93,93
67,7701,25-01300,47,1,1,0,1,4,9,1,1,1457.2,7380,10,10,75000.0,7,501,N,2,2,2,2,56,52
68,7702,25-00703,60,2,1,0,1,0,3,1,1,2195.3,7860,11,10,1200.0,1,222,N,2,2,2,2,74,72
69,7703,25-00703,45,1,1,4,9,2,7,1,1,2195.3,N,N,5,0.0,0,366,N,2,2,2,2,57,34
70,7704,25-01000,50,2,1,0,1,1,3,1,1,2447.1,7970,12,8,57000.0,6,501,N,2,2,2,2,101,126
71,7705,25-01000,47,2,1,0,1,0,2,1,1,2447.1,7970,12,9,144000.0,9,501,N,2,2,2,2,49,49
72,7706,25-00703,34,1,1,0,1,2,4,1,1,2195.3,7072,9,9,190000.0,9,501,N,2,2,2,2,119,107
73,7707,25-00703,63,2,1,0,1,0,2,1,1,2195.3,8570,14,10,90000.0,8,501,N,2,2,2,2,47,48
76,7710,25-01300,38,2,1,0,1,2,4,1,1,1457.2,9590,16,7,80000.0,7,501,4,2,2,2,2,37,38
77,7711,25-01300,60,1,1,0,1,2,4,1,1,1457.2,7390,10,9,50000.0,6,501,N,2,2,2,2,91,83
78,7712,25-00703,55,1,1,0,1,0,2,1,1,2195.3,7460,10,9,142700.0,9,501,N,2,2,2,2,72,74
79,7713,25-00703,85,1,1,0,1,0,3,1,1,2195.3,N,N,5,8400.0,2,501,N,1,2,2,2,60,60
80,7714,25-02800,62,2,1,0,1,0,2,1,1,3683.9,N,N,7,103000.0,8,501,N,2,2,2,2,70,70
81,7715,25-02800,47,1,1,0,1,2,4,1,1,3683.9,4795,6,8,125000.0,9,501,N,2,2,2,2,107,120
82,7716,25-00703,60,2,1,0,1,0,2,1,1,2195.3,7380,10,10,455000.0,9,501,N,2,2,2,2,84,81
83,7717,25-01000,58,2,1,0,1,0,3,1,1,2447.1,7071,9,5,5000.0,1,501,N,2,2,2,2,109,125
84,7718,25-02800,42,1,1,0,1,2,4,1,1,3683.9,6991,9,9,110000.0,8,501,N,2,2,2,2,78,77
85,7719,25-02800,67,1,1,0,1,0,2,1,1,3683.9,9470,16,9,142000.0,9,501,N,2,2,2,1,96,95
86,7720,25-01000,37,1,1,0,1,0,3,1,1,2447.1,4971,6,9,40000.0,5,316,N,2,2,2,2,141,95
87,7721,25-00703,63,2,1,1,6,0,2,1,2,2195.3,6970,9,10,45000.0,5,501,N,2,2,2,2,194,195
88,7722,25-00703,45,1,1,0,1,0,2,1,1,2195.3,6670,8,10,94000.0,8,501,N,2,2,2,2,131,128
89,7723,25-00703,57,1,1,0,1,0,4,1,1,2195.3,7860,11,8,60000.0,6,501,N,2,2,2,2,55,56
90,7724,25-01300,50,1,1,0,2,4,7,1,1,1457.2,6170,7,6,52000.0,6,501,N,2,2,2,2,56,114
91,7725,25-00503,25,1,1,1,2,0,2,1,2,2872.7,4971,6,7,35000.0,5,501,N,2,2,2,2,97,118
92,7726,25-02800,37,1,1,0,1,1,3,1,1,3683.9,7380,10,9,295000.0,9,501,N,2,2,2,2,95,95
93,7727,25-00703,66,2,1,0,1,0,2,1,1,2195.3,N,N,7,12000.0,2,501,N,2,2,2,2,53,48
94,7728,25-02800,47,2,1,0,7,0,2,1,1,3683.9,2190,4,10,154000.0,9,501,N,2,2,2,2,61,62
95,7729,25-01300,61,1,1,0,1,0,2,1,1,1457.2,8270,12,9,130000.0,9,501,N,2,2,2,2,68,68
96,7730,25-01300,64,1,1,0,1,0,3,1,1,1457.2,6370,7,9,83050.0,7,501,N,2,2,2,2,58,59
97,7731,25-01000,38,2,1,0,6,4,6,1,1,2447.1,N,N,9,0.0,0,297,N,2,2,2,2,60,77
98,7732,25-00703,54,2,1,0,1,0,4,1,1,2195.3,7860,11,7,27000.0,4,501,N,2,2,2,2,80,80
99,7733,25-00703,60,2,1,0,1,0,2,1,1,2195.3,7570,10,9,45000.0,5,501,N,2,2,2,2,38,38
100,7734,25-00703,27,2,1,0,1,0,2,1,1,2195.3,7860,11,10,66000.0,7,501,N,2,2,2,2,55,55
101,7735,25-02800,43,2,1,0,1,0,2,1,1,3683.9,7470,10,10,80000.0,7,501,N,2,2,2,2,119,119
102,7736,25-00703,70,2,1,0,1,0,2,1,1,2195.3,7390,10,9,120800.0,8,501,N,2,2,2,2,97,98
103,7737,25-01000,44,2,1,0,1,3,5,1,1,2447.1,5080,6,9,11000.0,2,501,N,2,2,2,2,64,51
104,7738,25-01000,36,2,1,1,1,2,4,1,1,2447.1,7970,12,11,150000.0,9,501,N,2,2,2,2,193,193
105,7739,25-00703,38,1,1,0,1,2,4,1,1,2195.3,8980,15,7,0.0,0,501,N,2,2,2,2,116,121
106,7740,25-01000,31,1,1,0,1,0,2,1,1,2447.1,8191,12,10,100000.0,8,501,N,2,2,2,2,104,105
107,7741,25-00503,53,2,1,0,1,3,5,1,1,2872.7,3490,4,10,180000.0,9,501,N,2,2,2,2,50,51
108,7742,25-00703,50,1,1,0,1,2,4,1,1,2195.3,7190,9,1,42000.0,5,471,N,2,2,2,2,129,129
