,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,40,2,4,0,N,2,2,179,32-00405,1,1,64,0,N,1,35,40.0
1,16,1,6,0,3,2,N,501,51-51255,1,1,53,0,N,7,456,20.0
2,72,1,4,0,N,2,N,168,19-01700,8,1,40,1,3,3,105,0.0
3,47,0,2,0,6,2,8,501,17-03529,6,2,27,0,N,1,39,20.0
4,72,0,4,0,2,0,0,N,36-04010,1,1,66,N,N,2,N,20.0
5,36,0,4,0,N,0,1,N,40-00200,3,1,45,N,N,3,N,40.0
6,49,0,5,0,2,0,1,N,26-02702,1,2,54,N,N,1,22,20.0
7,38,4,1,1,2,1,N,496,36-03710,2,1,57,0,2,4,298,20.0
8,86,0,3,0,N,0,7,11,06-07502,1,1,66,N,N,1,N,20.0
9,50,0,5,0,N,1,4,501,51-51255,2,1,85,1,4,0,473,0.0
10,21,1,6,0,N,1,5,279,29-01901,1,2,38,0,N,7,379,40.0
11,91,1,6,0,N,1,0,0,08-00803,9,2,28,1,4,2,501,0.0
12,22,4,6,N,N,2,1,53,08-00803,9,2,16,1,3,1,90,20.0
13,40,4,2,0,N,1,2,70,36-03710,8,2,60,0,N,4,180,40.0
14,79,0,2,0,N,0,2,75,51-51255,1,2,73,N,N,1,25,20.0
15,1,0,N,1,3,1,0,105,17-03529,8,1,13,3,5,N,501,0.0
16,52,1,1,0,2,2,2,366,32-00405,9,2,28,3,5,5,99,0.0
17,56,0,6,0,2,1,6,385,28-01100,6,1,17,3,7,0,105,0.0
18,70,3,6,0,N,1,6,501,06-08507,1,2,23,0,2,3,113,20.0
19,19,0,4,N,N,0,2,N,38-00100,1,1,54,N,N,2,67,60.0
20,55,0,1,0,2,1,0,103,40-00200,2,1,57,0,2,0,86,60.0
21,79,0,3,N,N,2,N,501,26-02702,2,2,81,0,N,2,87,20.0
22,34,0,4,0,N,1,2,276,38-00100,3,2,61,0,N,1,32,40.0
23,54,0,5,0,N,1,9,501,06-07502,1,1,46,0,N,9,501,80.0
24,21,2,6,1,2,2,3,139,17-03531,2,1,40,2,3,5,172,0.0
25,31,1,6,1,2,2,0,193,51-51255,8,1,26,1,3,2,501,20.0
26,53,0,3,0,N,1,N,501,26-02702,2,2,77,0,3,4,302,20.0
27,78,2,1,0,2,1,2,142,40-00200,5,2,33,5,7,1,22,0.0
28,21,4,6,0,N,2,1,22,36-03710,9,1,18,0,5,1,501,40.0
29,26,1,6,0,N,2,5,263,40-00200,1,1,26,0,N,6,285,60.0
30,14,2,N,1,3,2,8,501,24-01004,1,2,10,4,6,N,501,20.0
31,45,0,6,0,N,1,9,501,24-01004,3,1,30,0,3,1,501,40.0
32,26,1,4,0,N,2,0,90,13-04600,2,2,66,0,2,5,501,20.0
33,59,1,1,2,4,1,1,469,51-01301,2,2,35,0,6,9,501,0.0
34,22,1,6,2,5,2,0,0,26-02702,1,2,21,0,N,2,61,0.0
35,58,4,4,0,N,1,N,411,13-04600,1,2,58,0,N,4,152,60.0
36,20,0,6,0,N,0,3,N,13-04600,9,2,19,N,N,1,N,40.0
37,9,0,N,0,2,1,9,501,38-00100,2,1,7,2,3,N,300,0.0
38,31,0,5,2,4,2,7,501,40-00200,3,1,36,0,2,2,107,0.0
39,4,0,N,4,6,1,4,286,19-01700,3,1,5,1,3,N,501,0.0
40,58,0,4,0,2,1,2,227,24-01004,9,1,59,0,N,4,241,20.0
41,21,2,6,N,N,2,0,80,19-01700,1,1,50,0,N,9,501,20.0
42,43,3,6,0,3,2,9,501,51-51255,1,1,28,0,N,6,404,20.0
