,INDP,count_target,count_deidentified
8,1070,1,1.0
18,1080,1,1.0
7,1180,2,2.0
26,1370,3,3.0
33,1490,1,3.0
14,1691,3,5.0
25,1770,2,3.0
16,1870,2,3.0
30,1990,1,2.0
31,2170,1,1.0
5,2190,16,18.0
10,2270,3,2.0
34,2280,1,1.0
3,2290,5,3.0
32,2370,1,0.0
24,2470,1,0.0
29,2570,1,3.0
13,2670,1,0.0
27,2880,7,10.0
4,2980,2,2.0
1,3095,1,0.0
9,3291,9,11.0
12,3365,5,9.0
17,3370,2,4.0
2,3380,19,20.0
6,3390,15,16.0
19,3490,6,8.0
21,3570,3,0.0
0,3580,16,9.0
20,3590,1,1.0
22,3875,1,0.0
15,3895,4,3.0
11,3960,13,9.0
35,3970,1,0.0
23,3980,3,2.0
28,3990,4,4.0
