,feature,divergence
22,PWGTP,14.00928222019552
23,WGTP,12.029097766625624
1,AGEP,2.115442235666955
14,PINCP,1.5545531652401883
11,INDP,0.9655312144383842
15,PINCP_DECILE,0.506530192970871
16,POVPIP,0.23198205027136837
13,EDU,0.21184609922339515
12,INDP_CAT,0.16773267197493796
7,NPF,0.15850025873829784
3,MSP,0.11485092151142105
6,NOC,0.09382115599767399
2,SEX,0.04433432283822325
10,DENSITY,0.02037104401600582
18,DREM,0.019032089895849577
19,DPHY,0.018819514140259418
4,HISP,0.016405667412378824
5,RAC1P,0.01134360425411028
8,HOUSING_TYPE,0.010912893614916985
9,OWN_RENT,0.008926648834104517
17,DVET,0.007537173467254288
20,DEYE,0.005846120219839488
0,PUMA,0.0015459796587197205
21,DEAR,0.0008468762669629204
