PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
38-00100,60,1,1,0,1,0,3,1,1,3292.0,170,16,10,51500.0,7,173,N,2,2,2,2,33.2,76.80000000000001
36-03710,1,1,N,0,2,2,4,1,1,55708.0,N,N,2,30600.0,N,250,N,2,2,2,2,33.2,76.80000000000001
40-00200,95,1,2,0,3,1,6,1,1,3292.0,7380,7,5,192200.0,5,129,N,2,1,2,2,33.2,25.6
38-00100,18,1,6,0,1,0,N,1,1,3292.0,N,N,8,165800.0,4,60,N,2,2,2,2,83.60000000000001,76.80000000000001
51-51255,4,1,N,0,1,0,2,1,2,9844.0,8660,N,2,30200.0,N,501,N,2,2,2,2,486.8,128.0
38-00100,28,1,6,0,1,0,9,1,1,3292.0,8090,N,5,35390.0,1,483,N,2,2,2,2,83.60000000000001,76.80000000000001
28-01100,45,2,1,0,2,0,2,1,1,3292.0,N,N,9,161300.0,8,501,N,2,2,2,2,33.2,25.6
13-04600,58,2,6,0,2,0,N,1,2,3292.0,N,9,9,20050.0,6,396,N,2,2,2,2,134.0,128.0
19-01700,12,1,N,0,2,0,5,1,1,3292.0,N,N,3,N,N,501,N,2,2,2,2,83.60000000000001,76.80000000000001
13-04600,14,2,N,0,9,2,5,1,1,3292.0,7390,N,3,500.0,N,N,N,2,2,2,2,33.2,25.6
40-00200,45,2,1,4,1,0,2,1,1,3292.0,1170,N,5,258000.0,0,277,N,2,2,2,2,83.60000000000001,76.80000000000001
38-00100,37,2,1,0,1,0,2,1,1,3292.0,3590,N,4,371000.0,0,501,N,N,N,2,2,33.2,25.6
36-03710,57,1,6,0,1,0,2,1,2,55708.0,8590,16,5,N,8,N,N,2,2,2,2,83.60000000000001,76.80000000000001
32-00405,68,2,1,2,2,3,5,1,2,9844.0,580,12,6,117900.0,9,501,N,1,2,2,2,285.2,281.6
06-08507,0,1,N,0,9,3,5,1,1,3292.0,N,N,2,60000.0,N,501,N,2,2,2,2,33.2,25.6
