,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
0,1,1,2,1,1,N,0,8
1,6,N,2,1,1,N,N,3
2,1,3,2,1,1,N,3,5
3,2,3,2,1,1,N,2,7
4,1,6,1,1,1,N,7,9
5,2,N,2,1,2,N,N,2
6,1,1,1,1,1,N,4,5
7,1,3,2,1,1,N,9,10
8,8,5,2,1,2,N,2,4
9,1,2,1,2,0,N,2,9
10,1,4,1,1,2,N,9,9
11,2,N,2,1,1,N,N,3
12,1,1,1,1,1,N,8,12
13,6,6,2,1,1,N,5,9
14,1,1,1,1,1,N,5,7
15,1,N,2,1,2,N,N,2
16,1,1,1,1,1,N,9,9
17,2,4,2,2,0,N,3,4
18,1,1,1,1,1,N,8,10
19,2,3,2,1,1,N,6,7
20,5,5,1,1,1,N,0,3
21,1,1,1,1,2,N,3,5
22,1,6,2,1,2,N,7,9
23,8,6,1,1,2,N,2,7
24,2,4,2,1,1,N,4,9
25,3,6,1,1,1,N,0,4
26,1,1,1,1,1,N,9,9
27,1,1,1,1,2,N,8,10
28,2,1,2,1,1,N,9,12
29,2,1,2,1,2,N,6,9
30,2,6,1,1,2,N,7,8
31,1,2,2,1,1,N,8,9
32,1,3,2,1,1,N,9,12
33,1,N,1,1,2,N,N,2
34,1,1,2,1,1,N,4,9
35,9,6,2,1,1,N,3,9
36,1,1,2,1,1,N,7,10
37,2,N,2,1,1,N,N,3
38,1,1,2,1,1,N,2,6
39,1,6,2,1,2,N,7,9
40,1,6,2,1,2,N,0,4
41,2,1,1,1,1,N,8,8
42,2,1,2,1,2,N,1,5
43,1,1,1,1,1,N,7,10
44,2,6,1,1,2,N,5,11
45,1,6,2,1,2,N,0,4
46,6,N,2,1,2,N,N,3
47,1,1,1,1,1,N,9,11
48,2,5,1,1,2,N,5,6
49,2,6,2,1,2,N,1,4
50,6,1,2,1,2,N,0,9
51,1,6,1,1,1,N,9,9
52,1,4,1,1,2,N,5,5
53,1,1,1,1,1,N,9,9
54,2,N,2,1,2,N,N,3
55,2,6,1,1,1,N,1,5
56,6,N,1,1,2,N,N,3
57,1,6,1,3,0,N,3,7
58,9,6,2,1,2,N,5,9
59,2,6,2,1,2,N,0,5
60,1,6,1,1,1,N,9,9
61,2,4,1,1,1,N,1,7
62,1,4,2,1,2,N,4,7
63,1,N,2,1,2,N,N,2
64,1,1,2,1,1,N,4,7
65,2,4,2,1,2,N,3,6
66,1,6,2,3,0,N,1,7
67,1,1,1,1,1,N,9,9
68,2,6,2,3,0,N,1,7
69,2,6,1,1,2,N,9,9
70,6,N,1,1,1,N,N,9
71,2,3,2,2,0,N,0,3
72,2,5,2,1,2,N,6,5
73,2,N,2,1,1,N,N,3
74,2,6,2,1,2,N,0,4
75,2,6,1,1,2,N,7,6
76,1,N,2,1,1,N,N,N
77,1,6,1,1,1,N,1,6
78,1,6,2,1,2,N,2,7
79,1,6,2,1,2,N,9,10
