,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
0,1,4,2,1,2,N,2,9
1,2,6,2,1,2,N,2,7
2,2,6,2,1,2,N,4,8
3,2,N,2,1,1,N,N,3
4,1,6,1,2,2,N,3,5
5,1,6,1,1,1,N,1,9
6,1,1,1,1,1,N,0,5
7,1,N,2,1,1,N,N,1
8,1,N,2,1,1,N,N,3
9,1,6,2,1,2,N,0,10
10,1,1,1,1,1,N,9,5
11,1,2,1,1,1,N,5,5
12,1,1,1,1,1,N,8,10
13,1,N,2,1,1,N,N,1
14,8,6,1,1,2,N,2,4
15,6,1,1,1,1,N,9,10
16,1,1,2,1,1,N,9,9
17,1,6,2,1,2,N,0,7
18,1,1,2,1,1,N,9,10
19,5,4,2,1,2,N,6,7
20,1,6,2,1,2,N,6,9
21,1,1,1,1,1,N,3,8
22,1,2,1,1,1,N,9,7
23,1,6,1,1,1,N,9,10
24,1,6,2,1,1,N,1,9
25,2,N,2,1,2,N,N,N
26,1,6,2,1,2,N,6,10
27,1,1,1,1,1,N,8,8
28,1,1,1,1,2,N,7,9
29,2,N,1,1,1,N,N,N
30,1,N,1,1,1,N,N,3
31,1,1,1,1,1,N,9,5
32,2,6,1,3,0,N,3,4
33,1,4,2,1,2,N,7,9
34,2,1,2,1,2,N,3,7
35,1,N,1,1,1,N,N,3
36,1,6,1,1,2,N,5,3
37,1,1,2,1,1,N,6,7
38,1,1,1,1,1,2,9,10
39,1,6,1,1,2,N,9,9
40,2,1,1,1,2,N,3,5
41,1,N,1,1,1,N,N,2
42,1,1,2,1,1,N,2,4
43,1,1,1,1,1,N,9,12
44,9,N,1,1,1,N,N,N
45,1,N,2,1,1,N,N,3
46,2,6,1,1,2,N,2,8
47,1,6,1,1,2,N,4,7
48,2,6,1,1,1,N,2,7
49,2,2,1,2,0,N,8,7
50,3,N,1,1,1,N,N,2
51,1,1,1,1,1,N,3,5
52,3,3,2,1,1,N,6,10
53,2,6,1,1,2,N,2,4
54,1,6,2,1,2,N,1,6
55,1,1,2,1,1,N,2,5
56,8,1,2,1,1,N,0,3
57,1,6,1,1,2,N,3,5
58,1,1,2,1,1,N,9,10
59,2,N,2,1,1,N,N,1
60,6,6,2,1,2,N,7,5
61,1,2,2,1,1,N,4,4
62,1,6,1,1,1,N,9,9
63,1,3,2,1,1,N,4,9
64,1,6,1,1,2,N,7,9
65,8,1,2,1,1,N,6,8
66,1,1,2,1,1,N,7,7
67,8,1,2,1,1,N,4,9
68,6,N,2,1,1,N,N,3
69,1,6,1,2,0,N,5,4
70,6,1,2,1,1,N,9,9
71,1,N,2,1,2,N,N,3
72,9,N,2,1,1,N,N,N
73,2,1,1,1,1,N,5,8
74,8,1,1,1,2,N,5,7
75,2,1,2,2,2,N,8,9
76,1,6,2,1,1,N,2,5
77,2,1,1,1,1,N,9,7
78,2,1,2,1,2,N,5,9
79,1,1,1,1,1,N,1,8
80,2,6,2,1,2,N,0,5
81,2,3,1,1,1,N,9,7
82,6,6,2,1,2,N,3,9
83,1,6,2,1,1,N,1,7
84,9,6,2,1,2,N,4,1
85,8,6,2,1,2,N,4,1
86,2,1,2,1,1,N,3,9
87,1,1,2,1,1,N,9,10
88,1,1,2,1,2,N,9,10
89,1,N,1,1,2,N,N,2
90,2,6,1,1,2,N,5,7
91,1,N,1,1,2,5,N,2
92,8,1,1,1,2,N,8,5
93,2,1,2,1,1,N,9,10
94,1,1,2,1,1,N,9,10
95,1,4,1,1,1,N,0,4
96,1,1,1,1,1,N,5,5
97,2,6,1,1,2,N,3,5
98,9,6,2,1,2,N,3,10
99,1,N,1,1,2,N,N,3
100,1,6,2,1,1,N,2,7
101,1,1,2,1,1,N,6,10
102,8,6,1,1,2,N,5,9
103,9,6,1,1,2,N,3,5
104,1,1,1,1,1,N,9,9
105,2,3,2,1,2,N,4,8
106,1,6,1,1,1,N,9,11
107,2,2,2,1,1,N,8,10
108,1,1,1,1,1,N,0,4
109,2,N,1,1,2,N,N,3
110,1,6,2,2,0,N,0,4
111,1,3,1,1,2,N,3,4
112,1,4,2,1,2,N,4,9
113,1,1,2,1,1,N,8,9
114,1,6,2,1,2,N,2,4
115,1,N,1,1,2,N,N,2
116,1,6,1,1,1,N,7,11
117,6,6,2,1,1,N,0,11
118,1,1,2,1,1,N,9,7
119,2,6,1,1,2,N,0,5
120,1,N,1,1,1,N,N,3
121,1,6,1,1,2,N,5,7
122,1,4,1,1,1,N,7,6
123,1,6,2,1,2,N,3,10
124,6,1,2,1,1,N,0,9
125,1,3,2,1,1,N,2,9
126,6,6,1,3,0,N,1,7
127,1,1,2,1,1,N,2,4
128,1,3,2,1,1,N,6,7
129,1,1,2,1,1,N,0,6
130,1,1,1,1,1,N,3,5
131,2,1,1,1,1,N,9,6
132,1,3,2,1,1,N,7,5
133,1,6,2,1,2,N,0,9
134,1,1,1,1,1,N,0,7
135,8,2,2,1,2,N,2,9
136,2,6,2,1,2,N,0,9
137,1,N,2,1,1,N,N,3
138,1,1,2,1,1,N,5,9
139,1,1,1,1,1,N,0,9
140,1,1,2,1,1,N,9,9
141,6,6,1,1,2,N,9,12
142,1,1,2,1,2,N,8,9
143,1,6,2,1,2,N,3,4
144,1,6,2,1,2,N,3,9
145,2,N,1,1,1,N,N,N
146,2,3,1,1,2,N,7,9
147,2,6,2,1,2,N,2,5
148,1,1,1,1,1,N,9,9
149,2,N,2,1,2,N,N,N
150,1,1,1,1,2,N,6,9
151,2,6,2,1,1,N,0,4
152,2,N,2,1,2,N,N,3
153,1,1,1,1,1,N,7,9
154,2,1,2,1,1,N,0,4
155,3,5,2,1,1,N,0,4
156,2,N,1,1,1,N,N,3
157,2,N,1,1,2,N,N,3
158,1,6,2,1,2,N,6,9
159,2,1,1,1,1,N,1,10
160,8,1,1,1,1,N,8,9
161,1,1,2,1,1,N,4,6
