HISP,SEX,DEAR,PINCP,NOC,EDU,RAC1P,DEYE,DPHY,DENSITY,MSP,POVPIP,HOUSING_TYPE,OWN_RENT,NPF,AGEP,PINCP_DECILE,DVET,INDP_CAT,PUMA,DREM
0,2,2,N,2,2,9,2,N,9844.0,N,96,1,2,4,6,N,N,N,32-00405,N
0,2,2,451000.0,0,4,2,2,2,16396.0,6,166,1,2,N,29,0,N,10,17-03529,2
0,2,2,160000.0,0,7,1,2,2,3292.0,6,284,1,1,2,23,4,N,6,30-00600,2
0,1,2,N,N,4,2,2,2,3292.0,6,115,3,0,N,69,2,N,10,13-04600,2
0,1,2,40000.0,0,5,2,2,2,3292.0,1,18,1,1,2,59,8,N,N,28-01100,2
0,1,2,51300.0,2,3,1,2,2,16396.0,N,501,1,2,4,1,N,N,N,17-03529,2
0,1,2,225200.0,0,9,6,2,2,3292.0,4,68,1,1,N,3,7,N,N,19-01700,2
0,2,2,160000.0,0,7,6,2,1,3292.0,3,N,1,1,N,69,8,N,7,01-01301,2
0,2,2,2400.0,0,9,1,2,2,36052.0,6,385,1,2,N,16,1,N,12,06-07502,2
0,2,2,31000.0,0,7,1,2,2,3292.0,4,91,1,2,2,17,4,N,N,38-00100,2
0,1,2,244000.0,0,9,1,2,2,9844.0,6,121,1,2,4,64,8,4,12,51-01301,2
0,2,2,338300.0,0,5,1,2,2,49156.0,1,465,1,1,3,47,2,N,N,36-04010,2
0,1,2,262000.0,0,10,1,2,2,3292.0,1,25,1,1,2,24,9,N,16,08-00803,2
0,1,2,166030.0,0,7,1,2,2,3292.0,6,262,1,2,N,73,1,N,11,26-02702,2
0,2,2,124700.0,5,7,1,2,2,3292.0,4,0,3,0,12,64,5,N,10,08-00803,2
0,1,2,60000.0,0,5,2,2,2,49156.0,6,193,1,2,4,59,0,N,N,36-04010,2
0,2,2,-1300.0,0,9,1,2,2,36052.0,6,501,1,2,N,40,0,N,N,06-07502,2
0,2,2,131400.0,0,4,2,2,2,3292.0,6,210,1,1,2,37,8,N,9,01-01301,2
0,2,2,115500.0,0,5,2,2,2,3292.0,3,412,1,1,6,47,3,N,N,01-01301,2
0,1,2,526000.0,0,9,1,2,2,3292.0,6,N,1,2,2,25,5,N,6,24-01004,2
0,1,2,211400.0,0,2,1,2,2,3292.0,N,255,1,1,4,6,N,N,N,08-00803,2
0,2,2,N,0,9,1,2,2,3292.0,1,501,1,1,2,70,8,N,15,06-08507,2
0,2,2,580.0,3,7,2,2,2,3292.0,4,501,1,2,5,36,7,N,16,13-04600,2
0,1,2,290200.0,0,9,6,2,2,36052.0,1,501,1,2,4,68,4,N,N,06-07502,2
0,1,2,45360.0,0,11,1,2,2,3292.0,1,398,1,1,3,43,9,N,7,24-01004,2
0,2,2,N,0,6,1,2,2,3292.0,1,501,1,1,2,47,4,N,11,30-00600,2
0,2,2,N,0,4,6,2,2,3292.0,6,501,1,2,N,28,0,N,N,06-08507,2
0,1,2,N,0,5,2,2,2,3292.0,3,501,1,2,N,81,9,N,18,13-04600,2
0,2,2,181260.0,0,7,2,2,N,49156.0,4,19,1,2,N,62,9,N,10,36-04010,N
0,2,2,90000.0,1,3,2,2,2,16396.0,1,501,1,1,3,66,0,N,N,17-03531,2
0,1,2,25300.0,0,7,3,2,2,3292.0,1,0,1,2,4,86,3,N,14,40-00200,2
0,2,2,7200.0,0,9,2,2,2,16396.0,6,501,1,2,N,32,4,N,6,17-03529,2
0,2,2,0.0,0,8,2,2,2,3292.0,3,231,1,1,2,68,3,N,4,13-04600,2
0,2,2,0.0,4,4,2,2,1,3292.0,6,501,1,2,5,27,3,N,N,26-02702,2
0,2,2,N,0,7,1,2,2,3292.0,1,278,1,1,2,33,4,N,10,30-00600,2
0,2,2,10000.0,0,9,6,2,2,3292.0,4,41,1,2,N,79,6,N,N,26-02702,2
0,2,2,35390.0,1,10,1,2,2,9844.0,6,125,1,1,5,21,0,N,N,51-01301,2
0,2,2,95050.0,0,4,2,2,2,16396.0,1,501,1,1,2,54,7,N,10,17-03529,2
0,2,2,110200.0,0,12,6,2,2,3292.0,1,126,1,1,2,45,9,N,10,06-08507,2
0,1,2,7200.0,1,9,1,2,2,3292.0,1,501,1,1,3,57,8,N,17,40-00200,2
0,2,2,576000.0,0,4,2,2,2,49156.0,6,501,1,2,N,18,0,N,N,36-04010,2
0,1,2,196500.0,0,9,1,2,2,3292.0,1,501,1,1,2,60,9,N,10,29-01901,2
0,2,1,0.0,0,10,1,1,2,3292.0,1,278,1,1,2,83,8,N,10,29-01901,2
0,1,2,124700.0,N,7,1,2,2,3292.0,6,284,2,0,N,19,1,N,10,08-00803,2
0,2,2,42100.0,1,12,1,1,2,3292.0,2,501,1,1,4,60,N,N,12,26-02702,2
1,2,2,N,0,4,1,2,2,3292.0,1,28,1,1,2,49,2,N,7,19-01700,2
1,1,2,67700.0,0,5,1,2,2,16396.0,6,501,1,2,2,37,5,N,N,17-03529,2
0,2,2,35390.0,0,10,1,2,2,3292.0,2,206,1,1,4,16,8,N,9,06-08507,2
0,2,2,30000.0,4,3,2,2,2,9844.0,N,501,1,2,6,14,N,N,N,32-00405,2
0,2,2,67700.0,0,8,1,2,1,3292.0,3,278,1,1,2,82,7,N,0,19-01700,2
0,2,2,82100.0,0,5,1,2,2,9844.0,4,501,1,1,4,64,1,N,10,30-00600,2
0,1,2,215000.0,6,2,1,2,N,3292.0,N,501,1,1,8,11,N,N,N,24-01004,1
0,2,2,N,0,3,2,2,2,55708.0,N,68,1,2,5,41,N,N,N,36-03710,2
0,1,2,81710.0,2,3,1,2,2,3292.0,N,454,1,1,4,9,N,N,N,24-01004,2
0,2,2,75100.0,N,8,1,2,2,3292.0,6,501,2,0,N,18,0,N,N,13-04600,2
0,1,2,N,2,2,1,2,N,3292.0,N,N,1,1,4,7,N,N,N,08-00803,N
0,2,2,10800.0,1,12,6,2,2,3292.0,1,501,1,1,3,65,9,N,12,24-01004,2
0,1,2,3150.0,0,9,1,2,2,9844.0,2,501,1,1,4,67,8,N,16,06-07502,2
0,1,2,552030.0,0,4,1,2,2,3292.0,6,N,1,2,2,28,3,N,11,29-01901,2
0,2,2,108900.0,4,9,1,2,2,3292.0,4,501,1,2,5,39,2,N,N,08-00803,2
0,1,2,74800.0,0,5,1,2,2,3292.0,6,55,1,2,N,15,2,N,N,30-00600,2
0,1,2,159600.0,0,10,2,2,2,3292.0,6,501,1,2,N,11,0,N,14,06-08507,2
1,2,2,N,0,7,8,2,2,55708.0,6,501,1,2,2,21,2,N,11,36-03710,2
0,2,2,0.0,0,4,1,2,2,9844.0,1,224,1,1,2,72,8,N,12,51-51255,2
0,2,2,70000.0,3,5,1,2,2,3292.0,6,501,1,2,5,25,1,N,N,38-00100,2
0,1,2,0.0,0,7,1,2,2,9844.0,1,501,1,1,2,42,8,N,4,51-51255,2
0,1,2,N,1,10,1,2,2,3292.0,1,341,1,1,3,33,9,N,10,08-00803,2
0,2,2,320500.0,0,5,2,2,2,49156.0,6,75,1,1,2,21,6,N,16,36-04010,2
0,1,2,286000.0,2,3,1,2,2,3292.0,N,501,1,2,3,8,N,N,N,24-01004,2
0,1,2,225200.0,1,8,2,2,2,3292.0,6,501,1,2,3,26,7,N,10,06-08507,2
0,1,2,61000.0,0,3,1,2,2,3292.0,N,418,1,1,2,73,N,N,N,30-00600,2
0,1,2,10800.0,4,2,1,2,2,16396.0,N,475,1,2,5,13,N,N,N,17-03529,2
0,2,2,197500.0,2,12,1,2,2,3292.0,1,349,1,1,4,69,9,N,10,08-00803,2
0,1,2,591000.0,1,9,2,2,2,3292.0,1,127,1,1,4,72,9,N,4,28-01100,2
0,2,2,160000.0,0,7,2,2,2,3292.0,1,383,1,1,4,46,2,N,14,13-04600,2
