,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
0,1,N,1,1,1,N,N,3
1,1,6,2,1,2,N,7,9
2,1,6,1,1,2,N,8,9
3,1,N,2,1,1,N,N,3
4,2,6,2,1,1,N,2,7
5,6,1,2,1,1,N,3,10
6,1,N,1,1,1,N,N,2
7,2,4,2,1,1,N,5,5
8,9,4,2,1,1,N,6,7
9,1,1,1,1,1,N,9,11
10,1,N,2,1,1,N,N,3
11,6,6,2,1,2,N,1,4
12,1,1,2,1,1,N,2,8
13,1,6,1,1,1,N,0,4
14,1,N,2,1,1,N,N,N
15,2,N,2,1,2,N,N,N
16,1,1,2,1,2,N,6,8
17,1,6,2,3,0,N,0,7
18,1,N,2,1,1,N,N,3
19,2,4,1,1,2,5,3,5
20,8,4,2,1,2,N,3,10
21,3,N,1,1,1,N,N,3
22,6,1,2,1,2,N,9,10
23,2,6,1,1,1,N,3,4
24,9,1,1,1,2,N,4,7
25,5,6,2,3,0,N,5,3
26,3,4,2,1,1,N,1,7
27,1,4,1,1,1,N,3,3
28,1,1,1,1,1,N,7,7
29,2,N,2,1,1,N,N,3
30,1,N,1,1,2,N,N,2
31,1,1,1,1,1,N,1,4
32,1,1,1,1,1,N,2,8
33,1,6,1,1,2,N,8,9
34,1,1,1,1,1,N,6,6
35,3,1,2,1,1,N,3,10
36,1,2,1,2,0,N,0,5
37,2,1,2,1,1,N,2,3
38,1,6,1,1,1,N,1,4
39,6,6,1,1,2,N,2,9
40,1,N,2,1,1,N,N,3
41,2,5,2,1,1,N,8,9
42,1,1,2,1,2,N,8,10
43,2,6,1,3,1,N,1,7
44,1,6,1,1,2,N,0,3
45,1,1,2,1,1,N,5,5
46,1,1,1,1,1,N,8,10
47,1,6,1,1,2,N,5,5
48,1,1,2,1,1,N,8,10
49,2,N,2,1,2,N,N,1
50,2,6,1,2,0,N,7,9
51,6,1,2,1,2,N,1,4
52,2,6,2,1,2,N,3,7
53,2,4,2,1,2,N,8,7
54,3,6,2,1,2,N,7,8
55,1,4,1,1,1,N,9,5
56,1,3,2,1,1,N,8,11
57,1,N,2,1,1,N,N,3
58,6,N,1,1,2,N,N,1
59,1,N,1,1,1,N,N,2
60,1,6,2,1,2,N,7,10
61,1,1,2,1,1,N,8,10
62,1,6,1,1,2,N,2,9
63,2,3,2,1,2,N,6,2
64,1,N,2,1,1,N,N,3
65,2,6,2,3,0,N,1,7
66,2,6,1,1,2,N,0,5
67,1,6,1,1,2,N,6,9
68,1,6,2,3,0,N,0,10
69,1,1,1,1,1,N,8,5
70,2,1,2,1,1,N,2,1
71,1,6,2,1,1,4,0,4
72,9,N,1,1,2,N,N,3
73,2,1,2,1,1,N,1,9
74,2,4,2,1,1,N,4,7
75,2,1,1,1,1,N,1,6
76,8,N,2,1,2,N,N,1
77,1,3,2,1,1,N,1,7
78,9,1,1,1,1,N,9,10
79,1,1,1,1,1,N,9,11
80,1,4,1,1,1,N,5,4
81,2,4,2,1,2,N,9,8
82,1,1,2,1,1,N,7,7
83,1,N,1,1,2,N,N,3
84,6,3,2,1,2,N,0,12
85,1,1,1,1,1,N,9,9
86,1,N,2,1,1,N,N,2
87,2,1,2,1,1,N,7,7
88,6,6,2,1,2,N,5,9
89,1,1,2,1,1,N,8,10
90,1,6,2,1,1,N,0,4
91,1,4,2,1,1,N,9,9
92,1,3,2,1,1,N,2,7
93,2,2,1,2,0,N,0,6
94,1,N,1,1,1,N,N,2
95,1,3,2,1,1,N,2,9
96,2,4,2,1,1,N,6,7
97,1,N,1,1,1,N,N,3
98,3,6,1,1,1,N,0,4
99,2,4,1,1,1,N,0,5
100,1,3,2,1,1,N,3,6
101,1,1,2,1,1,N,5,5
102,1,1,1,1,2,N,5,10
103,1,N,2,1,2,N,N,N
104,1,1,2,1,2,N,1,9
105,1,N,1,1,2,N,N,1
106,1,1,1,1,1,N,1,11
107,3,1,2,1,1,N,0,7
108,8,N,1,1,2,N,N,3
109,1,1,1,1,1,N,9,5
110,1,6,2,3,0,N,1,7
111,1,6,1,1,1,N,3,5
112,1,6,1,1,1,N,9,10
113,1,2,1,1,2,N,7,9
114,1,N,1,1,1,N,N,N
115,3,1,1,1,1,N,3,4
116,1,6,1,1,2,N,0,9
117,1,2,2,1,1,N,2,3
118,2,5,2,1,1,N,7,8
119,1,1,1,1,1,N,1,3
120,8,1,1,1,2,N,0,3
121,6,6,1,1,1,N,7,9
122,2,N,2,1,1,N,N,1
123,1,1,2,1,1,N,5,5
124,3,N,1,1,1,N,N,3
125,1,6,2,3,0,N,0,5
126,2,1,2,1,1,N,4,10
127,2,2,2,1,1,N,8,10
128,1,6,1,1,1,N,5,8
129,6,1,2,1,1,N,5,11
130,2,1,2,1,2,N,5,7
