,EDU,HISP,INDP_CAT,MSP,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,PINCP_DECILE_y,percent_match
0,N,2,N,N,2,N,25-00503,1,2,N,100.0
1,9,0,9,1,2,6,25-01000,1,1,7,0.0
2,3,4,N,N,1,N,25-01300,1,2,N,100.0
3,10,0,10,6,2,7,25-00503,1,2,8,0.0
4,9,0,6,6,2,5,25-02800,1,1,8,0.0
5,3,0,N,1,1,0,25-01300,1,1,6,0.0
6,9,0,7,1,1,8,25-01000,1,2,7,0.0
7,7,0,16,1,2,8,25-00503,1,1,6,0.0
8,5,0,11,4,1,6,25-00703,1,1,5,0.0
9,5,0,10,1,1,6,25-01300,1,2,8,0.0
10,5,0,N,6,0,2,25-01000,1,2,1,0.0
11,9,4,10,1,2,7,25-00703,1,2,4,0.0
12,10,0,13,6,1,4,25-00503,1,2,4,100.0
13,4,0,N,6,0,0,25-01000,1,2,2,0.0
14,5,0,10,4,1,5,25-00703,1,1,7,0.0
15,10,0,11,1,2,5,25-01300,1,2,9,0.0
16,9,0,N,1,2,7,25-01000,1,2,6,0.0
17,7,0,14,1,1,3,25-00503,1,1,5,0.0
18,5,0,15,1,1,4,25-01300,1,1,5,0.0
19,9,0,14,1,1,9,25-02800,1,2,4,0.0
20,7,0,4,4,1,6,25-00703,1,1,8,0.0
21,5,0,6,6,0,1,25-00503,6,2,1,100.0
22,10,0,8,1,1,5,25-01300,1,1,8,0.0
23,9,0,12,1,1,8,25-00703,6,1,8,100.0
24,8,0,N,6,1,0,25-00703,1,1,1,0.0
25,10,0,6,6,2,7,25-00703,1,2,5,0.0
26,8,0,12,6,1,4,25-01000,1,2,7,0.0
27,11,0,10,1,1,9,25-02800,1,2,5,0.0
28,10,0,12,6,1,7,25-01000,1,2,8,0.0
29,7,0,11,1,1,5,25-00703,1,1,6,0.0
30,9,0,15,6,2,N,25-00703,1,2,5,0.0
31,11,0,N,1,1,1,25-01000,1,2,2,0.0
32,7,0,15,6,1,1,25-00503,1,1,1,100.0
33,4,0,6,6,2,3,25-02800,1,2,2,0.0
34,9,0,11,6,2,6,25-01300,6,2,3,0.0
35,5,0,N,4,1,2,25-01000,1,1,2,100.0
36,5,0,16,6,1,7,25-00703,1,1,7,100.0
37,10,0,4,1,1,9,25-02800,6,1,8,0.0
38,5,0,N,1,1,0,25-01300,6,2,2,0.0
39,7,0,14,1,1,0,25-00503,1,2,1,0.0
40,2,0,N,N,1,N,25-01300,6,1,N,100.0
41,12,0,11,1,1,5,25-02800,6,2,2,0.0
42,5,0,15,6,2,2,25-01000,1,1,8,0.0
43,5,0,15,6,2,3,25-01000,1,2,4,0.0
44,12,0,9,1,1,9,25-01300,1,2,8,0.0
45,7,4,6,6,2,1,25-02800,1,1,5,0.0
46,9,0,11,6,2,2,25-01000,1,1,7,0.0
47,8,0,9,1,1,3,25-01000,1,1,9,0.0
48,7,0,10,6,0,7,25-01300,1,1,0,0.0
49,4,0,N,4,1,2,25-01300,1,2,1,0.0
50,12,0,11,1,1,8,25-01000,1,2,8,100.0
51,7,0,3,4,2,7,25-02800,1,1,9,0.0
52,4,0,6,6,2,2,25-00703,1,1,1,0.0
53,9,0,5,1,1,8,25-00703,1,2,8,100.0
54,10,0,N,6,1,8,25-01000,1,2,7,0.0
55,10,0,4,6,1,9,25-02800,1,1,7,0.0
56,9,0,16,6,2,7,25-01300,1,1,5,0.0
57,9,0,6,4,2,2,25-00503,1,2,6,0.0
58,4,0,3,6,2,N,25-00703,1,1,7,0.0
59,10,0,5,1,1,8,25-00703,1,1,9,0.0
60,10,0,3,4,2,9,25-00703,1,1,3,0.0
61,5,0,4,4,2,5,25-00703,1,1,8,0.0
62,1,0,N,N,2,N,25-01000,1,2,N,100.0
63,9,0,N,6,2,6,25-01300,1,1,0,0.0
64,9,0,9,6,2,1,25-00703,1,1,7,0.0
65,1,0,N,N,1,N,25-01300,2,2,N,100.0
66,5,0,6,1,1,2,25-00503,1,2,4,0.0
67,7,2,14,6,2,1,25-00503,1,2,2,0.0
68,7,0,2,1,1,8,25-01300,1,1,7,0.0
69,4,0,11,1,1,3,25-01300,1,2,3,100.0
70,5,0,13,6,1,2,25-00503,1,2,3,0.0
71,5,0,4,6,1,8,25-01300,1,2,0,0.0
72,5,0,12,6,1,4,25-01000,1,2,1,0.0
73,8,0,10,6,1,2,25-01300,1,2,8,0.0
74,9,0,6,4,1,3,25-01000,1,1,9,0.0
75,7,2,14,6,0,1,25-00703,1,1,0,0.0
76,4,0,12,6,1,6,25-01000,1,2,1,0.0
77,10,0,6,6,1,7,25-02800,6,1,8,0.0
78,8,0,14,6,1,2,25-01300,1,1,4,0.0
79,7,0,7,3,2,5,25-01300,1,2,2,0.0
80,5,0,10,6,2,7,25-00503,1,2,0,0.0
81,5,0,6,4,2,7,25-00703,1,1,2,0.0
82,12,0,10,1,1,9,25-01000,1,2,9,100.0
83,9,0,6,1,1,4,25-01000,6,2,6,0.0
84,5,0,16,6,1,6,25-00503,1,2,7,0.0
85,8,0,N,6,1,0,25-00503,1,2,3,0.0
86,9,0,8,6,1,9,25-00703,1,1,1,0.0
87,5,0,14,6,2,3,25-00503,6,1,1,0.0
88,12,0,11,1,2,5,25-00503,1,2,4,0.0
89,12,0,11,1,1,8,25-02800,1,2,5,0.0
90,8,0,16,1,1,8,25-02800,1,2,5,0.0
91,7,0,7,1,1,8,25-00503,1,1,7,0.0
92,12,0,10,1,1,9,25-01000,1,1,9,100.0
93,9,0,11,1,1,9,25-02800,6,2,2,0.0
94,5,0,N,4,1,2,25-00503,1,1,5,0.0
95,5,0,14,6,2,5,25-00503,1,1,7,0.0
96,11,0,15,1,2,N,25-02800,1,1,9,0.0
97,4,0,4,1,1,0,25-00703,1,1,8,0.0
98,9,0,14,1,1,3,25-02800,6,2,4,0.0
99,5,0,14,6,0,1,25-00503,1,2,1,100.0
100,10,0,12,6,2,7,25-00503,1,2,6,0.0
101,9,0,9,1,2,8,25-01000,1,2,8,100.0
102,7,0,13,1,1,1,25-01000,1,2,2,0.0
103,5,0,14,1,1,7,25-02800,1,2,2,0.0
104,5,0,15,4,2,2,25-00703,1,2,1,0.0
105,5,0,4,4,2,4,25-01000,1,1,5,0.0
106,10,0,12,1,1,9,25-01300,6,2,5,0.0
107,9,0,12,1,2,5,25-02800,1,2,3,0.0
108,9,0,12,6,1,1,25-01000,1,1,8,0.0
109,5,0,11,1,1,6,25-01000,1,1,6,100.0
110,10,0,8,4,1,9,25-00503,1,2,9,100.0
111,9,0,8,1,1,7,25-02800,1,2,8,0.0
112,9,0,4,1,2,9,25-02800,1,1,8,0.0
113,7,0,4,6,1,6,25-02800,1,1,5,0.0
114,3,4,N,N,1,N,25-00503,1,2,N,100.0
115,10,0,13,6,1,1,25-01000,1,2,8,0.0
116,10,0,12,4,2,6,25-02800,1,2,5,0.0
117,7,0,15,6,1,1,25-01000,1,2,2,0.0
118,5,0,9,1,1,9,25-01000,1,1,6,0.0
119,6,0,N,4,2,0,25-00703,1,2,0,100.0
120,7,0,6,1,1,6,25-01300,1,1,4,0.0
121,9,0,11,6,1,1,25-02800,6,2,4,0.0
122,3,4,N,N,2,N,25-00503,1,1,N,100.0
123,5,0,11,6,2,6,25-00703,1,1,5,0.0
124,5,0,16,4,1,2,25-00703,1,2,7,0.0
125,5,0,N,4,1,0,25-01300,1,1,3,0.0
126,9,0,12,4,2,7,25-00703,1,2,5,0.0
127,9,0,11,1,2,8,25-00703,1,1,6,0.0
128,5,0,12,1,1,6,25-00503,1,2,4,0.0
129,10,0,5,1,1,8,25-01000,1,1,8,100.0
130,12,0,11,1,1,9,25-00503,1,2,3,0.0
131,5,0,9,4,1,7,25-02800,1,2,7,100.0
132,7,0,11,3,1,3,25-02800,1,2,4,0.0
133,5,0,14,1,1,5,25-01000,1,1,5,100.0
134,9,0,N,4,2,2,25-02800,1,2,3,0.0
135,10,0,14,1,1,7,25-02800,1,2,7,100.0
136,2,0,N,N,1,N,25-01300,6,2,N,100.0
137,5,0,2,6,1,5,25-01300,1,1,4,0.0
138,4,0,3,6,2,N,25-01000,1,1,2,0.0
139,10,0,11,1,2,5,25-00703,1,2,6,0.0
140,5,0,N,6,2,N,25-02800,1,1,0,0.0
141,7,0,0,6,1,2,25-02800,1,2,3,0.0
142,10,0,N,1,1,4,25-01300,6,2,1,0.0
143,8,0,14,6,1,3,25-00703,1,1,3,100.0
144,7,0,15,6,0,2,25-01300,1,2,2,100.0
145,5,0,N,6,2,0,25-01300,1,1,1,0.0
146,9,2,10,6,2,8,25-00703,1,1,5,0.0
147,7,0,14,6,2,0,25-00503,1,2,3,0.0
148,9,0,15,6,2,N,25-00503,1,1,7,0.0
149,7,0,N,6,2,1,25-00703,1,2,2,0.0
150,5,0,11,1,1,9,25-00503,1,1,5,0.0
151,4,0,9,6,1,1,25-02800,1,1,1,100.0
152,7,0,11,4,1,7,25-01000,1,2,6,0.0
153,7,0,6,6,2,1,25-00703,1,2,2,0.0
154,9,0,9,1,1,7,25-00703,9,1,8,0.0
155,5,0,8,4,2,4,25-02800,1,2,1,0.0
156,8,0,N,6,0,0,25-01300,1,1,0,100.0
157,7,0,6,6,1,5,25-01000,1,1,3,0.0
