,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,40,0,4,2,N,2,2,60,32-00405,3,1,84,0,N,3,114,20.0
1,76,0,2,0,3,0,7,341,40-00200,1,2,84,N,N,3,N,0.0
2,19,1,6,0,3,1,4,387,26-02702,1,1,57,0,2,1,259,20.0
3,20,0,4,3,3,1,1,394,29-01901,9,2,62,0,N,8,444,0.0
4,78,2,1,6,2,1,5,312,38-00100,8,1,39,0,7,0,308,0.0
5,18,2,1,1,4,1,6,266,24-01004,1,2,57,0,4,9,501,20.0
6,53,0,4,0,7,2,5,261,51-51255,9,1,62,0,N,2,99,20.0
7,36,0,6,0,6,2,1,185,26-02702,3,1,21,0,N,3,114,20.0
8,14,0,4,0,2,0,7,329,40-00200,3,1,45,N,N,3,N,0.0
9,50,0,6,0,4,0,8,386,06-07502,9,1,29,N,N,1,N,0.0
10,13,0,2,0,2,2,0,80,24-01004,6,1,33,0,N,9,501,20.0
11,56,1,6,6,3,1,4,206,06-08507,8,2,43,0,2,3,338,0.0
12,31,0,6,0,2,1,6,120,40-00200,7,2,17,3,4,0,2,0.0
13,30,0,4,0,5,1,0,4,24-01004,9,1,59,0,N,4,241,20.0
14,51,1,1,2,4,1,0,315,36-03710,3,1,33,2,4,7,232,40.0
15,56,2,6,1,2,2,5,79,08-00803,1,2,22,0,N,1,18,0.0
16,40,1,1,0,5,2,6,404,38-00100,8,1,25,3,6,6,222,20.0
17,62,0,6,1,4,0,5,397,06-08507,1,2,52,N,N,1,13,0.0
18,14,0,5,N,2,2,8,46,19-01700,2,1,39,1,3,5,229,0.0
19,66,0,6,1,6,0,2,378,36-03710,6,2,53,N,N,0,N,0.0
20,21,2,4,2,5,1,8,362,24-01004,1,2,74,0,N,7,501,0.0
21,74,1,6,0,2,1,6,172,29-01901,1,2,38,0,N,7,379,20.0
22,57,4,6,4,6,2,7,499,06-08507,1,2,37,0,N,7,492,20.0
23,20,0,N,3,5,1,5,30,36-04010,1,1,6,3,5,N,182,40.0
24,14,3,1,0,6,1,7,71,24-01004,1,1,61,0,2,9,501,20.0
25,60,2,6,1,N,2,4,459,51-01301,2,2,32,0,N,1,44,20.0
26,27,4,6,9,2,1,7,6,36-03710,8,2,34,1,2,7,456,40.0
27,67,2,1,0,3,2,4,219,36-03710,2,1,65,0,4,3,256,20.0
28,69,4,1,0,6,1,2,501,24-01004,6,1,87,0,2,7,501,40.0
29,20,0,1,0,3,1,N,194,40-00200,5,1,30,1,3,9,501,20.0
30,49,4,1,3,2,1,0,139,36-03710,9,2,53,0,2,7,347,20.0
31,37,0,4,0,2,2,6,194,24-01004,9,2,80,0,N,5,360,20.0
32,30,0,5,3,5,1,0,54,19-01700,6,2,59,0,2,3,313,0.0
33,24,2,2,0,2,1,6,87,36-03710,1,2,57,0,N,5,235,20.0
34,15,0,4,0,3,0,9,254,36-03710,1,2,38,N,N,2,55,0.0
35,26,1,6,6,3,2,1,152,01-01301,3,2,30,2,3,2,45,20.0
36,54,0,4,0,5,0,2,0,17-03529,1,2,70,N,N,2,73,20.0
37,94,1,6,0,N,2,6,157,51-51255,1,1,53,0,N,7,456,40.0
38,71,3,6,0,2,2,5,363,17-03529,1,1,30,0,N,1,15,20.0
39,29,4,1,0,2,2,6,63,06-07502,1,2,34,0,2,7,501,40.0
40,21,4,4,0,4,2,1,206,36-03710,2,1,44,0,3,0,44,20.0
41,63,1,4,0,2,2,0,479,40-00200,1,2,33,0,5,4,56,20.0
42,36,0,1,0,2,1,3,354,13-04600,3,2,48,0,3,9,501,20.0
43,20,2,1,2,N,2,3,437,51-01301,1,2,31,0,2,9,501,0.0
44,49,0,2,1,5,2,N,501,32-00405,6,2,48,0,4,3,148,0.0
45,53,1,1,1,5,1,N,177,29-01901,2,2,94,0,2,0,276,0.0
46,69,2,1,1,2,1,3,114,36-03710,2,2,52,0,3,7,501,0.0
47,32,0,4,2,N,0,5,438,06-08507,6,2,39,N,N,0,0,20.0
48,64,4,N,0,3,1,N,374,08-00803,1,2,10,0,5,N,501,40.0
49,23,0,2,0,3,1,8,466,13-04600,6,1,50,2,9,4,199,0.0
50,38,0,4,0,4,2,8,501,28-01100,3,1,44,0,N,4,129,20.0
51,64,0,N,0,3,1,7,138,40-00200,2,2,14,0,4,N,72,20.0
52,55,4,6,0,4,2,8,491,28-01100,1,1,19,0,N,4,121,20.0
53,27,0,3,0,2,1,0,295,29-01901,9,1,81,0,N,2,74,20.0
54,40,4,4,2,4,1,1,383,26-02702,1,2,52,1,2,5,184,0.0
55,22,1,6,0,2,2,5,315,36-04010,1,1,33,0,N,9,501,20.0
56,40,0,3,0,4,2,0,288,32-00405,6,1,68,0,N,3,146,20.0
57,27,0,4,0,N,2,7,256,24-01004,9,1,84,0,N,7,501,60.0
58,56,0,6,0,3,2,0,461,06-07502,7,1,21,0,6,2,86,20.0
59,38,0,5,3,5,1,1,159,08-00803,1,2,55,1,2,9,501,0.0
60,88,4,4,1,2,2,1,278,24-01004,2,2,64,0,2,3,136,20.0
61,18,3,6,0,5,2,5,280,51-51255,1,1,28,0,N,6,404,20.0
62,79,4,4,0,3,1,2,280,51-51255,9,1,42,0,N,9,501,20.0
63,28,0,2,0,6,1,4,173,38-00100,9,1,46,0,N,9,501,20.0
64,19,1,1,0,3,2,3,372,30-00600,1,1,85,0,2,4,282,20.0
