PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
48-02510,40,2,1,0,1,2,4,1,1,3092.4,6070,7,7,65000,8,501,N,2,2,2,2,56,54
48-02510,10,1,N,3,1,3,5,1,1,3092.4,N,N,3,N,N,501,N,2,2,2,2,58,52
48-02101,52,1,1,0,1,1,6,1,2,357.4,N,N,4,25000,4,287,N,2,1,1,2,128,140
48-02101,68,1,1,0,1,0,2,1,1,357.4,4870,6,6,106000,9,501,3,2,2,2,1,84,86
48-02102,1,2,N,0,1,2,3,1,2,450.9,N,N,N,N,N,10,N,N,N,2,2,262,176
48-02510,9,1,N,0,1,2,4,1,1,3092.4,N,N,3,N,N,501,N,2,2,2,2,54,46
48-02102,56,1,1,0,1,0,2,1,1,450.9,6480,8,6,70000,8,501,N,2,2,2,2,71,62
48-02515,30,1,6,2,1,N,N,2,0,2134.8,7690,10,6,12000,3,N,N,1,2,2,2,76,0
48-02102,38,1,1,0,1,3,5,1,1,450.9,8870,15,1,58000,7,501,N,2,2,2,2,49,49
48-02515,45,2,1,0,1,0,2,1,1,2134.8,6370,7,7,60000,7,501,N,2,2,2,2,24,27
48-02101,47,1,1,1,1,1,5,1,1,357.4,4880,6,4,24000,4,254,N,2,2,2,2,90,78
48-02507,13,1,N,4,2,2,3,1,1,3731.1,N,N,3,N,N,115,N,2,2,2,2,24,23
48-02516,1,1,N,1,1,4,6,1,1,1338.4,N,N,N,N,N,153,N,N,N,2,2,410,263
48-02101,8,2,N,0,1,3,5,1,2,357.4,N,N,3,N,N,193,N,2,2,2,2,46,56
48-02101,1,2,N,0,1,0,5,1,1,357.4,N,N,N,N,N,279,N,N,N,2,2,127,175
48-02516,21,2,6,0,1,0,5,1,1,1338.4,8680,14,5,0,0,296,N,2,2,2,2,73,45
48-02102,35,2,6,0,1,0,N,1,2,450.9,8370,13,5,600,1,69,N,2,2,2,2,266,280
48-02510,65,1,1,0,1,0,3,1,1,3092.4,6991,9,9,255000,9,501,N,2,2,2,2,43,44
48-02102,52,1,1,0,1,3,5,1,1,450.9,6991,9,5,69000,8,501,N,2,2,2,2,105,87
48-02510,17,1,6,1,1,2,4,1,1,3092.4,770,3,4,3000,1,473,N,2,2,2,2,56,60
48-02101,17,2,6,0,1,0,4,1,1,357.4,N,N,4,0,0,501,N,2,2,2,2,28,14
48-02516,8,1,N,0,1,2,4,1,1,1338.4,N,N,3,N,N,501,N,2,2,2,2,77,77
