,feature,divergence
13,PINCP,2.67180087671891
1,AGEP,2.0847457627118646
12,EDU,1.296946279130264
14,PINCP_DECILE,1.1442706924060202
15,POVPIP,0.8756173875722955
7,NPF,0.5242228286142967
11,INDP_CAT,0.3077574959007871
10,DENSITY,0.21547827774791614
3,MSP,0.13059015248515893
6,NOC,0.10826586069210296
5,RAC1P,0.06471540139309083
0,PUMA,0.05294676091155104
16,DVET,0.04691805075183492
4,HISP,0.03196319275255667
17,DREM,0.028635661805176425
19,DEYE,0.020304987026334143
9,OWN_RENT,0.01813239550497145
8,HOUSING_TYPE,0.016606768107344856
2,SEX,0.013683795205116756
18,DPHY,0.009667359667359654
20,DEAR,0.0037673565887658272
