,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,29,2,7,2,2,2,N,9,0,1,N,1,3,5,2,9200.0,0,382,08-00803,6,2,32,2,7,2,2,2,N,1,0,2,0.0,0,146,61.53846153846154
1,86,2,7,2,2,2,N,11,0,1,N,3,0,N,1,13000.0,9,186,24-01004,1,1,89,2,8,2,2,2,N,1,0,3,29000.0,4,501,53.84615384615385
2,62,2,7,2,1,2,N,9,4,1,16,1,0,2,1,N,1,501,13-04600,1,1,32,2,7,2,2,2,N,1,0,2,50000.0,7,501,69.23076923076923
3,15,2,10,2,2,2,N,3,1,1,N,6,2,4,2,110.0,0,88,32-00405,1,2,15,2,9,2,2,2,N,1,2,5,0.0,0,124,69.23076923076923
4,88,1,13,1,1,2,N,4,2,1,N,3,0,N,2,30000.0,8,136,36-03710,8,2,67,2,13,2,2,2,N,1,0,N,0.0,0,0,46.15384615384615
5,6,2,7,2,2,2,N,2,0,1,N,N,1,2,1,N,N,501,30-00600,9,1,5,2,0,2,2,2,N,1,1,3,N,N,378,69.23076923076923
6,39,2,7,2,2,2,N,11,0,1,12,1,0,2,2,N,9,501,24-01004,1,1,76,1,8,1,2,2,N,1,0,2,194000.0,9,501,61.53846153846154
7,66,1,11,2,1,2,N,7,0,1,N,6,0,N,2,50000.0,4,218,17-03529,1,1,20,2,11,2,2,2,N,1,0,N,0.0,0,0,53.84615384615385
8,71,2,13,2,2,2,N,11,0,1,10,6,0,N,2,300.0,9,501,06-07502,9,1,30,2,12,2,2,2,N,1,0,N,45000.0,6,340,61.53846153846154
9,69,2,7,2,1,2,N,7,0,1,N,1,1,2,2,25000.0,6,286,38-00100,9,2,45,2,0,2,1,1,N,1,1,3,9500.0,2,236,46.15384615384615
10,19,2,10,1,2,2,N,7,0,3,N,6,N,N,0,200000.0,1,N,51-51255,1,2,86,2,10,2,1,2,N,2,N,N,0.0,0,N,53.84615384615385
11,23,2,11,2,2,2,N,9,0,1,4,6,0,N,2,35000.0,4,137,17-03529,1,2,26,2,11,2,2,2,N,1,0,N,90000.0,8,501,69.23076923076923
12,50,2,7,2,2,2,N,9,0,1,N,4,0,N,2,25000.0,5,241,19-01700,1,1,76,2,7,2,1,2,N,1,0,N,23000.0,4,189,61.53846153846154
13,64,2,10,2,2,2,N,7,0,1,5,4,0,N,2,N,7,393,51-01301,1,1,52,1,10,2,2,2,N,1,0,N,91000.0,8,501,61.53846153846154
14,61,2,7,2,2,2,N,5,0,1,16,5,0,N,2,83000.0,5,307,13-04600,2,1,56,2,7,2,2,1,N,1,0,2,43000.0,6,398,53.84615384615385
15,68,2,10,2,2,2,N,5,0,1,6,1,0,2,2,45000.0,5,182,51-51255,1,1,38,2,10,1,2,2,N,1,3,5,78000.0,7,257,46.15384615384615
16,9,2,7,2,2,2,N,3,4,1,N,N,2,4,2,51200.0,N,281,30-00600,1,2,9,2,0,1,2,2,N,1,4,12,N,N,362,53.84615384615385
17,29,2,10,2,2,2,N,10,0,1,12,6,0,N,2,451500.0,8,501,51-01301,1,2,25,2,10,2,2,2,N,1,0,N,66000.0,7,498,69.23076923076923
18,18,2,10,2,2,2,N,5,0,1,7,6,0,5,2,18000.0,5,274,32-00405,2,1,22,2,9,2,2,2,N,1,1,3,0.0,0,177,46.15384615384615
19,50,2,7,2,2,2,N,5,0,1,N,1,0,2,2,265000.0,4,301,38-00100,1,1,72,2,0,2,2,2,N,1,0,2,13000.0,2,450,61.53846153846154
20,36,2,7,2,2,2,N,7,0,1,N,4,0,5,2,33000.0,3,202,38-00100,1,1,74,2,0,2,1,2,5,1,0,N,67700.0,8,501,38.46153846153847
21,35,2,7,2,2,2,N,7,0,1,N,2,2,4,1,198600.0,0,0,06-08507,6,2,60,2,7,2,2,2,N,1,0,2,0.0,0,473,61.53846153846154
22,35,2,13,2,2,2,N,7,0,1,6,1,3,5,2,12000.0,4,147,36-04010,2,1,54,2,13,2,2,2,N,1,0,2,40000.0,5,235,53.84615384615385
23,53,2,7,2,2,2,N,5,0,1,6,4,0,3,1,11400.0,3,278,01-01301,2,2,64,2,7,2,2,2,N,1,0,2,27000.0,5,347,61.53846153846154
24,52,2,7,2,2,2,N,5,0,1,11,1,5,6,1,58000.0,5,262,19-01700,1,1,65,2,7,2,2,2,N,1,2,6,0.0,0,183,61.53846153846154
25,29,2,13,2,2,2,N,9,0,1,N,6,0,4,1,6000.0,0,501,36-04010,2,1,25,2,13,2,2,2,N,1,0,4,0.0,0,501,84.61538461538461
26,48,2,7,2,2,2,N,10,0,1,11,1,0,2,1,N,7,66,24-01004,9,2,44,2,8,2,2,2,N,1,1,4,86000.0,7,501,53.84615384615385
27,48,2,7,2,2,2,N,5,0,1,10,1,0,3,2,3000.0,5,226,28-01100,2,1,24,2,7,2,2,2,N,1,1,3,38000.0,7,233,61.53846153846154
28,52,2,7,2,2,2,N,9,0,1,15,6,1,3,2,0.0,6,380,19-01700,1,1,25,2,7,2,2,2,N,1,0,N,32000.0,5,243,53.84615384615385
29,60,2,11,2,1,1,N,10,0,1,N,1,0,2,1,50000.0,1,501,17-03529,2,1,70,2,11,2,2,2,N,1,0,2,56900.0,7,501,61.53846153846154
30,23,2,10,2,2,2,N,7,1,1,4,6,0,3,1,444950.0,5,443,32-00405,8,1,21,2,9,2,2,2,N,1,0,8,32000.0,5,219,61.53846153846154
31,37,2,7,2,2,2,N,10,0,1,17,1,2,4,1,19000.0,9,501,38-00100,1,1,48,2,0,2,2,2,N,1,0,2,66600.0,8,501,53.84615384615385
32,67,2,11,2,2,2,N,7,0,1,12,5,0,N,2,97200.0,4,218,17-03529,2,2,49,2,11,2,2,2,N,1,0,3,42000.0,6,274,61.53846153846154
33,60,2,7,2,2,2,N,5,0,1,15,6,1,3,1,54800.0,7,63,13-04600,1,1,33,2,7,2,2,2,N,1,0,N,44000.0,6,333,53.84615384615385
34,71,2,7,2,2,2,N,12,0,1,11,1,5,8,2,0.0,9,501,26-02702,1,2,34,2,8,2,2,2,N,1,0,2,80000.0,8,501,53.84615384615385
35,65,2,7,2,1,1,N,6,0,1,N,3,0,N,1,230000.0,5,258,40-00200,3,1,61,1,0,1,1,1,N,1,0,2,1700.0,1,9,38.46153846153847
36,61,2,10,2,2,2,N,7,0,1,11,4,0,N,2,N,3,114,32-00405,2,2,64,2,9,2,2,2,N,1,0,3,15900.0,3,99,61.53846153846154
37,1,2,7,2,N,N,N,N,0,1,N,N,1,3,2,2400.0,N,200,24-01004,2,2,0,2,8,2,N,N,N,1,1,3,N,N,497,69.23076923076923
