,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,N,6,1,3,1,7,3,1,N,1,1,66.66666666666666
1,N,4,1,6,2,0,5,1,N,1,1,66.66666666666666
2,N,5,1,2,1,3,3,1,N,1,0,66.66666666666666
3,N,11,1,1,2,9,8,2,N,1,8,66.66666666666666
4,N,3,1,6,2,2,5,1,N,1,0,66.66666666666666
5,N,6,2,6,0,0,6,1,N,2,2,66.66666666666666
6,N,8,1,3,1,7,8,2,N,1,3,66.66666666666666
7,4,1,1,1,1,0,3,1,N,1,7,33.33333333333333
8,N,9,2,2,0,2,6,2,N,2,0,66.66666666666666
9,N,3,2,4,0,2,8,2,N,2,0,66.66666666666666
10,N,5,1,6,2,5,5,1,N,1,3,66.66666666666666
11,N,3,1,2,2,0,8,2,N,1,2,66.66666666666666
12,N,5,1,3,1,3,6,1,N,1,9,66.66666666666666
13,N,4,1,4,1,2,9,1,N,1,7,66.66666666666666
14,N,5,1,2,1,5,8,1,N,1,2,66.66666666666666
15,N,1,1,2,1,2,8,1,N,1,6,66.66666666666666
16,N,3,2,3,0,2,2,2,N,2,0,66.66666666666666
17,N,8,1,4,1,7,8,1,N,1,6,66.66666666666666
18,N,8,1,6,2,5,5,2,N,1,0,66.66666666666666
19,N,7,3,2,0,0,8,2,N,2,5,33.33333333333333
20,N,8,1,6,1,6,8,2,N,1,3,66.66666666666666
21,N,1,1,4,1,0,6,2,N,1,2,66.66666666666666
22,N,1,1,2,2,3,8,1,N,1,4,66.66666666666666
23,N,10,1,5,2,6,8,2,N,1,2,66.66666666666666
24,N,8,1,1,1,8,5,1,N,1,1,66.66666666666666
25,N,8,1,5,2,3,8,2,N,1,4,66.66666666666666
26,N,3,1,N,1,N,7,2,N,1,N,100.0
27,N,6,1,6,2,3,6,2,N,1,5,66.66666666666666
28,N,3,1,6,1,0,5,1,N,1,0,100.0
29,N,4,2,5,0,4,2,2,N,2,0,66.66666666666666
30,N,8,3,4,0,2,1,2,N,2,0,33.33333333333333
31,N,9,1,5,2,6,8,1,N,1,7,66.66666666666666
32,N,1,1,2,2,2,6,1,N,1,1,66.66666666666666
33,N,9,1,3,2,7,2,1,N,1,4,66.66666666666666
34,N,8,1,2,1,3,9,2,N,1,0,66.66666666666666
35,N,12,1,3,1,9,6,1,N,1,9,100.0
36,N,9,2,5,0,1,1,2,N,2,5,66.66666666666666
37,N,5,1,4,2,4,6,1,N,1,3,66.66666666666666
38,N,11,1,3,2,9,1,1,N,1,3,66.66666666666666
39,N,7,3,2,0,2,6,1,N,2,0,33.33333333333333
40,N,3,1,2,2,2,1,1,N,1,6,66.66666666666666
41,N,6,1,6,1,4,7,1,N,1,7,66.66666666666666
42,N,10,1,6,2,7,3,2,N,1,2,66.66666666666666
43,N,12,1,1,1,7,9,2,N,1,9,66.66666666666666
44,N,9,1,2,1,3,8,1,N,1,7,66.66666666666666
45,N,8,1,4,1,3,8,2,N,1,7,66.66666666666666
46,N,N,1,N,1,N,5,2,N,1,N,100.0
47,N,4,1,5,1,1,3,1,N,1,3,66.66666666666666
48,N,6,2,6,0,0,3,2,N,3,3,33.33333333333333
49,N,6,1,1,1,3,9,2,N,1,4,66.66666666666666
50,N,1,1,3,2,3,1,2,N,1,2,66.66666666666666
51,N,1,1,5,1,2,8,1,N,1,7,66.66666666666666
52,N,8,3,6,0,2,6,1,N,3,1,66.66666666666666
53,N,9,3,2,0,0,2,1,N,2,4,33.33333333333333
54,N,9,1,2,2,6,9,2,N,1,7,66.66666666666666
55,N,9,1,4,2,7,3,1,N,1,3,66.66666666666666
56,N,4,1,N,2,N,8,1,N,1,N,100.0
57,N,7,1,5,2,0,8,1,N,1,3,66.66666666666666
58,N,7,1,1,1,4,5,1,N,1,4,100.0
59,N,12,1,1,2,8,9,2,N,1,0,66.66666666666666
60,N,8,1,1,2,7,9,1,N,1,9,66.66666666666666
61,N,8,1,2,2,3,6,1,N,1,3,100.0
62,N,10,1,2,1,9,9,2,N,1,0,66.66666666666666
63,N,4,1,5,2,N,8,1,N,1,4,66.66666666666666
64,N,1,1,2,2,1,1,2,N,1,0,66.66666666666666
65,N,6,1,5,1,3,2,2,N,1,3,100.0
66,N,3,1,3,2,3,8,1,N,1,2,66.66666666666666
67,N,3,2,3,0,2,1,1,N,2,3,66.66666666666666
68,N,8,1,2,2,4,1,2,N,1,9,66.66666666666666
69,N,9,2,2,0,0,2,2,N,2,2,66.66666666666666
70,N,8,1,4,1,5,6,1,N,1,6,66.66666666666666
71,N,5,1,3,1,5,5,2,N,1,9,66.66666666666666
72,N,8,1,5,2,4,1,2,N,1,2,66.66666666666666
