,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,-1.2212453270876722e-15,-0.033574031090403966,0.15014329884904665,0.1284773031511948,,-0.08993837963493317,0.19433021432046071,0.2614640983679263,,
SEX,-0.033574031090403966,-1.3322676295501878e-15,0.06509162725385148,0.020283918016687084,,-0.04736373447918437,-0.0183405304131355,0.12738511137405167,,
MSP,0.15014329884904665,0.06509162725385148,-9.103828801926284e-15,-0.02793358108469866,,-0.12992532146643782,0.15907415936896507,0.1553253851539037,,
RAC1P,0.1284773031511948,0.020283918016687084,-0.02793358108469866,-7.993605777301127e-15,,-0.009522113229499125,0.09172699883058559,0.11890307221485197,,
HOUSING_TYPE,,,,,,,,,,
OWN_RENT,-0.08993837963493317,-0.04736373447918437,-0.12992532146643782,-0.009522113229499125,,0.0,-0.08740526542880053,-0.11460318773021146,,
EDU,0.19433021432046071,-0.0183405304131355,0.15907415936896507,0.09172699883058559,,-0.08740526542880053,4.107825191113079e-15,0.08903058140927755,,
PINCP_DECILE,0.2614640983679263,0.12738511137405167,0.1553253851539037,0.11890307221485197,,-0.11460318773021146,0.08903058140927755,-2.6645352591003757e-15,,
DVET,,,,,,,,,,
DEYE,,,,,,,,,,
