,feature,divergence
22,PWGTP,1.2452164323132067
23,WGTP,1.02547816625372
1,AGEP,0.8925492456518468
13,EDU,0.3455927631399688
14,PINCP,0.3343057024166597
11,INDP,0.2838068390168334
15,PINCP_DECILE,0.25793975700373173
7,NPF,0.10028351064721366
12,INDP_CAT,0.0812949549898596
16,POVPIP,0.07416294510969243
0,PUMA,0.05647155413889704
6,NOC,0.051962322368977784
2,SEX,0.05089071805923984
3,MSP,0.04323835414037194
4,HISP,0.033042873049189625
10,DENSITY,0.026937197728272744
19,DPHY,0.022361571748651284
18,DREM,0.01172483927124808
17,DVET,0.004842888243036466
21,DEAR,0.001178999547198592
8,HOUSING_TYPE,0.0008863226695194713
9,OWN_RENT,0.0005302310788502934
20,DEYE,0.00045242638523755596
5,RAC1P,0.0
