,INDP,count_target,count_deidentified
14,4670,53,44.0
25,4680,14,11.0
3,4690,25,32.0
17,4770,28,24.0
20,4780,3,0.0
12,4795,21,16.0
2,4870,38,30.0
27,4880,11,14.0
7,4890,13,23.0
0,4971,76,72.0
16,4972,9,6.0
22,4980,5,7.0
21,4990,2,1.0
8,5070,33,35.0
10,5080,18,15.0
15,5090,22,23.0
5,5170,26,18.0
33,5180,2,0.0
19,5190,6,5.0
9,5275,19,26.0
1,5280,2,2.0
29,5370,3,2.0
18,5381,19,24.0
11,5391,101,95.0
24,5470,4,5.0
28,5480,3,4.0
4,5490,13,11.0
30,5570,7,16.0
6,5580,39,40.0
26,5593,20,28.0
32,5670,1,1.0
31,5680,4,5.0
23,5690,11,10.0
13,5790,12,10.0
