,INDP,count_target,count_deidentified
3,1070,2,1.0
26,1080,1,1.0
29,1090,2,0.0
38,1170,3,4.0
5,1180,7,10.0
40,1190,1,0.0
18,1270,4,3.0
9,1280,11,14.0
23,1290,1,0.0
27,1370,4,0.0
28,1390,1,1.0
41,1480,1,0.0
39,1670,1,0.0
13,1691,3,9.0
22,1790,4,5.0
37,1870,1,1.0
30,1880,1,0.0
34,1990,3,5.0
7,2090,2,1.0
36,2190,4,8.0
24,2270,1,2.0
35,2280,2,3.0
20,2290,2,5.0
12,2370,3,0.0
19,2390,2,0.0
21,2570,1,1.0
15,2590,1,0.0
10,2670,5,4.0
1,2770,3,1.0
4,2870,2,1.0
6,2880,2,0.0
32,2890,2,2.0
16,2980,2,3.0
0,3291,6,8.0
17,3370,2,0.0
31,3490,2,2.0
2,3570,12,11.0
14,3580,4,2.0
25,3895,2,1.0
8,3960,4,8.0
33,3980,5,5.0
11,3990,11,11.0
