,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,23,2,7,2,2,2,N,5,0,1,7380,15,6,0,N,2,5200.0,3,16,25-00503,83.0,1,1,128.0,25,2,7,2,2,2,N,1,9090,0,3,12000.0,2,120,114,76,50.0
1,67,2,6,2,2,2,N,10,0,1,9180,5,2,0,7,1,N,6,501,25-00703,83.0,1,1,76.0,46,2,6,2,2,2,N,1,4470,0,7,40000.0,5,257,104,85,56.25
2,50,2,5,2,2,2,N,12,0,1,6690,10,1,2,4,1,114000.0,9,501,25-01300,134.0,6,1,128.0,39,2,5,2,2,2,N,1,7460,2,4,110000.0,8,501,106,107,62.5
3,15,2,6,2,2,2,N,10,0,1,N,N,6,1,3,2,44090.0,0,143,25-00703,184.0,1,2,179.0,73,1,6,2,1,1,N,1,N,0,2,36200.0,5,501,53,53,31.25
4,30,2,7,2,2,2,N,7,0,1,4370,5,1,0,3,1,43600.0,9,501,25-02800,83.0,1,1,76.0,42,2,7,2,2,2,N,1,4170,0,2,80000.0,7,501,102,118,56.25
5,38,2,6,2,2,2,N,7,0,1,2880,14,6,1,3,2,0.0,4,0,25-01000,83.0,1,2,128.0,29,2,6,2,2,2,N,1,8680,0,N,14100.0,3,107,137,137,43.75
6,63,2,7,2,1,1,N,9,0,1,1280,N,2,0,4,1,94200.0,4,501,25-02800,134.0,1,1,128.0,67,2,7,2,2,2,N,1,N,2,6,0.0,0,501,79,87,37.5
7,37,2,7,2,2,2,N,7,0,1,4590,6,6,0,2,2,65550.0,1,501,25-00503,83.0,1,2,128.0,34,2,7,2,2,2,N,1,5170,0,N,135000.0,9,501,85,85,56.25
8,42,2,6,2,2,2,N,9,0,1,8680,4,4,2,N,2,132100.0,8,501,25-00703,33.0,1,1,25.0,42,2,6,2,2,2,N,1,3380,1,2,0.0,0,0,100,100,50.0
9,37,2,5,2,2,2,N,10,0,1,6970,8,1,2,4,1,13200.0,8,501,25-01300,33.0,6,2,76.0,47,2,5,2,2,2,N,1,6695,0,2,105000.0,8,501,86,86,56.25
10,24,2,6,2,2,2,N,7,0,1,N,6,6,0,N,2,5200.0,1,501,25-00703,83.0,1,2,76.0,28,2,6,2,2,2,N,1,5790,2,3,13000.0,2,64,67,67,43.75
11,34,2,6,2,2,2,N,5,0,1,N,12,6,1,5,1,141000.0,1,501,25-01000,33.0,1,2,25.0,22,2,6,2,2,2,N,1,8191,1,4,4000.0,1,166,84,49,56.25
12,53,2,7,2,2,2,N,5,0,1,1790,N,1,0,2,1,168300.0,3,501,25-00503,134.0,6,2,76.0,73,2,7,2,2,2,N,1,N,0,2,21600.0,3,447,50,45,62.5
13,57,2,7,2,2,2,N,10,0,1,6170,4,4,0,N,2,N,9,N,25-00503,83.0,1,1,76.0,53,2,7,2,1,2,N,1,2190,1,2,627000.0,9,501,56,56,43.75
14,60,2,5,2,2,2,N,10,0,1,6470,10,1,0,2,2,79400.0,8,501,25-01300,134.0,6,2,128.0,35,2,5,2,2,2,N,1,7380,0,2,0.0,0,148,181,180,56.25
15,72,2,6,2,2,2,3,10,0,1,6370,6,1,0,2,1,5200.0,5,501,25-01000,134.0,1,1,128.0,49,2,6,2,2,2,N,1,5080,3,5,627000.0,9,501,51,51,43.75
16,21,2,5,2,2,2,N,7,0,1,5391,16,6,0,N,1,10000.0,6,501,25-01300,33.0,1,1,76.0,21,2,5,2,2,2,N,1,9470,0,4,30000.0,4,501,69,62,62.5
17,47,2,7,2,2,2,N,9,0,1,6970,14,6,0,2,2,121500.0,4,259,25-00503,134.0,1,2,76.0,46,2,7,2,2,2,N,1,8680,0,2,20000.0,3,129,68,55,56.25
18,39,2,5,2,2,2,N,4,0,1,8170,N,1,2,4,1,450.0,0,476,25-01300,33.0,1,2,25.0,65,2,5,2,2,2,N,1,N,0,2,39280.0,5,501,106,106,43.75
19,45,2,5,2,2,2,N,9,0,1,8080,16,4,0,2,1,0.0,7,501,25-01300,33.0,1,2,76.0,53,2,5,2,2,2,N,1,9470,1,2,65000.0,7,398,115,115,56.25
20,32,2,7,2,2,2,N,9,0,3,8680,N,6,N,N,0,0.0,0,166,25-02800,33.0,1,1,25.0,91,2,7,2,1,1,N,2,N,N,N,0.0,0,N,70,0,50.0
21,32,2,7,2,2,2,N,8,0,1,7460,10,1,0,2,1,36660.0,5,501,25-00503,83.0,1,1,76.0,55,2,7,2,2,2,N,1,7460,0,3,80000.0,7,501,99,74,62.5
22,39,2,5,2,2,2,N,10,0,1,8191,N,1,1,3,1,0.0,0,501,25-01300,184.0,6,2,128.0,49,2,5,2,2,2,N,1,N,1,3,2000.0,1,501,42,41,62.5
23,69,2,6,2,2,2,N,7,0,1,6170,6,6,0,2,1,53600.0,8,501,25-01000,134.0,1,1,128.0,26,2,6,2,2,2,N,1,4980,0,4,15000.0,3,501,108,90,56.25
24,76,2,7,2,2,2,N,10,0,1,6170,9,6,0,N,2,12280.0,6,501,25-00503,335.0,1,1,486.0,26,2,7,2,2,2,N,1,6991,0,N,30000.0,4,229,82,82,56.25
25,29,2,6,2,2,2,N,8,0,1,N,12,6,0,2,2,90800.0,7,501,25-01000,335.0,1,2,486.0,36,2,6,2,2,2,N,1,8191,0,N,64000.0,7,490,139,139,56.25
26,40,2,6,2,2,2,N,10,0,1,N,15,1,1,3,1,88000.0,7,296,25-01000,134.0,1,2,128.0,37,2,6,2,2,2,N,1,9160,2,4,2200.0,1,501,97,97,43.75
27,22,2,5,2,2,2,N,8,0,1,8590,4,6,0,5,1,49250.0,8,394,25-01300,134.0,1,1,179.0,29,2,5,2,2,2,N,1,1370,0,4,30000.0,4,501,129,103,50.0
28,61,2,6,2,2,2,N,5,0,1,7380,6,4,0,N,2,29600.0,7,501,25-01000,486.0,1,1,128.0,73,2,6,2,2,2,N,1,4680,0,N,30000.0,4,247,301,300,56.25
29,8,2,5,2,2,2,N,3,0,1,6970,N,N,2,4,2,N,N,326,25-01300,83.0,6,1,76.0,10,2,5,2,2,2,N,1,N,2,4,N,N,273,52,77,68.75
