,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,15,2,N,3,1,6,2,0,6,2,63,2,N,1,4,60.0
1,35,2,N,5,1,1,2,4,6,2,72,2,N,1,1,60.0
2,5,2,N,2,1,N,2,N,2,2,6,2,N,1,N,80.0
3,19,2,N,7,1,6,1,2,2,1,29,2,N,1,1,60.0
4,85,2,N,1,1,3,1,4,1,1,90,2,N,1,2,60.0
5,85,2,N,10,1,2,2,3,1,2,56,2,N,1,9,60.0
6,44,2,N,10,1,4,2,4,6,2,59,2,N,1,6,60.0
7,18,2,N,4,3,2,0,1,1,1,67,2,N,2,4,40.0
8,59,2,N,9,1,5,1,7,1,1,35,2,N,1,9,60.0
9,80,2,6,8,1,3,2,3,1,1,94,2,N,1,8,40.0
10,51,2,N,12,1,6,2,4,1,1,31,2,N,1,7,60.0
11,21,2,N,5,1,6,2,3,8,2,30,2,N,1,3,80.0
12,53,2,N,8,1,4,1,6,2,2,54,2,N,1,6,80.0
13,84,2,N,3,1,3,1,6,1,1,83,2,N,1,3,60.0
14,20,2,N,5,3,6,0,2,9,1,18,2,N,3,9,60.0
15,25,2,N,1,1,6,2,3,1,1,32,2,N,1,3,80.0
16,59,2,N,11,1,5,1,9,1,2,57,2,N,1,7,60.0
17,76,2,N,7,1,1,2,8,6,2,41,2,N,1,0,60.0
18,63,2,N,3,1,1,1,2,6,2,76,2,N,1,4,60.0
19,14,2,N,4,1,N,1,N,2,2,14,2,N,1,N,100.0
20,22,2,N,5,1,6,1,2,9,2,38,2,N,1,5,60.0
21,5,2,N,2,1,N,2,N,2,1,5,2,N,1,N,100.0
22,40,2,N,5,1,1,2,6,2,2,36,2,N,1,0,60.0
23,53,2,N,1,1,6,1,1,6,2,77,2,N,1,3,60.0
24,70,2,N,4,1,4,2,2,2,2,70,2,N,1,4,80.0
25,73,1,N,6,1,4,2,5,1,1,69,2,N,1,0,40.0
26,40,2,N,10,1,1,1,8,9,2,49,2,4,1,9,40.0
27,40,1,N,7,1,4,2,4,8,1,58,2,N,1,4,60.0
28,54,2,N,11,1,6,2,8,6,1,27,2,N,1,9,60.0
29,21,2,N,7,3,2,0,0,6,2,19,2,N,3,0,80.0
30,54,2,N,4,1,2,1,2,6,2,17,2,N,1,0,60.0
31,15,2,N,3,1,6,1,0,9,1,15,2,N,1,1,80.0
32,51,2,N,8,1,4,2,7,9,2,50,2,N,1,4,60.0
33,22,2,N,8,1,6,2,1,6,1,32,2,N,1,6,60.0
34,63,2,N,4,1,3,1,1,1,1,87,2,N,1,3,60.0
35,8,2,N,4,1,N,2,N,1,1,14,2,N,1,N,80.0
36,29,2,N,7,1,6,1,0,8,2,21,2,N,1,1,60.0
37,63,2,N,10,3,2,0,0,1,2,82,2,N,2,1,40.0
38,15,2,N,3,1,6,1,0,2,2,15,2,N,1,0,100.0
39,37,2,N,5,1,1,2,5,8,1,62,2,N,1,7,60.0
40,32,2,N,7,1,1,2,6,2,1,34,2,N,1,3,60.0
41,40,2,N,5,1,4,1,8,6,1,34,2,N,1,8,80.0
42,60,2,N,8,1,1,2,3,6,2,52,2,N,1,4,60.0
43,50,2,N,5,1,1,1,7,9,1,47,2,N,1,7,80.0
