,feature,divergence
13,PINCP,1.5773734381038258
1,AGEP,0.90429094714809
15,POVPIP,0.17497661111164342
14,PINCP_DECILE,0.14637232845894266
12,EDU,0.04843415394685116
7,NPF,0.044817859382418196
10,DENSITY,0.028700479548198987
0,PUMA,0.028683652040578322
11,INDP_CAT,0.026302234201596504
3,MSP,0.022190702132456806
4,HISP,0.017649801771540692
6,NOC,0.017207045167715485
5,RAC1P,0.012490513029256866
16,DVET,0.011111175780680112
2,SEX,0.008767040290088457
18,DPHY,0.0064689025529082594
9,OWN_RENT,0.005141340118843818
8,HOUSING_TYPE,0.0050856988536055435
17,DREM,0.004371646696325657
19,DEYE,0.0028656765721993584
20,DEAR,0.0014077476018086524
