,feature,divergence
22,PWGTP,14.421478060046187
23,WGTP,13.501853724300641
1,AGEP,7.589115646258501
14,PINCP,5.1676829268292686
15,PINCP_DECILE,5.066396103896103
13,EDU,2.725391827009423
16,POVPIP,2.410385793270713
7,NPF,2.1956607811395834
11,INDP,1.7340796860171475
12,INDP_CAT,1.50956264376136
9,OWN_RENT,1.5024552579100456
3,MSP,1.441391143308459
2,SEX,1.1187777230162643
6,NOC,1.0714544686980059
0,PUMA,0.8678645371191954
19,DPHY,0.6534705606553809
8,HOUSING_TYPE,0.5445672416839987
5,RAC1P,0.17435743389483252
10,DENSITY,0.16517247740269325
20,DEYE,0.14744103248776144
21,DEAR,0.13823208821611022
18,DREM,0.11299023181221753
17,DVET,0.05270979047900632
4,HISP,0.01725709902160517
