,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,30,2,6,2,2,2,N,11,0,1,10,1,0,2,2,146000.0,8,N,25-00703,1,1,56,2,6,2,2,2,N,1,0,2,250000.0,9,501,69.23076923076923
1,81,2,5,2,2,2,N,7,0,1,10,4,0,N,1,7680.0,6,501,25-01300,1,2,60,2,5,2,2,2,N,1,0,N,55000.0,6,419,76.92307692307693
2,35,2,7,2,2,2,N,10,0,1,9,1,0,2,2,10200.0,8,501,25-02800,1,1,33,2,7,2,2,2,N,1,1,3,55000.0,6,501,61.53846153846154
3,19,2,6,2,2,2,N,7,0,3,11,6,N,N,0,118300.0,6,501,25-00703,1,1,21,2,6,2,2,2,N,3,N,N,1000.0,1,N,69.23076923076923
4,47,2,5,2,2,2,N,7,0,1,16,6,0,2,1,125150.0,2,501,25-01300,1,1,21,2,5,2,2,2,N,1,0,4,30000.0,4,501,69.23076923076923
5,54,2,6,2,2,2,N,7,0,1,10,4,0,N,2,19500.0,8,344,25-00703,1,1,65,2,6,2,2,2,N,1,0,N,75000.0,7,501,69.23076923076923
6,16,2,5,2,2,2,N,4,0,1,14,6,5,5,1,30.0,7,501,25-01300,2,1,18,2,5,2,2,2,N,1,3,7,5800.0,1,443,53.84615384615385
7,34,2,7,2,2,2,N,5,0,1,8,6,0,N,2,627000.0,8,217,25-02800,1,1,29,2,7,2,2,1,N,1,0,N,50000.0,6,377,61.53846153846154
8,55,2,6,2,2,2,N,9,0,1,9,6,0,N,2,130000.0,2,N,25-00703,1,2,55,2,6,2,2,2,N,1,0,N,87820.0,8,501,76.92307692307693
9,59,2,5,2,2,2,N,11,0,1,12,1,0,2,1,186000.0,9,501,25-01300,1,2,72,2,5,2,2,2,N,1,0,3,99400.0,8,501,69.23076923076923
10,30,2,6,2,2,2,N,5,0,1,13,4,0,N,2,75050.0,6,380,25-00703,1,2,75,1,6,2,1,2,N,1,0,N,29060.0,4,240,53.84615384615385
11,35,2,7,2,2,2,N,5,0,1,N,6,0,N,2,81600.0,3,N,25-00503,1,1,33,2,7,2,2,1,N,1,0,N,10000.0,2,76,61.53846153846154
12,63,2,6,2,1,1,N,7,0,1,4,6,0,N,2,0.0,7,501,25-00703,1,1,31,2,6,2,2,2,N,1,0,N,30000.0,4,227,53.84615384615385
13,34,2,7,2,2,2,N,5,0,1,4,1,0,2,1,60020.0,6,243,25-00503,6,1,69,1,7,2,2,2,N,1,0,2,81600.0,7,501,61.53846153846154
14,2,2,6,2,2,2,N,3,0,1,N,N,3,5,1,50.0,N,488,25-00703,9,1,14,2,6,2,2,2,N,1,1,3,N,N,501,61.53846153846154
15,62,2,5,2,2,2,N,8,0,1,4,4,0,N,1,0.0,6,204,25-01300,1,1,66,2,5,2,2,2,N,1,0,2,64020.0,7,501,61.53846153846154
16,47,2,6,2,2,2,N,9,0,1,2,1,3,5,1,0.0,6,501,25-00703,1,2,57,2,6,2,2,2,N,1,0,2,23000.0,3,501,61.53846153846154
17,87,2,7,2,2,2,N,7,0,1,N,3,0,2,1,N,6,N,25-00503,1,1,87,1,7,1,1,1,N,1,0,N,27000.0,4,221,38.46153846153847
18,20,2,6,2,2,2,N,10,0,3,N,6,N,N,0,N,0,501,25-00703,1,2,85,2,6,2,2,2,N,3,N,N,0.0,0,0,76.92307692307693
19,4,2,5,2,2,2,N,2,0,1,N,N,2,4,1,63400.0,N,501,25-01300,6,2,5,2,5,2,2,2,N,1,2,4,N,N,501,84.61538461538461
20,73,2,5,2,2,2,N,5,0,1,9,4,0,N,1,0.0,6,93,25-01300,1,1,55,2,5,2,2,2,N,1,0,3,56000.0,6,481,69.23076923076923
21,16,2,7,2,2,2,N,4,0,1,6,6,1,3,2,84000.0,7,435,25-02800,1,2,17,2,7,2,2,2,N,1,1,2,11000.0,2,166,61.53846153846154
22,48,2,6,2,2,2,N,10,0,1,10,1,3,5,1,170000.0,9,501,25-00703,6,2,47,2,6,2,2,2,N,1,2,4,300000.0,9,501,69.23076923076923
23,60,2,6,2,2,2,N,9,0,1,3,1,0,2,1,27400.0,3,501,25-00703,1,2,40,2,6,2,2,2,N,1,2,4,127000.0,9,501,61.53846153846154
24,29,2,6,2,2,2,N,9,0,1,N,3,0,2,1,178000.0,4,390,25-01000,1,1,85,2,6,2,2,2,N,1,0,N,24000.0,4,198,69.23076923076923
25,69,2,5,2,2,2,N,7,4,1,10,6,0,5,1,40000.0,5,501,25-01300,1,2,23,2,5,2,2,2,N,1,0,2,10900.0,2,501,69.23076923076923
