,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,82,0,3,N,N,0,3,240,48-02516,1,2,92,N,N,4,190,40.0
1,24,0,1,0,2,2,3,137,48-02507,6,2,40,0,2,1,116,40.0
2,68,1,1,3,6,1,6,363,48-02101,9,1,64,0,2,9,501,0.0
3,86,0,3,0,N,2,3,485,48-02510,9,2,79,0,N,6,356,40.0
4,40,0,1,3,5,2,0,97,48-02102,9,2,41,2,4,3,147,0.0
5,29,0,1,1,2,2,4,91,48-02101,3,1,49,2,4,6,501,0.0
6,79,4,1,0,4,2,6,501,48-02515,8,2,27,2,4,4,335,20.0
7,2,4,N,2,4,2,N,58,48-02516,1,1,1,5,7,N,159,20.0
8,52,1,5,0,N,2,6,167,48-02515,1,1,51,0,N,6,304,60.0
9,11,1,N,2,3,2,N,188,48-02510,8,1,4,3,5,N,340,20.0
10,66,0,2,N,N,0,1,4,48-02507,1,2,85,N,N,4,148,40.0
11,43,0,5,N,N,0,3,N,48-02515,1,2,47,N,N,0,N,60.0
12,20,4,6,0,2,1,0,216,48-02515,8,1,47,0,N,9,501,20.0
13,21,0,2,0,2,1,2,201,48-02507,2,2,83,0,N,2,57,40.0
14,25,1,5,0,N,2,5,80,48-02515,1,2,24,0,2,2,311,20.0
15,36,0,1,2,4,2,3,410,48-02510,9,2,31,1,3,7,501,0.0
16,34,2,6,3,2,1,8,501,48-02507,1,2,16,2,4,0,233,0.0
17,18,0,6,N,N,0,2,84,48-02507,1,2,39,N,N,0,0,40.0
18,2,1,N,2,3,2,N,458,48-02507,2,2,3,2,4,N,317,40.0
19,8,4,N,3,5,2,N,168,48-02507,8,1,13,3,5,N,138,60.0
20,63,1,2,N,N,0,2,N,48-02101,1,1,48,N,N,3,N,60.0
21,33,1,2,1,2,2,3,75,48-02507,1,2,29,0,5,4,338,0.0
22,19,1,6,1,5,1,2,374,48-02516,8,2,25,0,5,5,287,20.0
23,11,2,N,2,8,1,N,501,48-02510,8,2,0,3,4,N,249,20.0
24,9,4,N,3,5,2,N,501,48-02515,1,1,9,2,4,N,321,40.0
25,56,0,1,0,3,2,8,208,48-02507,6,1,67,0,2,3,116,20.0
26,12,4,N,2,4,2,N,213,48-02515,8,1,2,2,4,N,335,60.0
27,14,1,N,3,5,1,N,310,48-02510,9,2,13,1,2,N,270,20.0
28,75,0,3,0,N,2,5,501,48-02516,2,2,62,0,N,3,80,40.0
29,78,0,1,0,2,1,3,203,48-02516,3,2,42,0,4,0,304,20.0
30,14,1,N,2,4,1,N,472,48-02101,3,2,10,2,3,N,229,40.0
31,21,0,6,0,N,2,3,226,48-02101,3,1,47,0,N,4,182,40.0
32,40,1,4,2,3,2,2,179,48-02102,1,2,75,0,2,2,59,20.0
33,55,0,5,0,6,1,7,501,48-02101,2,1,60,0,2,4,397,20.0
34,21,4,6,0,N,1,0,501,48-02507,8,2,27,2,8,3,201,0.0
35,48,1,4,N,5,2,2,6,48-02515,1,1,66,0,N,7,501,0.0
36,12,2,N,2,4,2,N,132,48-02510,1,1,2,1,3,N,501,20.0
37,45,0,2,N,N,0,0,N,48-02515,2,2,30,N,N,4,N,60.0
38,19,4,6,1,3,1,1,501,48-02102,1,2,20,0,4,2,406,0.0
39,15,4,6,2,6,1,6,501,48-02510,8,2,28,0,2,4,234,0.0
40,0,0,N,2,3,1,N,117,48-02102,6,2,2,1,3,N,44,40.0
41,88,1,1,1,5,2,8,501,48-02507,8,1,26,1,3,2,162,20.0
42,46,0,4,N,N,0,2,258,48-02507,2,1,42,N,N,8,501,40.0
43,68,0,1,0,3,1,9,501,48-02510,3,1,55,0,2,9,501,60.0
44,62,1,4,0,2,1,8,501,48-02515,8,1,42,0,2,7,487,40.0
45,40,0,1,2,4,2,0,240,48-02516,3,2,29,0,2,6,439,0.0
46,24,0,6,0,N,2,4,151,48-02516,9,2,48,0,2,6,366,20.0
47,36,2,1,3,4,2,0,485,48-02516,1,1,48,0,2,9,501,0.0
48,34,2,1,1,2,2,7,501,48-02507,1,1,49,1,3,9,492,20.0
49,20,0,6,0,N,2,3,33,48-02516,2,2,15,2,4,0,442,0.0
50,19,1,6,1,3,2,0,331,48-02101,9,1,15,1,2,1,56,20.0
51,35,4,1,0,2,2,2,204,48-02516,8,1,44,1,3,8,336,0.0
52,8,2,1,3,7,1,0,501,48-02515,1,1,32,3,5,9,411,20.0
53,23,0,6,0,2,1,3,501,48-02101,6,2,38,0,2,9,501,60.0
54,75,0,3,0,N,1,6,501,48-02102,6,2,63,0,N,8,496,40.0
55,49,1,4,0,N,1,8,335,48-02101,8,2,30,0,4,6,450,20.0
56,85,0,4,0,N,2,4,461,48-02507,9,1,30,4,5,5,87,0.0
57,26,0,6,N,N,0,0,190,48-02507,2,2,60,N,N,2,70,40.0
58,73,0,4,0,N,1,9,501,48-02507,9,1,53,0,N,7,456,40.0
59,70,1,1,3,6,2,5,119,48-02507,8,2,26,1,3,4,162,0.0
60,18,1,6,N,N,0,0,70,48-02515,8,1,28,N,N,2,N,40.0
61,46,1,1,1,3,2,3,501,48-02507,9,2,31,3,6,5,174,0.0
62,59,1,2,N,N,0,0,4,48-02102,1,2,76,N,N,2,N,40.0
63,64,0,2,0,5,1,1,501,48-02507,6,2,53,0,2,7,303,20.0
64,3,1,N,1,3,2,N,211,48-02515,9,1,0,1,3,N,390,60.0
65,60,0,4,N,N,0,2,3,48-02507,1,1,59,N,N,3,85,40.0
66,17,4,6,1,5,1,1,256,48-02507,1,1,37,0,N,9,501,0.0
67,23,0,6,0,N,2,3,249,48-02102,2,2,19,1,5,3,338,20.0
68,46,1,4,N,N,0,2,N,48-02102,1,1,52,N,N,0,N,60.0
69,40,1,6,N,N,0,0,N,48-02102,8,1,28,N,N,0,N,80.0
70,60,0,5,0,N,1,6,121,48-02510,2,1,30,0,4,4,321,20.0
71,1,0,N,3,4,2,N,372,48-02516,9,1,2,1,2,N,188,20.0
72,50,0,4,0,2,2,6,148,48-02507,9,2,30,4,5,2,38,0.0
73,20,1,6,1,3,1,4,245,48-02510,9,1,21,0,3,3,501,20.0
74,54,1,6,0,N,2,7,249,48-02101,3,1,16,2,4,2,501,0.0
75,66,4,6,1,3,2,1,190,48-02516,1,1,15,5,7,0,159,0.0
76,56,1,5,11,5,1,6,501,48-02101,1,1,53,0,2,1,211,0.0
77,53,0,5,0,N,2,7,199,48-02510,1,1,49,0,N,8,501,40.0
78,41,1,2,1,13,2,0,501,48-02516,1,2,29,0,4,3,501,20.0
79,0,4,N,2,4,1,N,101,48-02515,1,1,11,3,6,N,161,20.0
80,17,1,6,2,3,1,0,239,48-02101,9,2,21,1,6,4,501,0.0
81,62,0,2,N,N,0,0,N,48-02510,1,1,79,N,N,3,N,60.0
82,31,1,6,0,2,2,5,93,48-02507,9,1,19,0,2,3,276,40.0
