,feature,divergence
1,AGEP,1.0056959859712156
22,PWGTP,0.963974362509701
23,WGTP,0.2657461183171647
0,PUMA,0.223273443992982
14,PINCP,0.16567237318393296
11,INDP,0.15909485693537326
13,EDU,0.14816206071671403
15,PINCP_DECILE,0.11059528304757965
5,RAC1P,0.10130967171778357
7,NPF,0.07647236093711283
10,DENSITY,0.06261998449033518
16,POVPIP,0.060056234417789435
12,INDP_CAT,0.05796133029456418
4,HISP,0.04523332575974271
6,NOC,0.03405438256918517
3,MSP,0.03328683988946642
18,DREM,0.008193326372205503
2,SEX,0.007923952104147092
19,DPHY,0.007328960908749398
9,OWN_RENT,0.004927149695373542
21,DEAR,0.0031075713970427216
8,HOUSING_TYPE,0.0022373431780363384
17,DVET,0.0019107881692236317
20,DEYE,0.001081886583447187
